"","gene","comparison","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr","GO"
"81","gene-LOC113676713","control_vs_mid","NW_020843645.1","Gnomon","gene",126899,132302,".","+",".","ID=gene-LOC113676713;Dbxref=GeneID:113676713;Name=LOC113676713;gbkey=Gene;gene=LOC113676713;gene_biotype=protein_coding;pdam_00014530;Pocillopora damicornis;113676713;uncharacterized LOC113676713",""
"82","gene-LOC113676977","control_vs_mid","NW_020846150.1","Gnomon","gene",211109,212290,".","-",".","ID=gene-LOC113676977;Dbxref=GeneID:113676977;Name=LOC113676977;gbkey=Gene;gene=LOC113676977;gene_biotype=protein_coding;pdam_00012788;Pocillopora damicornis;113676977;dimethyladenosine transferase 2, mitochondrial-like","GO:0000154,GO:0000179,GO:0003712,GO:0005739,GO:0006355,GO:0006391,GO:0008649,GO:0031167"
"83","gene-LOC113677085","control_vs_mid","NW_020846166.1","Gnomon","gene",226176,248600,".","+",".","ID=gene-LOC113677085;Dbxref=GeneID:113677085;Name=LOC113677085;gbkey=Gene;gene=LOC113677085;gene_biotype=protein_coding;pdam_00012384;Pocillopora damicornis;113677085;exocyst complex component 4-like","GO:0000145,GO:0006904,GO:0015031"
"84","gene-LOC113677102","control_vs_mid","NW_020846166.1","Gnomon","gene",210565,216785,".","+",".","ID=gene-LOC113677102;Dbxref=GeneID:113677102;Name=LOC113677102;gbkey=Gene;gene=LOC113677102;gene_biotype=protein_coding;pdam_00012382;Pocillopora damicornis;113677102;agrin-like","GO:0005515"
"85","gene-LOC113677209","control_vs_mid","NW_020846178.1","Gnomon","gene",475952,477661,".","-",".","ID=gene-LOC113677209;Dbxref=GeneID:113677209;Name=LOC113677209;gbkey=Gene;gene=LOC113677209;gene_biotype=protein_coding;pdam_00003271;Pocillopora damicornis;113677209;uncharacterized LOC113677209",""
"86","gene-LOC113677242","control_vs_mid","NW_020843659.1","Gnomon","gene",12570,35298,".","-",".","ID=gene-LOC113677242;Dbxref=GeneID:113677242;Name=LOC113677242;gbkey=Gene;gene=LOC113677242;gene_biotype=protein_coding;pdam_00020251;Pocillopora damicornis;113677242;mucin-like protein","GO:0005509,GO:0007160"
"87","gene-LOC113677294","control_vs_mid","NW_020846179.1","Gnomon","pseudogene",294506,313493,".","+",".","ID=gene-LOC113677294;Dbxref=GeneID:113677294;Name=LOC113677294;gbkey=Gene;gene=LOC113677294;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113677294;uncharacterized LOC113677294",""
"88","gene-LOC113677425","control_vs_mid","NW_020846214.1","Gnomon","gene",183743,193372,".","-",".","ID=gene-LOC113677425;Dbxref=GeneID:113677425;Name=LOC113677425;end_range=193372,.;gbkey=Gene;gene=LOC113677425;gene_biotype=protein_coding;partial=true;pdam_00017675;Pocillopora damicornis;113677425;alanine aminotransferase 1-like","GO:0003824,GO:0009058,GO:0030170"
"89","gene-LOC113677539","control_vs_mid","NW_020846227.1","Gnomon","gene",321995,325984,".","+",".","ID=gene-LOC113677539;Dbxref=GeneID:113677539;Name=LOC113677539;gbkey=Gene;gene=LOC113677539;gene_biotype=protein_coding;;Pocillopora damicornis;113677539;ZP domain-containing protein-like",""
"90","gene-LOC113677612","control_vs_mid","NW_020843670.1","Gnomon","gene",55060,65003,".","-",".","ID=gene-LOC113677612;Dbxref=GeneID:113677612;Name=LOC113677612;gbkey=Gene;gene=LOC113677612;gene_biotype=protein_coding;pdam_00013865;Pocillopora damicornis;113677612;uncharacterized LOC113677612",""
"91","gene-LOC113677648","control_vs_mid","NW_020846233.1","Gnomon","gene",13908,32530,".","-",".","ID=gene-LOC113677648;Dbxref=GeneID:113677648;Name=LOC113677648;gbkey=Gene;gene=LOC113677648;gene_biotype=protein_coding;pdam_00019339;Pocillopora damicornis;113677648;GTPase-activating Rap/Ran-GAP domain-like protein 3",""
"92","gene-LOC113677713","control_vs_mid","NW_020846252.1","Gnomon","gene",1579,7597,".","+",".","ID=gene-LOC113677713;Dbxref=GeneID:113677713;Name=LOC113677713;gbkey=Gene;gene=LOC113677713;gene_biotype=protein_coding;pdam_00025283;Pocillopora damicornis;113677713;proto-oncogene tyrosine-protein kinase receptor Ret-like","GO:0004672,GO:0004713,GO:0005524,GO:0006468"
"93","gene-LOC113677728","control_vs_mid","NW_020846256.1","Gnomon","gene",173183,174871,".","+",".","ID=gene-LOC113677728;Dbxref=GeneID:113677728;Name=LOC113677728;gbkey=Gene;gene=LOC113677728;gene_biotype=lncRNA;;Pocillopora damicornis;113677728;uncharacterized LOC113677728",""
"94","gene-LOC113678202","control_vs_mid","NW_020846339.1","Gnomon","gene",16677,20866,".","-",".","ID=gene-LOC113678202;Dbxref=GeneID:113678202;Name=LOC113678202;gbkey=Gene;gene=LOC113678202;gene_biotype=protein_coding;pdam_00014339;Pocillopora damicornis;113678202;uncharacterized LOC113678202",""
"95","gene-LOC113678426","control_vs_mid","NW_020846360.1","Gnomon","gene",2644,3504,".","+",".","ID=gene-LOC113678426;Dbxref=GeneID:113678426;Name=LOC113678426;gbkey=Gene;gene=LOC113678426;gene_biotype=protein_coding;pdam_00018002;Pocillopora damicornis;113678426;uncharacterized LOC113678426","GO:0003676,GO:0015074"
"96","gene-LOC113678765","control_vs_mid","NW_020846466.1","Gnomon","gene",281756,286263,".","+",".","ID=gene-LOC113678765;Dbxref=GeneID:113678765;Name=LOC113678765;gbkey=Gene;gene=LOC113678765;gene_biotype=protein_coding;pdam_00011907;Pocillopora damicornis;113678765;matrix metalloproteinase-9-like","GO:0004222,GO:0006508,GO:0008237,GO:0008270,GO:0031012"
"97","gene-LOC113678957","control_vs_mid","NW_020843690.1","Gnomon","gene",332527,337556,".","-",".","ID=gene-LOC113678957;Dbxref=GeneID:113678957;Name=LOC113678957;gbkey=Gene;gene=LOC113678957;gene_biotype=protein_coding;;Pocillopora damicornis;113678957;serine/threonine-protein kinase VRK1-like",""
"98","gene-LOC113679023","control_vs_mid","NW_020846492.1","Gnomon","gene",568446,571525,".","+",".","ID=gene-LOC113679023;Dbxref=GeneID:113679023;Name=LOC113679023;gbkey=Gene;gene=LOC113679023;gene_biotype=lncRNA;;Pocillopora damicornis;113679023;uncharacterized LOC113679023",""
"99","gene-LOC113679025","control_vs_mid","NW_020846492.1","Gnomon","gene",311652,315022,".","-",".","ID=gene-LOC113679025;Dbxref=GeneID:113679025;Name=LOC113679025;gbkey=Gene;gene=LOC113679025;gene_biotype=protein_coding;pdam_00006123;Pocillopora damicornis;113679025;uncharacterized LOC113679025","GO:0005515,GO:0051260"
"100","gene-LOC113679629","control_vs_mid","NW_020846593.1","Gnomon","gene",51068,58022,".","+",".","ID=gene-LOC113679629;Dbxref=GeneID:113679629;Name=LOC113679629;gbkey=Gene;gene=LOC113679629;gene_biotype=protein_coding;pdam_00019524;Pocillopora damicornis;113679629;tubulin beta chain-like","GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007017"
"101","gene-LOC113679941","control_vs_mid","NW_020846649.1","Gnomon","gene",42445,53189,".","+",".","ID=gene-LOC113679941;Dbxref=GeneID:113679941;Name=LOC113679941;gbkey=Gene;gene=LOC113679941;gene_biotype=protein_coding;pdam_00012434;Pocillopora damicornis;113679941;uncharacterized LOC113679941",""
"102","gene-LOC113680197","control_vs_mid","NW_020846697.1","Gnomon","gene",371169,385786,".","-",".","ID=gene-LOC113680197;Dbxref=GeneID:113680197;Name=LOC113680197;gbkey=Gene;gene=LOC113680197;gene_biotype=protein_coding;pdam_00009997;Pocillopora damicornis;113680197;E3 ubiquitin-protein ligase MARCH4-like","GO:0008270"
"103","gene-LOC113680469","control_vs_mid","NW_020846747.1","Gnomon","gene",510623,511294,".","+",".","ID=gene-LOC113680469;Dbxref=GeneID:113680469;Name=LOC113680469;gbkey=Gene;gene=LOC113680469;gene_biotype=protein_coding;partial=true;start_range=.,510623;;Pocillopora damicornis;113680469;dynein regulatory complex subunit 5-like",""
"104","gene-LOC113680911","control_vs_mid","NW_020846784.1","Gnomon","gene",5953,7586,".","-",".","ID=gene-LOC113680911;Dbxref=GeneID:113680911;Name=LOC113680911;gbkey=Gene;gene=LOC113680911;gene_biotype=lncRNA;;Pocillopora damicornis;113680911;uncharacterized LOC113680911",""
"105","gene-LOC113680942","control_vs_mid","NW_020846785.1","Gnomon","pseudogene",130263,134957,".","+",".","ID=gene-LOC113680942;Dbxref=GeneID:113680942;Name=LOC113680942;gbkey=Gene;gene=LOC113680942;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113680942;low-density lipoprotein receptor-related protein 2-like",""
"106","gene-LOC113680964","control_vs_mid","NW_020846797.1","Gnomon","gene",63394,70004,".","-",".","ID=gene-LOC113680964;Dbxref=GeneID:113680964;Name=LOC113680964;gbkey=Gene;gene=LOC113680964;gene_biotype=protein_coding;pdam_00022050;Pocillopora damicornis;113680964;dnaJ homolog subfamily A member 3, mitochondrial-like","GO:0005524,GO:0006457,GO:0009408,GO:0031072,GO:0051082"
"107","gene-LOC113681072","control_vs_mid","NW_020846804.1","Gnomon","gene",455894,476775,".","-",".","ID=gene-LOC113681072;Dbxref=GeneID:113681072;Name=LOC113681072;gbkey=Gene;gene=LOC113681072;gene_biotype=protein_coding;pdam_00004313;Pocillopora damicornis;113681072;GATA-binding factor 2-like","GO:0003700,GO:0006355,GO:0008270,GO:0043565"
"108","gene-LOC113681275","control_vs_mid","NW_020846822.1","Gnomon","gene",5320,7853,".","+",".","ID=gene-LOC113681275;Dbxref=GeneID:113681275;Name=LOC113681275;gbkey=Gene;gene=LOC113681275;gene_biotype=lncRNA;;Pocillopora damicornis;113681275;uncharacterized LOC113681275",""
"109","gene-LOC113681281","control_vs_mid","NW_020846824.1","Gnomon","gene",308168,310942,".","+",".","ID=gene-LOC113681281;Dbxref=GeneID:113681281;Name=LOC113681281;gbkey=Gene;gene=LOC113681281;gene_biotype=protein_coding;pdam_00012841;Pocillopora damicornis;113681281;uncharacterized LOC113681281",""
"110","gene-LOC113681388","control_vs_mid","NW_020846861.1","Gnomon","gene",44601,47265,".","+",".","ID=gene-LOC113681388;Dbxref=GeneID:113681388;Name=LOC113681388;gbkey=Gene;gene=LOC113681388;gene_biotype=protein_coding;pdam_00022217;Pocillopora damicornis;113681388;uncharacterized LOC113681388","GO:0005515,GO:0007165"
"111","gene-LOC113681398","control_vs_mid","NW_020846863.1","Gnomon","gene",24513,28000,".","+",".","ID=gene-LOC113681398;Dbxref=GeneID:113681398;Name=LOC113681398;gbkey=Gene;gene=LOC113681398;gene_biotype=protein_coding;pdam_00022479;Pocillopora damicornis;113681398;uncharacterized LOC113681398",""
"112","gene-LOC113681701","control_vs_mid","NW_020846908.1","Gnomon","gene",89109,93329,".","-",".","ID=gene-LOC113681701;Dbxref=GeneID:113681701;Name=LOC113681701;gbkey=Gene;gene=LOC113681701;gene_biotype=protein_coding;pdam_00010666;Pocillopora damicornis;113681701;TLC domain-containing protein 2-like","GO:0016021"
"113","gene-LOC113681874","control_vs_mid","NW_020846941.1","Gnomon","gene",38009,44327,".","-",".","ID=gene-LOC113681874;Dbxref=GeneID:113681874;Name=LOC113681874;gbkey=Gene;gene=LOC113681874;gene_biotype=protein_coding;pdam_00005028;Pocillopora damicornis;113681874;orphan steroid hormone receptor 2-like","GO:0003677,GO:0003700,GO:0003707,GO:0005634,GO:0006355,GO:0008270,GO:0043401,GO:0043565"
"114","gene-LOC113681996","control_vs_mid","NW_020846942.1","Gnomon","gene",798771,803327,".","+",".","ID=gene-LOC113681996;Dbxref=GeneID:113681996;Name=LOC113681996;gbkey=Gene;gene=LOC113681996;gene_biotype=protein_coding;partial=true;start_range=.,798771;;Pocillopora damicornis;113681996;focal adhesion kinase 1-like",""
"115","gene-LOC113682209","control_vs_mid","NW_020846984.1","Gnomon","gene",49844,50695,".","+",".","ID=gene-LOC113682209;Dbxref=GeneID:113682209;Name=LOC113682209;gbkey=Gene;gene=LOC113682209;gene_biotype=lncRNA;;Pocillopora damicornis;113682209;uncharacterized LOC113682209",""
"116","gene-LOC113682220","control_vs_mid","NW_020846987.1","Gnomon","gene",205992,210056,".","+",".","ID=gene-LOC113682220;Dbxref=GeneID:113682220;Name=LOC113682220;gbkey=Gene;gene=LOC113682220;gene_biotype=protein_coding;;Pocillopora damicornis;113682220;carbonic anhydrase 2-like",""
"117","gene-LOC113682244","control_vs_mid","NW_020846987.1","Gnomon","gene",152220,159149,".","+",".","ID=gene-LOC113682244;Dbxref=GeneID:113682244;Name=LOC113682244;gbkey=Gene;gene=LOC113682244;gene_biotype=protein_coding;pdam_00015833;Pocillopora damicornis;113682244;serine protease 23-like","GO:0004252,GO:0006508"
"118","gene-LOC113682541","control_vs_mid","NW_020847079.1","Gnomon","gene",115207,116618,".","+",".","ID=gene-LOC113682541;Dbxref=GeneID:113682541;Name=LOC113682541;gbkey=Gene;gene=LOC113682541;gene_biotype=protein_coding;pdam_00005194;Pocillopora damicornis;113682541;ankyrin repeat domain-containing protein 49-like","GO:0005515"
"119","gene-LOC113682780","control_vs_mid","NW_020847126.1","Gnomon","gene",28757,58736,".","-",".","ID=gene-LOC113682780;Dbxref=GeneID:113682780;Name=LOC113682780;gbkey=Gene;gene=LOC113682780;gene_biotype=protein_coding;pdam_00022555;Pocillopora damicornis;113682780;E3 ubiquitin-protein ligase UBR2-like","GO:0008270,GO:0030163"
"120","gene-LOC113682844","control_vs_mid","NW_020843771.1","Gnomon","gene",193157,201616,".","+",".","ID=gene-LOC113682844;Dbxref=GeneID:113682844;Name=LOC113682844;gbkey=Gene;gene=LOC113682844;gene_biotype=protein_coding;pdam_00010714;Pocillopora damicornis;113682844;uncharacterized LOC113682844",""
"121","gene-LOC113683278","control_vs_mid","NW_020847222.1","Gnomon","gene",6761,21719,".","-",".","ID=gene-LOC113683278;Dbxref=GeneID:113683278;Name=LOC113683278;gbkey=Gene;gene=LOC113683278;gene_biotype=protein_coding;;Pocillopora damicornis;113683278;protein white-like",""
"122","gene-LOC113683626","control_vs_mid","NW_020847250.1","Gnomon","pseudogene",24417,25860,".","+",".","ID=gene-LOC113683626;Dbxref=GeneID:113683626;Name=LOC113683626;gbkey=Gene;gene=LOC113683626;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113683626;uncharacterized LOC113683626",""
"123","gene-LOC113683630","control_vs_mid","NW_020847258.1","Gnomon","gene",47195,47938,".","+",".","ID=gene-LOC113683630;Dbxref=GeneID:113683630;Name=LOC113683630;gbkey=Gene;gene=LOC113683630;gene_biotype=protein_coding;;Pocillopora damicornis;113683630;uncharacterized LOC113683630",""
"124","gene-LOC113684083","control_vs_mid","NW_020847344.1","Gnomon","gene",18107,24159,".","+",".","ID=gene-LOC113684083;Dbxref=GeneID:113684083;Name=LOC113684083;gbkey=Gene;gene=LOC113684083;gene_biotype=protein_coding;pdam_00004936;Pocillopora damicornis;113684083;mucin-17-like",""
"125","gene-LOC113684184","control_vs_mid","NW_020847359.1","Gnomon","pseudogene",33212,43286,".","+",".","ID=gene-LOC113684184;Dbxref=GeneID:113684184;Name=LOC113684184;gbkey=Gene;gene=LOC113684184;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113684184;uncharacterized protein C8orf74 homolog",""
"126","gene-LOC113684226","control_vs_mid","NW_020847369.1","Gnomon","gene",514846,523868,".","+",".","ID=gene-LOC113684226;Dbxref=GeneID:113684226;Name=LOC113684226;gbkey=Gene;gene=LOC113684226;gene_biotype=protein_coding;pdam_00005806;Pocillopora damicornis;113684226;potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2-like","GO:0005216,GO:0005249,GO:0006811,GO:0006813,GO:0016020,GO:0055085"
"127","gene-LOC113684409","control_vs_mid","NW_020847378.1","Gnomon","gene",237316,260422,".","-",".","ID=gene-LOC113684409;Dbxref=GeneID:113684409;Name=LOC113684409;gbkey=Gene;gene=LOC113684409;gene_biotype=protein_coding;pdam_00006986;Pocillopora damicornis;113684409;kinase suppressor of Ras 2-like","GO:0004672,GO:0005524,GO:0006468,GO:0035556"
"128","gene-LOC113684444","control_vs_mid","NW_020847384.1","Gnomon","gene",196918,201120,".","+",".","ID=gene-LOC113684444;Dbxref=GeneID:113684444;Name=LOC113684444;gbkey=Gene;gene=LOC113684444;gene_biotype=protein_coding;;Pocillopora damicornis;113684444;nuclear factor NF-kappa-B p105 subunit-like",""
"129","gene-LOC113684534","control_vs_mid","NW_020847410.1","Gnomon","gene",195650,197341,".","-",".","ID=gene-LOC113684534;Dbxref=GeneID:113684534;Name=LOC113684534;gbkey=Gene;gene=LOC113684534;gene_biotype=protein_coding;;Pocillopora damicornis;113684534;adenosine receptor A3-like",""
"130","gene-LOC113684585","control_vs_mid","NW_020847434.1","Gnomon","gene",44873,49290,".","-",".","ID=gene-LOC113684585;Dbxref=GeneID:113684585;Name=LOC113684585;gbkey=Gene;gene=LOC113684585;gene_biotype=protein_coding;pdam_00022807;Pocillopora damicornis;113684585;E3 ubiquitin-protein ligase DZIP3-like",""
"131","gene-LOC113684587","control_vs_mid","NW_020847434.1","Gnomon","gene",9941,12972,".","-",".","ID=gene-LOC113684587;Dbxref=GeneID:113684587;Name=LOC113684587;gbkey=Gene;gene=LOC113684587;gene_biotype=protein_coding;pdam_00022802;Pocillopora damicornis;113684587;NACHT, LRR and PYD domains-containing protein 12-like","GO:0005515"
"132","gene-LOC113684962","control_vs_mid","NW_020847495.1","Gnomon","gene",6532,8702,".","+",".","ID=gene-LOC113684962;Dbxref=GeneID:113684962;Name=LOC113684962;gbkey=Gene;gene=LOC113684962;gene_biotype=protein_coding;pdam_00016954;Pocillopora damicornis;113684962;hemicentin-1-like",""
"133","gene-LOC113685155","control_vs_mid","NW_020847533.1","Gnomon","gene",160652,166374,".","-",".","ID=gene-LOC113685155;Dbxref=GeneID:113685155;Name=LOC113685155;gbkey=Gene;gene=LOC113685155;gene_biotype=protein_coding;pdam_00009930;Pocillopora damicornis;113685155;zona pellucida-like domain-containing protein 1",""
"134","gene-LOC113685562","control_vs_mid","NW_020847586.1","Gnomon","gene",5159,66453,".","-",".","ID=gene-LOC113685562;Dbxref=GeneID:113685562;Name=LOC113685562;gbkey=Gene;gene=LOC113685562;gene_biotype=protein_coding;pdam_00008794;Pocillopora damicornis;113685562;GFP-like fluorescent chromoprotein amFP486","GO:0008218"
"135","gene-LOC113685563","control_vs_mid","NW_020847586.1","Gnomon","gene",54613,56421,".","+",".","ID=gene-LOC113685563;Dbxref=GeneID:113685563;Name=LOC113685563;gbkey=Gene;gene=LOC113685563;gene_biotype=protein_coding;pdam_00008805;Pocillopora damicornis;113685563;GFP-like fluorescent chromoprotein amFP486","GO:0008218"
"136","gene-LOC113685809","control_vs_mid","NW_020847620.1","Gnomon","gene",201584,203246,".","-",".","ID=gene-LOC113685809;Dbxref=GeneID:113685809;Name=LOC113685809;gbkey=Gene;gene=LOC113685809;gene_biotype=protein_coding;pdam_00011450;Pocillopora damicornis;113685809;uncharacterized LOC113685809",""
"137","gene-LOC113685956","control_vs_mid","NW_020847648.1","Gnomon","gene",183257,185675,".","-",".","ID=gene-LOC113685956;Dbxref=GeneID:113685956;Name=LOC113685956;gbkey=Gene;gene=LOC113685956;gene_biotype=lncRNA;;Pocillopora damicornis;113685956;uncharacterized LOC113685956",""
"138","gene-LOC113685989","control_vs_mid","NW_020847654.1","Gnomon","gene",226133,232865,".","+",".","ID=gene-LOC113685989;Dbxref=GeneID:113685989;Name=LOC113685989;gbkey=Gene;gene=LOC113685989;gene_biotype=protein_coding;pdam_00012105;Pocillopora damicornis;113685989;uncharacterized LOC113685989",""
"139","gene-LOC113686025","control_vs_mid","NW_020847658.1","Gnomon","gene",20651,23875,".","+",".","ID=gene-LOC113686025;Dbxref=GeneID:113686025;Name=LOC113686025;gbkey=Gene;gene=LOC113686025;gene_biotype=protein_coding;;Pocillopora damicornis;113686025;uncharacterized LOC113686025",""
"140","gene-LOC113686179","control_vs_mid","NW_020847712.1","Gnomon","gene",12615,18167,".","-",".","ID=gene-LOC113686179;Dbxref=GeneID:113686179;Name=LOC113686179;gbkey=Gene;gene=LOC113686179;gene_biotype=protein_coding;pdam_00016391;Pocillopora damicornis;113686179;adhesion G-protein coupled receptor D1-like","GO:0004888,GO:0004930,GO:0007166,GO:0007186,GO:0016021"
"141","gene-LOC113686210","control_vs_mid","NW_020847736.1","Gnomon","gene",85462,89485,".","+",".","ID=gene-LOC113686210;Dbxref=GeneID:113686210;Name=LOC113686210;gbkey=Gene;gene=LOC113686210;gene_biotype=protein_coding;pdam_00021030;Pocillopora damicornis;113686210;apocarotenoid-15,15'-oxygenase-like","GO:0016702,GO:0055114"
"142","gene-LOC113686410","control_vs_mid","NW_020847750.1","Gnomon","pseudogene",240845,242188,".","+",".","ID=gene-LOC113686410;Dbxref=GeneID:113686410;Name=LOC113686410;gbkey=Gene;gene=LOC113686410;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113686410;uncharacterized LOC113686410",""
"143","gene-LOC113686425","control_vs_mid","NW_020847750.1","Gnomon","gene",572574,578805,".","-",".","ID=gene-LOC113686425;Dbxref=GeneID:113686425;Name=LOC113686425;gbkey=Gene;gene=LOC113686425;gene_biotype=protein_coding;pdam_00006287;Pocillopora damicornis;113686425;uncharacterized LOC113686425","GO:0005515,GO:0007165"
"144","gene-LOC113686478","control_vs_mid","NW_020847757.1","Gnomon","gene",54431,56957,".","+",".","ID=gene-LOC113686478;Dbxref=GeneID:113686478;Name=LOC113686478;gbkey=Gene;gene=LOC113686478;gene_biotype=protein_coding;pdam_00009538;Pocillopora damicornis;113686478;protein giant-like","GO:0003700,GO:0006355"
"145","gene-LOC113686480","control_vs_mid","NW_020847757.1","Gnomon","gene",366434,371964,".","-",".","ID=gene-LOC113686480;Dbxref=GeneID:113686480;Name=LOC113686480;gbkey=Gene;gene=LOC113686480;gene_biotype=protein_coding;pdam_00009572;Pocillopora damicornis;113686480;jasmonic acid-amido synthetase JAR1-like",""
"146","gene-LOC113686485","control_vs_mid","NW_020847757.1","Gnomon","gene",204123,205911,".","+",".","ID=gene-LOC113686485;Dbxref=GeneID:113686485;Name=LOC113686485;gbkey=Gene;gene=LOC113686485;gene_biotype=protein_coding;;Pocillopora damicornis;113686485;mitochondrial ribonuclease P catalytic subunit-like",""
"147","gene-LOC113686808","control_vs_mid","NW_020843848.1","Gnomon","pseudogene",259818,266283,".","+",".","ID=gene-LOC113686808;Dbxref=GeneID:113686808;Name=LOC113686808;gbkey=Gene;gene=LOC113686808;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113686808;uncharacterized LOC113686808",""
"148","gene-LOC113686813","control_vs_mid","NW_020843848.1","Gnomon","gene",206241,226955,".","+",".","ID=gene-LOC113686813;Dbxref=GeneID:113686813;Name=LOC113686813;gbkey=Gene;gene=LOC113686813;gene_biotype=protein_coding;pdam_00013286;Pocillopora damicornis;113686813;ADP-ribosylation factor-related protein 1-like","GO:0005525,GO:0005622,GO:0007264"
"149","gene-LOC113686912","control_vs_mid","NW_020843882.1","Gnomon","pseudogene",175697,185998,".","-",".","ID=gene-LOC113686912;Dbxref=GeneID:113686912;Name=LOC113686912;gbkey=Gene;gene=LOC113686912;gene_biotype=pseudogene;pseudo=true;;Pocillopora damicornis;113686912;uncharacterized LOC113686912",""
"150","gene-LOC113687134","control_vs_mid","NW_020843934.1","Gnomon","gene",39965,67439,".","+",".","ID=gene-LOC113687134;Dbxref=GeneID:113687134;Name=LOC113687134;gbkey=Gene;gene=LOC113687134;gene_biotype=protein_coding;pdam_00017763;Pocillopora damicornis;113687134;uncharacterized LOC113687134","GO:0005089,GO:0035023"
"151","gene-LOC113687139","control_vs_mid","NW_020843934.1","Gnomon","gene",182291,192368,".","+",".","ID=gene-LOC113687139;Dbxref=GeneID:113687139;Name=LOC113687139;gbkey=Gene;gene=LOC113687139;gene_biotype=protein_coding;pdam_00017780;Pocillopora damicornis;113687139;major facilitator superfamily domain-containing protein 12-like",""
"152","rna-XM_027179832.1","control_vs_mid","NW_020843955.1","Gnomon","mRNA",177576,180768,".","+",".","ID=rna-XM_027179832.1;Parent=gene-LOC113664234;Dbxref=GeneID:113664234,Genbank:XM_027179832.1;Name=XM_027179832.1;gbkey=mRNA;gene=LOC113664234;model_evidence=Supporting evidence includes similarity to: 189 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 24 samples with support for all annotated introns;product=ras-related protein Rab-8B-like;transcript_id=XM_027179832.1;;Pocillopora damicornis;113664234;ras-related protein Rab-8B-like",""
"153","rna-XM_027180040.1","control_vs_mid","NW_020843994.1","Gnomon","mRNA",258832,261004,".","+",".","ID=rna-XM_027180040.1;Parent=gene-LOC113664440;Dbxref=GeneID:113664440,Genbank:XM_027180040.1;Name=XM_027180040.1;gbkey=mRNA;gene=LOC113664440;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 7 samples with support for all annotated introns;product=uncharacterized LOC113664440;transcript_id=XM_027180040.1;pdam_00011333;Pocillopora damicornis;113664440;uncharacterized LOC113664440",""
"154","rna-XM_027180060.1","control_vs_mid","NW_020844000.1","Gnomon","mRNA",60883,93500,".","-",".","ID=rna-XM_027180060.1;Parent=gene-LOC113664468;Dbxref=GeneID:113664468,Genbank:XM_027180060.1;Name=XM_027180060.1;gbkey=mRNA;gene=LOC113664468;model_evidence=Supporting evidence includes similarity to: 20 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 2 samples with support for all annotated introns;product=vascular endothelial growth factor receptor 3-like%2C transcript variant X2;transcript_id=XM_027180060.1;pdam_00020573;Pocillopora damicornis;113664468;vascular endothelial growth factor receptor 3-like","GO:0004672,GO:0004713,GO:0005524,GO:0006468"
"155","rna-XM_027180096.1","control_vs_mid","NW_020844002.1","Gnomon","mRNA",244753,263386,".","-",".","ID=rna-XM_027180096.1;Parent=gene-LOC113664492;Dbxref=GeneID:113664492,Genbank:XM_027180096.1;Name=XM_027180096.1;gbkey=mRNA;gene=LOC113664492;model_evidence=Supporting evidence includes similarity to: 26 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 16 samples with support for all annotated introns;product=SRSF protein kinase 1-like%2C transcript variant X3;transcript_id=XM_027180096.1;pdam_00012226;Pocillopora damicornis;113664492;SRSF protein kinase 1-like","GO:0004672,GO:0005524,GO:0006468"
"156","rna-XM_027180593.1","control_vs_mid","NW_020844103.1","Gnomon","mRNA",38911,40763,".","-",".","ID=rna-XM_027180593.1;Parent=gene-LOC113664961;Dbxref=GeneID:113664961,Genbank:XM_027180593.1;Name=XM_027180593.1;Note=The sequence of the model RefSeq transcript was modified relative to this genomic sequence to represent the inferred CDS: added 963 bases not found in genome assembly;end_range=40763,.;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=LOC113664961;inference=similar to RNA sequence (same species):INSD:GEFF01022965.1;model_evidence=Supporting evidence includes similarity to: 93%25 coverage of the annotated genomic feature by RNAseq alignments;partial=true;product=protein Wnt-7b-like;transcript_id=XM_027180593.1;;Pocillopora damicornis;113664961;protein Wnt-7b-like",""
