Metadata,,,,GOSeq,,,,,,,DESeq2,,,,,,,BLASTn (pdam included),,,,,BLASTn (pdam excluded),,,,,BLASTn (Homo sapiens),,,,,PDB  ,,,,
Species,Site,gene_id,length,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Treatment_Compare,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,Top BLAST hit,BLAST Description ,Species_Predicted,Score (bits),e-value,PDB ID,PDB description,Species,Macromolecule ,e-value
Pdamicornis,Hawaii,LOC113670163,9009,GO:0015377,4.78E-02,0.99941531,1,2,cation:chloride symporter activity,MF,338.752543,0.78025974,0.23842071,3.27261733,1.07E-03,0.0371633,CvsHigh,XM_027186259.1,solute carrier family 12 member 2-like,Pocillopora damicornis,7642,0.00E+00,XM_022942991.1,solute carrier family 12 member 1-like,Stylophora pistillata,3.69E+03,0.00E+00,BC144221.1,"solute carrier family 12 (sodium/potassium/chloride transporters), member 2",Homo sapiens,245,8.00E-61,7D10: Entity 1,Human NKCC1,Homo sapiens,Solute carrier family 12 member 2,5.02E-280
Pdamicornis,Hawaii,LOC113670426,16071,GO:0004713,3.46E-03,0.99913923,8,101,protein tyrosine kinase activity,MF,59.6797565,-3.2394037,0.87553191,-3.6999265,0.00021566,0.01357298,CvsMid,XM_027186566.1,fibroblast growth factor receptor 2-like,Pocillopora damicornis,5962,0.00E+00,XM_022947900.1,fibroblast growth factor receptor 2-like,Stylophora pistillata,2.58E+03,0.00E+00,NM_001354984.2,fibroblast growth factor receptor 4 (FGFR4),Homo sapiens,65.3,1.00E-06,4CKI: Entity 1,Crystal Structure of oncogenic RET tyrosine kinase M918T bound to adenosine,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,8.26E-67
Pdamicornis,Hawaii,LOC113670426,16071,GO:0004713,3.46E-03,0.99913923,8,101,protein tyrosine kinase activity,MF,59.6797565,-2.8417482,0.87683142,-3.2409288,1.19E-03,4.02E-02,CvsHigh,XM_027186566.1,fibroblast growth factor receptor 2-like,Pocillopora damicornis,5962,0.00E+00,XM_022947900.1,fibroblast growth factor receptor 2-like,Stylophora pistillata,2.58E+03,0.00E+00,NM_001354984.2,fibroblast growth factor receptor 4 (FGFR4),Homo sapiens,65.3,1.00E-06,4CKI: Entity 1,Crystal Structure of oncogenic RET tyrosine kinase M918T bound to adenosine,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,8.26E-67
Pdamicornis,Hawaii,LOC113672399,4547,GO:0019343,0.04751883,0.99942272,1,2,cysteine biosynthetic process via cystathionine,BP,39.7914512,-1.4482314,0.26888542,-5.386054,7.20E-08,1.35E-05,CvsMid,XR_003446322.1,uncharacterized,Pocillopora damicornis,7483,0.00E+00,XM_022935824.1,cystathionine beta-synthase-like,Stylophora pistillata,1.80E+02,1.00E-39,AL122015.17,Human DNA sequence from clone RP1-8L15 on chromosome 11p13,Homo sapiens,56.3,8.00E-40,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113672399,4547,GO:0019343,4.75E-02,0.99942272,1,2,cysteine biosynthetic process via cystathionine,BP,39.7914512,-1.1308003,0.27380283,-4.1299803,3.63E-05,0.0024361,CvsHigh,XR_003446322.1,uncharacterized,Pocillopora damicornis,7483,0.00E+00,XM_022935824.1,cystathionine beta-synthase-like,Stylophora pistillata,1.80E+02,1.00E-39,AL122015.17,Human DNA sequence from clone RP1-8L15 on chromosome 11p13,Homo sapiens,56.3,8.00E-40,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113672399,4547,GO:0006535,4.75E-02,0.99942272,1,2,cysteine biosynthetic process from serine,BP,39.7914512,-1.4482314,0.26888542,-5.386054,7.20E-08,1.35E-05,CvsMid,XR_003446322.1,uncharacterized,Pocillopora damicornis,7483,0.00E+00,XM_022935824.1,cystathionine beta-synthase-like,Stylophora pistillata,1.80E+02,1.00E-39,AL122015.17,Human DNA sequence from clone RP1-8L15 on chromosome 11p13,Homo sapiens,56.3,8.00E-40,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113672399,4547,GO:0006535,0.04751883,0.99942272,1,2,cysteine biosynthetic process from serine,BP,39.7914512,-1.1308003,0.27380283,-4.1299803,3.63E-05,0.0024361,CvsHigh,XR_003446322.1,uncharacterized,Pocillopora damicornis,7483,0.00E+00,XM_022935824.1,cystathionine beta-synthase-like,Stylophora pistillata,1.80E+02,1.00E-39,AL122015.17,Human DNA sequence from clone RP1-8L15 on chromosome 11p13,Homo sapiens,56.3,8.00E-40,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113672399,4547,GO:0004122,0.04751883,0.99942272,1,2,cystathionine beta-synthase activity,MF,39.7914512,-1.4482314,0.26888542,-5.386054,7.20E-08,1.35E-05,CvsMid,XR_003446322.1,uncharacterized,Pocillopora damicornis,7483,0.00E+00,XM_022935824.1,cystathionine beta-synthase-like,Stylophora pistillata,1.80E+02,1.00E-39,AL122015.17,Human DNA sequence from clone RP1-8L15 on chromosome 11p13,Homo sapiens,56.3,8.00E-40,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113672399,4547,GO:0004122,0.04751883,0.99942272,1,2,cystathionine beta-synthase activity,MF,39.7914512,-1.1308003,0.27380283,-4.1299803,3.63E-05,0.0024361,CvsHigh,XR_003446322.1,uncharacterized,Pocillopora damicornis,7483,0.00E+00,XM_022935824.1,cystathionine beta-synthase-like,Stylophora pistillata,1.80E+02,1.00E-39,AL122015.17,Human DNA sequence from clone RP1-8L15 on chromosome 11p13,Homo sapiens,56.3,8.00E-40,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113672624,9270,GO:0048869,2.37E-02,1,1,1,cellular developmental process,BP,57.1602873,-1.6152452,0.42764358,-3.7770829,0.00015868,0.00822857,CvsHigh,XM_027188932.1,uncharacterized,Pocillopora damicornis,6508,0.00E+00,XM_022942333.1,PR domain zinc finger protein 4-like,Stylophora pistillata,2.11E+03,0.00E+00,NM_001136239.4,PR/SET domain 6 (PRDM6),Homo sapiens,107,1.00E-19,3EP0: Entity 1,Methyltransferase domain of human PR domain-containing protein 12,Homo sapiens,PR domain zinc finger protein 12,1.63E-27
Pdamicornis,Hawaii,LOC113672624,9270,GO:0048869,2.37E-02,1,1,1,cellular developmental process,BP,57.1602873,-1.4942173,0.42855407,-3.4866484,4.89E-04,0.02586006,CvsMid,XM_027188932.1,uncharacterized,Pocillopora damicornis,6508,0.00E+00,XM_022942333.1,PR domain zinc finger protein 4-like,Stylophora pistillata,2.11E+03,0.00E+00,NM_001136239.4,PR/SET domain 6 (PRDM6),Homo sapiens,107,1.00E-19,3EP0: Entity 1,Methyltransferase domain of human PR domain-containing protein 12,Homo sapiens,PR domain zinc finger protein 12,1.63E-27
Pdamicornis,Hawaii,LOC113672798,6812,GO:0007154,5.10E-04,0.99997042,4,15,cell communication,BP,258.074143,-1.1520217,0.33009213,-3.4900003,4.83E-04,2.07E-02,CvsHigh,XM_027189144.1,uncharacterized,Pocillopora damicornis,3371,0.00E+00,XM_022950824.1,uncharacterized,Stylophora pistillata,1.01E+03,0.00E+00,AC091969.3,chromosome 5 clone RP11-501F22,Homo sapiens,43.7,2.1,2DPK: Entity 1,The Crystal Structure of the Primary Ca2+ Sensor of the Na+/Ca2+ Exchanger,Canis lupus familiaris,Sodium/calcium exchanger 1,7.39E-04
Pdamicornis,Hawaii,LOC113673097,27532,GO:0004713,0.00345864,0.99913923,8,101,protein tyrosine kinase activity,MF,175.9634,-1.4096051,0.35428144,-3.9787721,6.93E-05,4.13E-03,CvsHigh,XM_027189457.1 ,contactin-6-like ,Pocillopora damicornis,11023,0.00E+00,XM_022934533.1,neural cell adhesion molecule 1-like,Stylophora pistillata,4.03E+03,0.00E+00,NM_001079817.3,insulin receptor (INSR),Homo sapiens,64.4,2.00E-06,4CKI: Entity 1,Crystal Structure of oncogenic RET tyrosine kinase M918T bound to adenosine,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,1.48E-72
Pdamicornis,Hawaii,LOC113673162,12191,GO:0004713,3.46E-03,0.99913923,8,101,protein tyrosine kinase activity,MF,57.3023849,-3.3709152,0.48111028,-7.0065334,2.44E-12,1.06E-09,CvsHigh,XM_027189535.1,proto-oncogene tyrosine-protein kinase receptor Ret-like,Pocillopora damicornis,5542,0.00E+00,XM_022934502.1,fibroblast growth factor receptor 2-like,Stylophora pistillata,1.81E+03,0.00E+00,NM_000141.5,fibroblast growth factor receptor 2 (FGFR2),Homo sapiens,79.7,5.00E-11,5AMN: Entity 1,The Discovery of 2-Substituted Phenol Quinazolines as Potent and Selective RET Kinase Inhibitors,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,2.71E-77
Pdamicornis,Hawaii,LOC113673162,12191,GO:0004713,3.46E-03,0.99913923,8,101,protein tyrosine kinase activity,MF,57.3023849,-2.678135,0.48541696,-5.5171846,3.44E-08,6.91E-06,CvsMid,XM_027189535.1,proto-oncogene tyrosine-protein kinase receptor Ret-like,Pocillopora damicornis,5542,0.00E+00,XM_022934502.1,fibroblast growth factor receptor 2-like,Stylophora pistillata,1.81E+03,0.00E+00,NM_000141.5,fibroblast growth factor receptor 2 (FGFR2),Homo sapiens,79.7,5.00E-11,5AMN: Entity 1,The Discovery of 2-Substituted Phenol Quinazolines as Potent and Selective RET Kinase Inhibitors,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,2.71E-77
Pdamicornis,Hawaii,LOC113673934,7205,GO:0008289,0.04090272,0.99303865,3,32,lipid binding,MF,301.892251,1.59944819,0.40769841,3.92311611,8.74E-05,0.00506444,CvsHigh,XM_027190402.1,"ubiquinone biosynthesis protein COQ9-B, mitochondrial-like",Pocillopora damicornis,2654,0.00E+00,XM_022946744.1,"ubiquinone biosynthesis protein COQ9, mitochondrial-like",Stylophora pistillata,1.47E+03,0.00E+00,NM_020312.4,"coenzyme Q9 (COQ9), mRNA; nuclear gene for mitochondrial product",Homo sapiens,50.9,0.011,4RHP: Entity 1,"Crystal structure of human COQ9 in complex with a phospholipid, Northeast Structural Genomics Consortium Target HR5043",Homo sapiens,"Ubiquinone biosynthesis protein COQ9, mitochondrial",1.38E-53
Pdamicornis,Hawaii,LOC113673942,9233,GO:0019781,0.04712741,0.99943231,1,2,NEDD8 activating enzyme activity,MF,121.825885,3.81396119,0.94420108,4.0393527,5.36E-05,0.00440774,CvsMid,XM_027190413.1,NEDD8-activating enzyme E1 catalytic subunit-like,Pocillopora damicornis,3138,0.00E+00,XM_022934270.1,NEDD8-activating enzyme E1 catalytic subunit-like,Stylophora pistillata,2.08E+03,0.00E+00,AK289392.1,"cDNA FLJ78055 complete cds, highly similar to Homo sapiens ubiquitin-activating enzyme E1C (UBA3 homolog, yeast) (UBE1C)",Homo sapiens,488,2.00E-134,3GZN: Entity 2,Structure of NEDD8-activating enzyme in complex with NEDD8 and MLN4924,Homo sapiens,NEDD8-activating enzyme E1 catalytic subunit,2.08E-212
Pdamicornis,Hawaii,LOC113673942,9233,GO:0045116,4.71E-02,0.99943231,1,2,protein neddylation,BP,121.825885,3.81396119,0.94420108,4.0393527,5.36E-05,0.00440774,CvsMid,XM_027190413.1,NEDD8-activating enzyme E1 catalytic subunit-like,Pocillopora damicornis,3138,0.00E+00,XM_022934270.1,NEDD8-activating enzyme E1 catalytic subunit-like,Stylophora pistillata,2.08E+03,0.00E+00,AK289392.1,"cDNA FLJ78055 complete cds, highly similar to Homo sapiens ubiquitin-activating enzyme E1C (UBA3 homolog, yeast) (UBE1C)",Homo sapiens,488,2.00E-134,3GZN: Entity 2,Structure of NEDD8-activating enzyme in complex with NEDD8 and MLN4924,Homo sapiens,NEDD8-activating enzyme E1 catalytic subunit,2.08E-212
Pdamicornis,Hawaii,LOC113674379,8541,GO:0006099,0.03743146,0.99674336,2,13,tricarboxylic acid cycle,BP,1680.72627,1.02575838,0.26459857,3.87665887,1.06E-04,0.00596057,CvsHigh,XM_027190862.1,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like",Pocillopora damicornis,3458,0.00E+00,XM_022949200.1,"succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like",Stylophora pistillata,1.98E+03,0.00E+00,AB208991.1,"succinate dehydrogenase complex, subunit A, flavoprotein precursor variant protein",Homo sapiens,805,0,2WQY: Entity 1,Remodelling of carboxin binding to the Q-site of avian respiratory complex II,Gallus gallus,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT,0
Pdamicornis,Hawaii,LOC113674953,2482,GO:0015934,0.01378226,0.99935743,2,8,large ribosomal subunit,CC,4901.67879,1.54869702,0.47321548,3.27270997,1.07E-03,0.04819934,CvsMid,XM_027191445.1,60S ribosomal protein L27a-like,Pocillopora damicornis,1016,0.00E+00,XM_022938055.1,60S ribosomal protein L27a-like,Stylophora pistillata,2.65E+02,3.00E-66,NG_000965.4,ribosomal protein L27a pseudogene (RPL27AP) on chromosome 20,Homo sapiens,107,2.00E-20,6HCQ: Entity 1,Structure of the rabbit collided di-ribosome (collided monosome),Oryctolagus cuniculus,uL15,9.25E-75
Pdamicornis,Hawaii,LOC113675081,2320,GO:0090730,2.34E-02,1,1,1,Las1 complex,CC,75.2377952,0.83416205,0.22279045,3.74415535,1.81E-04,0.01187748,CvsMid,XM_027191617.1,pre-rRNA-processing protein las1-like,Pocillopora damicornis,2523,0.00E+00,XM_022932379.1,pre-rRNA-processing protein las1-like,Stylophora pistillata,1.37E+03,0.00E+00,NG_047076.1,ryanodine receptor 3 (RYR3),Homo sapiens,42.8,42.8,6OF2: Entity 1,"Precursor ribosomal RNA processing complex, State 2.",Chaetomium thermophilum var. thermophilum DSM 1495,Ribonuclease,1.99E-14
Pdamicornis,Hawaii,LOC113675081,2320,GO:0090730,2.34E-02,1,1,1,Las1 complex,CC,75.2377952,0.87533489,0.22300311,3.92521376,8.67E-05,0.00506242,CvsHigh,XM_027191617.1,pre-rRNA-processing protein las1-like,Pocillopora damicornis,2523,0.00E+00,XM_022932379.1,pre-rRNA-processing protein las1-like,Stylophora pistillata,1.37E+03,0.00E+00,NG_047076.1,ryanodine receptor 3 (RYR3),Homo sapiens,42.8,42.8,6OF2: Entity 1,"Precursor ribosomal RNA processing complex, State 2.",Chaetomium thermophilum var. thermophilum DSM 1495,Ribonuclease,1.99E-14
Pdamicornis,Hawaii,LOC113676193,4696,GO:0030117,4.51E-02,0.99561411,2,14,membrane coat,CC,273.841516,4.52544108,0.7438932,6.08345537,1.18E-09,3.32E-07,CvsHigh,XM_027192817.1,AP-1 complex subunit sigma-2-like,Pocillopora damicornis,1605,0.00E+00,XM_022935352.1,AP-1 complex subunit sigma-2-like,Stylophora pistillata,1.00E+03,0.00E+00,NM_003916.5,Homo sapiens adaptor related protein complex 1 subunit sigma 2 (AP1S2),Homo sapiens,306,5.00E-80,1W63: Entity 4,AP1 clathrin adaptor core,Mus musculus,ADAPTER-RELATED PROTEIN COMPLEX 1 SIGMA 1A SUBUNIT,4.98E-74
Pdamicornis,Hawaii,LOC113676193,4696,GO:0030117,0.04510503,0.99561411,2,14,membrane coat,CC,273.841516,4.33831378,0.74218383,5.84533591,5.06E-09,1.43E-06,CvsMid,XM_027192817.1,AP-1 complex subunit sigma-2-like,Pocillopora damicornis,1605,0.00E+00,XM_022935352.1,AP-1 complex subunit sigma-2-like,Stylophora pistillata,1.00E+03,0.00E+00,NM_003916.5,Homo sapiens adaptor related protein complex 1 subunit sigma 2 (AP1S2),Homo sapiens,306,5.00E-80,1W63: Entity 4,AP1 clathrin adaptor core,Mus musculus,ADAPTER-RELATED PROTEIN COMPLEX 1 SIGMA 1A SUBUNIT,4.98E-74
Pdamicornis,Hawaii,LOC113676559,7233,GO:0008299,0.01794582,0.99901122,2,9,isoprenoid biosynthetic process,BP,74.4696371,0.8884726,0.25219171,3.52300486,4.27E-04,1.93E-02,CvsHigh,XM_027193227.1,decaprenyl-diphosphate synthase subunit 1-like,Pocillopora damicornis,3193,0.00E+00,XM_022936280.1,decaprenyl-diphosphate synthase subunit 1-like,Stylophora pistillata,1.75E+03,0.00E+00,NM_014317.5,decaprenyl diphosphate synthase subunit 1 (PDSS1),Homo sapiens,214,5.00E-52,3APZ: Entity 1,Apo form of Arabidopsis medium/long-chain length prenyl pyrophosphate synthase,Arabidopsis thaliana ,Geranyl diphosphate synthase,1.39E-66
Pdamicornis,Hawaii,LOC113676583,8280,GO:0007154,0.00050955,0.99997042,4,15,cell communication,BP,4019.07087,-1.5191672,0.260047,-5.8418944,5.16E-09,1.43E-06,CvsMid,XM_027193255.1,ZP domain-containing protein-like,Pocillopora damicornis,4056,0.00E+00,XM_022929328.1,ZP domain-containing protein-like,Stylophora pistillata,1.77E+03,0.00E+00,NG_053147.1,myosin XVI (MYO16),Homo sapiens,46.4,0.21,6ZYA: Entity 1,Extended human uromodulin filament core at 3.5 A resolution,Homo sapiens,Uromodulin,1.52E-14
Pdamicornis,Hawaii,LOC113676583,8280,GO:0007154,0.00050955,0.99997042,4,15,cell communication,BP,4019.07087,-1.2484856,0.2600974,-4.8000696,1.59E-06,0.00019097,CvsHigh,XM_027193255.1,ZP domain-containing protein-like,Pocillopora damicornis,4056,0.00E+00,XM_022929328.1,ZP domain-containing protein-like,Stylophora pistillata,1.77E+03,0.00E+00,NG_053147.1,myosin XVI (MYO16),Homo sapiens,46.4,0.21,6ZYA: Entity 1,Extended human uromodulin filament core at 3.5 A resolution,Homo sapiens,Uromodulin,1.52E-14
Pdamicornis,Hawaii,LOC113676704,2185,GO:0004719,0.0499574,0.99936114,1,2,protein-L-isoaspartate (D-aspartate) O-methyltransferase activity,MF,129.518262,1.22506993,0.33469466,3.66026131,2.52E-04,0.01224075,CvsHigh,XM_027193389.1,protein-L-isoaspartate(D-aspartate) O-methyltransferase-like,Pocillopora damicornis,1672,0.00E+00,XM_022936362.1,protein-L-isoaspartate(D-aspartate) O-methyltransferase-like,Stylophora pistillata,1.12E+03,0.00E+00,GQ891314.1,clone HEL-S-37a epididymis secretory sperm binding protein mRNA,Homo sapiens,122,1.00E-24,1I1N: Entity 1,HUMAN PROTEIN L-ISOASPARTATE O-METHYLTRANSFERASE WITH S-ADENOSYL HOMOCYSTEINE,Homo sapiens,PROTEIN-L-ISOASPARTATE O-METHYLTRANSFERASE,4.80E-60
Pdamicornis,Hawaii,LOC113677344,8156,GO:0008253,2.37E-02,1,1,1,5'-nucleotidase activity,MF,102.528766,-2.1921182,0.54930371,-3.9907217,6.59E-05,0.00515295,CvsMid,XM_027194160.1,cytosolic 5'-nucleotidase 3-like,Pocillopora damicornis,4634,0.00E+00,XM_022940080.1,cytosolic 5'-nucleotidase 3-like,Stylophora pistillata,1.67E+03,0.00E+00,AC126469.7,3 BAC RP11-644C3,Homo sapiens,44.6,0.84,2G07: Entity 1,"X-ray structure of mouse pyrimidine 5'-nucleotidase type 1, phospho-enzyme intermediate analog with Beryllium fluoride",Mus musculus,Cytosolic 5'-nucleotidase III,1.42E-63
Pdamicornis,Hawaii,LOC113677713,6018,GO:0004713,0.00345864,0.99913923,8,101,protein tyrosine kinase activity,MF,143.699248,-1.606611,0.44147137,-3.6392191,2.73E-04,0.01305659,CvsHigh,XM_027194550.1,proto-oncogene tyrosine-protein kinase receptor Ret-like,Pocillopora damicornis,3615,0.00E+00,XM_022951989.1,tyrosine kinase receptor Cad96Ca-like,Stylophora pistillata,1.40E+03,0.00E+00,NM_000141.5,fibroblast growth factor receptor 2 (FGFR2),Homo sapiens,62.6,3.00E-06,5AMN: Entity 1,The Discovery of 2-Substituted Phenol Quinazolines as Potent and Selective RET Kinase Inhibitors,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,7.71E-76
Pdamicornis,Hawaii,LOC113677818,1658,GO:0051537,4.86E-02,0.9950428,2,15,"2 iron, 2 sulfur cluster binding",MF,413.618702,0.6222493,0.16324131,3.81183722,0.00013794,0.00731757,CvsHigh,XM_027194658.1,CDGSH iron-sulfur domain-containing protein 2A-like,Pocillopora damicornis,1504,0.00E+00,XM_022924155.1,CDGSH iron-sulfur domain-containing protein 2A-like,Stylophora pistillata,7.10E+02,0.00E+00,NM_018464.5,CDGSH iron sulfur domain 1 (CISD1),Homo sapiens,77.9,4.00E-11,4F2C: Entity 1,The Crystal Structure of a Human MitoNEET double mutant in which Gly 66 are Asp 67 are both Replaced with Ala Residues,Homo sapiens,CDGSH iron-sulfur domain-containing protein 1,3.55E-20
Pdamicornis,Hawaii,LOC113678608,3102,GO:0030148,0.02351436,1,1,1,sphingolipid biosynthetic process,BP,1176.3857,1.05549465,0.23954677,4.4062153,1.05E-05,0.00093967,CvsHigh,XM_027195508.1,sphingolipid delta(4)-desaturase DES1-like,Pocillopora damicornis,2704,0.00E+00,XM_022928592.1,putative sphingolipid delta(4)-desaturase/C4-monooxygenase,Stylophora pistillata,1.45E+03,0.00E+00,NM_001321542.2,"delta 4-desaturase, sphingolipid 1 (DEGS1)",Homo sapiens,152,1.00E-11,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113678608,3102,GO:0042284,2.35E-02,1,1,1,sphingolipid delta-4 desaturase activity,MF,1176.3857,1.05549465,0.23954677,4.4062153,1.05E-05,0.00093967,CvsHigh,XM_027195508.1,sphingolipid delta(4)-desaturase DES1-like,Pocillopora damicornis,2704,0.00E+00,XM_022928592.1,putative sphingolipid delta(4)-desaturase/C4-monooxygenase,Stylophora pistillata,1.45E+03,0.00E+00,NM_001321542.2,"delta 4-desaturase, sphingolipid 1 (DEGS1)",Homo sapiens,152,1.00E-11,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113679283,6723,GO:0004713,0.00345864,0.99913923,8,101,protein tyrosine kinase activity,MF,122.099983,-1.3850726,0.43774103,-3.164137,1.56E-03,0.04780517,CvsHigh,XM_027196237.1,tyrosine-protein kinase receptor old-1-like,Pocillopora damicornis,5149,0.00E+00,XM_022945410.1,uncharacterized,Stylophora pistillata,1.74E+03,0.00E+00,AP023475.1,"DNA, chromosome 15",Homo sapiens,43.7,3.2,5AMN: Entity 1,The Discovery of 2-Substituted Phenol Quinazolines as Potent and Selective RET Kinase Inhibitors,Homo sapiens,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,7.49E-73
Pdamicornis,Hawaii,LOC113679585,19637,GO:0003950,0.01216704,0.99807439,4,37,NAD+ ADP-ribosyltransferase activity,MF,87.4277806,-3.3833659,0.84067218,-4.024596,5.71E-05,0.00462126,CvsMid,XM_027196550.1,poly [ADP-ribose] polymerase 14-like,Pocillopora damicornis,6421,0.00E+00,XM_022940367.1,poly [ADP-ribose] polymerase 14-like,Stylophora pistillata,2.29E+03,0.00E+00,AC004829.2,PAC clone RP4-530J23 from 7,Homo sapiens,43.7,4.1,6WE4: Entity 1,"Human PARP14 (ARTD8), catalytic fragment in complex with compound 2",Homo sapiens,Protein mono-ADP-ribosyltransferase PARP14,7.77E-39
Pdamicornis,Hawaii,LOC113679585,19637,GO:0003950,0.01216704,0.99807439,4,37,NAD+ ADP-ribosyltransferase activity,MF,87.4277806,-3.0964017,0.84133949,-3.6803237,0.00023294,0.01139668,CvsHigh,XM_027196550.1,poly [ADP-ribose] polymerase 14-like,Pocillopora damicornis,6421,0.00E+00,XM_022940367.1,poly [ADP-ribose] polymerase 14-like,Stylophora pistillata,2.29E+03,0.00E+00,AC004829.2,PAC clone RP4-530J23 from 7,Homo sapiens,43.7,4.1,6WE4: Entity 1,"Human PARP14 (ARTD8), catalytic fragment in complex with compound 2",Homo sapiens,Protein mono-ADP-ribosyltransferase PARP14,7.77E-39
Pdamicornis,Hawaii,LOC113679798,3948,GO:0097193,0.02359083,1,1,1,intrinsic apoptotic signaling pathway,BP,272.63964,1.18668104,0.37519671,3.16282366,1.56E-03,4.79E-02,CvsHigh,XM_027196767.1,"APOPT family protein CBG23705, mitochondrial-like",Pocillopora damicornis,1363,0.00E+00,XM_022928566.1,"APOPT family protein CBG23705, mitochondrial-like",Stylophora pistillata,4.31E+02,4.00E-116,AC107025.3,3 BAC RP11-474M18,Homo sapiens,45.5,0.24,NA,NA,NA,NA,NA
Pdamicornis,Hawaii,LOC113680594,11427,GO:0032422,0.02400284,1,1,1,purine-rich negative regulatory element binding,MF,950.968176,-2.7792254,0.81838331,-3.3959947,6.84E-04,2.68E-02,CvsHigh,XM_027197630.1,transcriptional activator protein Pur-beta-like,Pocillopora damicornis,3952,0.00E+00,XM_022943472.1,transcriptional activator protein Pur-beta-like,Stylophora pistillata,1.26E+03,0.00E+00,AC009656.11,"chromosome 11, clone RP11-219O3",Homo sapiens,43.7,3.2,3K44: Entity 1,Crystal Structure of Drosophila melanogaster Pur-alpha,Drosophila melanogaster,"Purine-rich binding protein-alpha, isoform B",7.01E-30
Pdamicornis,Hawaii,LOC113680594,11427,GO:0032422,0.02400284,1,1,1,purine-rich negative regulatory element binding,MF,950.968176,-2.9855288,0.81833661,-3.6482894,2.64E-04,1.61E-02,CvsMid,XM_027197630.1,transcriptional activator protein Pur-beta-like,Pocillopora damicornis,3952,0.00E+00,XM_022943472.1,transcriptional activator protein Pur-beta-like,Stylophora pistillata,1.26E+03,0.00E+00,AC009656.11,"chromosome 11, clone RP11-219O3",Homo sapiens,43.7,3.2,3K44: Entity 1,Crystal Structure of Drosophila melanogaster Pur-alpha,Drosophila melanogaster,"Purine-rich binding protein-alpha, isoform B",7.01E-30
Pdamicornis,Hawaii,LOC113682120,3376,GO:0015934,1.38E-02,0.99935743,2,8,large ribosomal subunit,CC,9238.70095,1.13998412,0.35184747,3.23999526,1.20E-03,4.03E-02,CvsHigh,XM_027199274.1,60S ribosomal protein L13a-like,Pocillopora damicornis,1683,0.00E+00,XM_022927345.1,60S ribosomal protein L13a-like,Stylophora pistillata,1.04E+03,0.00E+00,NR_026712.1,ribosomal protein L13a pseudogene 5 (RPL13AP5),Homo sapiens,179,6.00E-42,6P5K: Entity 17,Structure of a mammalian 80S ribosome in complex with the Israeli Acute Paralysis Virus IRES (Class 3),Oryctolagus cuniculus,uL13,3.85E-80
Pdamicornis,Hawaii,LOC113682506,5647,GO:0051537,0.04856616,0.9950428,2,15,"2 iron, 2 sulfur cluster binding",MF,2249.55277,1.15674433,0.36770776,3.14582518,0.00165619,0.0496355,CvsHigh,XM_027199668.1,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like",Pocillopora damicornis,2464,0.00E+00,XM_022933849.1,"succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like",Stylophora pistillata,1.52E+03,0.00E+00,NM_003000.3,succinate dehydrogenase complex iron sulfur subunit B (SDHB),Homo sapiens,416,7.00E-113,6MYR: Entity 2,Avian mitochondrial complex II with thiapronil bound,Gallus gallus,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",1.25E-143
