Orthogroup	Mcavernosa.maker.proteins	plut2v1.1.proteins
OG0001633	Mcavernosa16380-RA, Mcavernosa16387-RA, Mcavernosa16385-RA, Mcavernosa16379-RA	plut2.m8.20602.m1
OG0001635	Mcavernosa23290-RA, Mcavernosa16372-RA	plut2.m8.23668.m1
OG0001637	Mcavernosa13428-RA	plut2.m8.16821.m1
OG0001638	Mcavernosa05482-RA	plut2.m8.7070.m1
OG0001638	Mcavernosa30152-RA	plut2.m8.29856.m1, plut2.m8.29855.m1
OG0001639	Mcavernosa03131-RA	plut2.m8.3622.m1
OG0001639	Mcavernosa03129-RA	plut2.m8.15375.m1
OG0001639	Mcavernosa03130-RA	plut2.m8.33610.m1
OG0001640	Mcavernosa32224-RA, Mcavernosa32226-RA, Mcavernosa32225-RA	plut2.m8.27553.m1
OG0001641	Mcavernosa01367-RA, Mcavernosa01366-RA	plut2.m8.7082.m1
OG0001642	Mcavernosa04330-RA, Mcavernosa04333-RA, Mcavernosa04329-RA, Mcavernosa34142-RA	plut2.m8.5903.m1
OG0001643	Mcavernosa08069-RA	plut2.m8.33330.m1
OG0001644	Mcavernosa06869-RA	plut2.m8.12654.m1
OG0001645	Mcavernosa30945-RA	plut2.m8.9528.m1
OG0001646	Mcavernosa25914-RA	plut2.m8.8903.m1, plut2.m8.8904.m1
OG0001646	Mcavernosa10548-RA	plut2.m8.4745.m1
OG0001647	Mcavernosa26328-RA, Mcavernosa34309-RA, Mcavernosa26327-RA	plut2.m8.13396.m1
OG0001649	Mcavernosa08764-RA	plut2.m8.2551.m1
OG0001650	Mcavernosa10031-RA	plut2.m8.3225.m1
OG0001651	Mcavernosa34881-RA, Mcavernosa06836-RA, Mcavernosa31116-RA	plut2.m8.11219.m1
OG0001652	Mcavernosa28683-RA	plut2.m8.26883.m1
OG0001653	Mcavernosa13182-RA	plut2.m8.22554.m1
OG0001654	Mcavernosa22952-RA	plut2.m8.15095.m1
OG0001655	Mcavernosa19276-RA	plut2.m8.1838.m1
OG0001656	Mcavernosa19794-RA	plut2.m8.15975.m1, plut2.m8.15974.m1, plut2.m8.15981.m1, plut2.m8.4152.m1, plut2.m8.4154.m1
OG0001657	Mcavernosa01287-RA	plut2.m8.6867.m1
OG0001658	Mcavernosa03681-RA	plut2.m8.5665.m1
OG0001659	Mcavernosa31746-RA	plut2.m8.4752.m1, plut2.m8.33562.m1
OG0001659	Mcavernosa31747-RA	plut2.m8.4764.m1
OG0001660	Mcavernosa09149-RA	plut2.m8.19746.m1
OG0001660	Mcavernosa09147-RA, Mcavernosa09144-RA	plut2.m8.19744.m1
OG0001661	Mcavernosa24479-RA, Mcavernosa24478-RA	plut2.m8.3621.m1
OG0001662	Mcavernosa08782-RA	plut2.m8.21020.m1
OG0001664	Mcavernosa04288-RA, Mcavernosa04287-RA, Mcavernosa04289-RA	plut2.m8.4496.m1
OG0001666	Mcavernosa00054-RA, Mcavernosa00055-RA, Mcavernosa00056-RA	plut2.m8.13954.m1
OG0001667	Mcavernosa17813-RA, Mcavernosa17812-RA	plut2.m8.16836.m1
OG0001667	Mcavernosa17816-RA	plut2.m8.16831.m1
OG0001668	Mcavernosa11980-RA, Mcavernosa11979-RA, Mcavernosa34158-RA, Mcavernosa11982-RA, Mcavernosa28072-RA, Mcavernosa11981-RA	plut2.m8.1280.m1, plut2.m8.1281.m1
OG0001669	Mcavernosa10332-RA	plut2.m8.1274.m1
OG0001670	Mcavernosa29524-RA	plut2.m8.1323.m1, plut2.m8.14305.m1
OG0001671	Mcavernosa34652-RA, Mcavernosa34651-RA, Mcavernosa11349-RA	plut2.m8.17967.m1
OG0001672	Mcavernosa21898-RA	plut2.m8.17272.m1
OG0001672	Mcavernosa21899-RA	plut2.m8.17263.m1
OG0001673	Mcavernosa03302-RA	plut2.m8.19615.m1
OG0001674	Mcavernosa31708-RA, Mcavernosa31714-RA	jamg1.model.Sc0000026.168, plut2.m8.3232.m1, plut2.m8.3233.m1, plut2.m8.3231.m1, plut2.m8.3224.m1
OG0001675	Mcavernosa14121-RA, Mcavernosa14118-RA	plut2.m8.17790.m1
OG0001676	Mcavernosa12526-RA, Mcavernosa12528-RA	plut2.m8.5220.m1
OG0001677	Mcavernosa35204-RA, Mcavernosa13614-RA	plut2.m8.10565.m1
OG0001679	Mcavernosa20366-RA	plut2.m8.4490.m1, plut2.m8.6426.m1
OG0001682	Mcavernosa28448-RA	plut2.m8.6925.m1, plut2.m8.6927.m1
OG0001683	Mcavernosa16962-RA, Mcavernosa16963-RA	plut2.m8.12451.m1
OG0001684	Mcavernosa10203-RA, Mcavernosa23271-RA, Mcavernosa11569-RA	plut2.m8.24274.m1, plut2.m8.24276.m1
OG0001685	Mcavernosa17143-RA	plut2.m8.18397.m1
OG0001685	Mcavernosa17129-RA, Mcavernosa17131-RA	plut2.m8.18409.m1
OG0001689	Mcavernosa08756-RA, Mcavernosa08757-RA, Mcavernosa08752-RA	plut2.m8.2554.m1
OG0001690	Mcavernosa17774-RA, Mcavernosa18567-RA	plut2.m8.22443.m1, plut2.m8.22446.m1, jamg1.model.Sc0000237.5
OG0001694	Mcavernosa14584-RA, Mcavernosa34817-RA, Mcavernosa09327-RA, Mcavernosa34815-RA	plut2.m8.8930.m1, plut2.m8.19108.m1, plut2.m8.19107.m1, plut2.m8.8927.m1, plut2.m8.19109.m1
OG0001695	Mcavernosa11364-RA	plut2.m8.25200.m1, plut2.m8.25199.m1
OG0001696	Mcavernosa24631-RA, Mcavernosa00553-RA, Mcavernosa24630-RA	plut2.m8.5935.m1, plut2.m8.5932.m1
OG0001697	Mcavernosa13458-RA, Mcavernosa12863-RA, Mcavernosa13455-RA	plut2.m8.16451.m1
OG0001698	Mcavernosa33294-RA, Mcavernosa27801-RA, Mcavernosa23300-RA	plut2.m8.7879.m1, plut2.m8.7877.m1, plut2.m8.7880.m1, plut2.m8.7882.m1
OG0001699	Mcavernosa12093-RA, Mcavernosa16000-RA, Mcavernosa19391-RA, Mcavernosa01063-RA	jamg1.model.Sc0000000.231
OG0001700	Mcavernosa06601-RA, Mcavernosa06602-RA, Mcavernosa06600-RA, Mcavernosa06606-RA	plut2.m8.26688.m1
OG0001701	Mcavernosa17866-RA, Mcavernosa09223-RA, Mcavernosa09224-RA	plut2.m8.20581.m1
OG0001701	Mcavernosa09235-RA, Mcavernosa09230-RA	plut2.m8.28428.m1, plut2.m8.30062.m1
OG0001703	Mcavernosa00968-RA	plut2.m8.33260.m1, plut2.m8.22952.m1, jamg1.model.Sc0000497.7, plut2.m8.22951.m1, plut2.m8.22947.m1
OG0001704	Mcavernosa04770-RA, Mcavernosa04781-RA, Mcavernosa24825-RA, Mcavernosa16473-RA, Mcavernosa24827-RA, Mcavernosa24826-RA	plut2.m8.25988.m1, plut2.m8.26074.m1
OG0001705	Mcavernosa01829-RA, Mcavernosa33536-RA, Mcavernosa22015-RA	plut2.m8.29135.m1, plut2.m8.29136.m1, plut2.m8.9572.m1
OG0001707	Mcavernosa17301-RA, Mcavernosa12758-RA, Mcavernosa01451-RA	plut2.m8.13172.m1
OG0001708	Mcavernosa20560-RA	plut2.m8.3942.m1, plut2.m8.31547.m1, plut2.m8.31548.m1, plut2.m8.29627.m1
OG0001709	Mcavernosa09093-RA, Mcavernosa25900-RA	plut2.m8.23399.m1
OG0001709	Mcavernosa19776-RA	plut2.m8.22646.m1
OG0001710	Mcavernosa01380-RA, Mcavernosa01378-RA, Mcavernosa01379-RA	plut2.m8.7100.m1
OG0001712	Mcavernosa07308-RA	plut2.m8.3250.m1, plut2.m8.24630.m1
OG0001713	Mcavernosa31202-RA	jamg1.model.Sc0000195.22
OG0001715	Mcavernosa04434-RA	plut2.m8.13005.m1, plut2.m8.13004.m1
OG0001716	Mcavernosa19156-RA, Mcavernosa19157-RA	plut2.m8.5452.m1
OG0001717	Mcavernosa29064-RA, Mcavernosa34078-RA	plut2.m8.17466.m1
OG0001718	Mcavernosa18510-RA	plut2.m8.10461.m1, jamg1.model.Sc0000526.29
OG0001719	Mcavernosa06501-RA	plut2.m8.8212.m1
OG0001720	Mcavernosa16197-RA	plut2.m8.2496.m1
OG0001722	Mcavernosa06821-RA	plut2.m8.25608.m1
OG0001723	Mcavernosa10393-RA	plut2.m8.28573.m1
OG0001723	Mcavernosa10389-RA, Mcavernosa10392-RA	plut2.m8.28575.m1
OG0001724	Mcavernosa13153-RA	plut2.m8.3764.m1, plut2.m8.3761.m1
OG0001725	Mcavernosa18891-RA, Mcavernosa25471-RA	plut2.m8.22262.m1, plut2.m8.22253.m1
OG0001726	Mcavernosa21151-RA	plut2.m8.4506.m1
OG0001726	Mcavernosa21153-RA	plut2.m8.4508.m1
OG0001727	Mcavernosa08114-RA	plut2.m8.18117.m1, plut2.m8.31442.m1
OG0001727	Mcavernosa08134-RA	plut2.m8.20815.m1
OG0001730	Mcavernosa04669-RA, Mcavernosa27656-RA	jamg1.model.Sc0000122.43
OG0001731	Mcavernosa04429-RA	plut2.m8.13010.m1
OG0001731	Mcavernosa26339-RA	plut2.m8.23130.m1
OG0001732	Mcavernosa08049-RA	plut2.m8.5127.m1
OG0001733	Mcavernosa21017-RA	plut2.m8.7075.m1
OG0001736	Mcavernosa21749-RA, Mcavernosa21748-RA	plut2.m8.15312.m1, plut2.m8.15313.m1
OG0001738	Mcavernosa31851-RA	plut2.m8.2354.m1, plut2.m8.2364.m1, plut2.m8.2363.m1
OG0001739	Mcavernosa14124-RA, Mcavernosa23638-RA	plut2.m8.22165.m1, plut2.m8.21719.m1, plut2.m8.21720.m1, plut2.m8.21722.m1, plut2.m8.21721.m1
OG0001740	Mcavernosa11869-RA, Mcavernosa29386-RA	plut2.m8.24487.m1
OG0001742	Mcavernosa20617-RA	jamg1.model.Sc0000274.31
OG0001743	Mcavernosa33254-RA, Mcavernosa04592-RA	plut2.m8.2289.m1
OG0001744	Mcavernosa15158-RA	plut2.m8.674.m1
OG0001744	Mcavernosa31250-RA	plut2.m8.675.m1
OG0001745	Mcavernosa20894-RA, Mcavernosa20895-RA, Mcavernosa20896-RA	plut2.m8.30031.m1
OG0001746	Mcavernosa20432-RA	plut2.m8.21194.m1, plut2.m8.21192.m1
OG0001746	Mcavernosa00774-RA	plut2.m8.21197.m1
OG0001748	Mcavernosa20294-RA	plut2.m8.8474.m1
OG0001749	Mcavernosa23801-RA, Mcavernosa23802-RA	plut2.m8.23889.m1
OG0001752	Mcavernosa03950-RA, Mcavernosa24575-RA	plut2.m8.2514.m1, plut2.m8.32352.m1
OG0001753	Mcavernosa10511-RA	plut2.m8.27801.m1, plut2.m8.27802.m1
OG0001754	Mcavernosa24342-RA	plut2.m8.26654.m1
OG0001755	Mcavernosa19201-RA	plut2.m8.789.m1
OG0001755	Mcavernosa12185-RA	plut2.m8.27348.m1
OG0001756	Mcavernosa01876-RA	plut2.m8.794.m1
OG0001758	Mcavernosa26711-RA	plut2.m8.32504.m1
OG0001758	Mcavernosa26710-RA	jamg1.model.Sc0000437.7, plut2.m8.21806.m1
OG0001760	Mcavernosa10596-RA	plut2.m8.29823.m1
OG0001760	Mcavernosa10594-RA	plut2.m8.29824.m1, plut2.m8.29827.m1, plut2.m8.29822.m1
OG0001761	Mcavernosa13396-RA	plut2.m8.1431.m1, plut2.m8.1438.m1
OG0001763	Mcavernosa01724-RA	jamg1.model.xpSc0007555.2
OG0001764	Mcavernosa12559-RA	plut2.m8.6334.m1
OG0001765	Mcavernosa16772-RA	plut2.m8.839.m1
OG0001766	Mcavernosa30423-RA	plut2.m8.26706.m1, plut2.m8.19507.m1
OG0001766	Mcavernosa11964-RA, Mcavernosa26919-RA, Mcavernosa04606-RA, Mcavernosa10926-RA	jamg1.model.Sc0000135.29
OG0001767	Mcavernosa33315-RA, Mcavernosa25346-RA	plut2.m8.8440.m1
OG0001769	Mcavernosa12477-RA, Mcavernosa12478-RA	plut2.m8.23702.m1, plut2.m8.10113.m1
OG0001771	Mcavernosa26787-RA	plut2.m8.32766.m1
OG0001771	Mcavernosa26785-RA	plut2.m8.31891.m1
OG0001772	Mcavernosa33345-RA	jamg1.model.Sc0000067.48
OG0001774	Mcavernosa24795-RA	plut2.m8.7289.m1, jamg1.model.Sc0000457.2, jamg1.model.xfSc0000875.2, jamg1.model.Sc0000813.8, jamg1.model.xfSc0000316.6, plut2.m8.15649.m1
OG0001775	Mcavernosa15095-RA, Mcavernosa15097-RA	plut2.m8.10428.m1
OG0001775	Mcavernosa15098-RA	plut2.m8.10429.m1
OG0001778	Mcavernosa07159-RA	plut2.m8.3238.m1, plut2.m8.28525.m1, plut2.m8.28528.m1
OG0001779	Mcavernosa18509-RA	plut2.m8.12680.m1, plut2.m8.29262.m1
OG0001780	Mcavernosa20189-RA	plut2.m8.21561.m1
OG0001781	Mcavernosa05146-RA	plut2.m8.26324.m1
OG0001781	Mcavernosa05150-RA	plut2.m8.3163.m1, plut2.m8.3165.m1, plut2.m8.3164.m1
OG0001782	Mcavernosa02245-RA, Mcavernosa32232-RA	jamg1.model.Sc0000796.7
OG0001783	Mcavernosa03408-RA	plut2.m8.25320.m1, plut2.m8.25319.m1
OG0001786	Mcavernosa11963-RA	plut2.m8.15785.m1, plut2.m8.33346.m1, plut2.m8.926.m1, plut2.m8.564.m1
OG0001786	Mcavernosa11960-RA	plut2.m8.5694.m1
OG0001790	Mcavernosa07559-RA, Mcavernosa33031-RA	plut2.m8.2237.m1
OG0001791	Mcavernosa08982-RA	plut2.m8.17630.m1, plut2.m8.19852.m1
OG0001792	Mcavernosa03080-RA, Mcavernosa03082-RA, Mcavernosa03085-RA	plut2.m8.15065.m1
OG0001794	Mcavernosa21847-RA	plut2.m8.11251.m1
OG0001795	Mcavernosa08091-RA	plut2.m8.3736.m1
OG0001795	Mcavernosa08137-RA	plut2.m8.3739.m1
OG0001796	Mcavernosa02718-RA, Mcavernosa33143-RA, Mcavernosa02720-RA, Mcavernosa32941-RA	plut2.m8.12301.m1
OG0001798	Mcavernosa22455-RA, Mcavernosa22453-RA, Mcavernosa22451-RA, Mcavernosa23855-RA	plut2.m8.6622.m1, plut2.m8.4904.m1
OG0001799	Mcavernosa03967-RA, Mcavernosa03968-RA	plut2.m8.2522.m1
OG0001800	Mcavernosa05095-RA	plut2.m8.3209.m1
OG0001801	Mcavernosa14709-RA	plut2.m8.7514.m1
OG0001801	Mcavernosa14710-RA	plut2.m8.7513.m1, plut2.m8.7512.m1
OG0001802	Mcavernosa12020-RA	plut2.m8.21711.m1
OG0001803	Mcavernosa20506-RA	plut2.m8.14353.m1, plut2.m8.24461.m1
OG0001803	Mcavernosa20571-RA	plut2.m8.25572.m1
OG0001804	Mcavernosa30248-RA	plut2.m8.19727.m1
OG0001804	Mcavernosa03639-RA	plut2.m8.25044.m1
OG0001805	Mcavernosa09002-RA	plut2.m8.13211.m1, plut2.m8.13218.m1
OG0001806	Mcavernosa35188-RA	jamg1.model.Sc0000003.1
OG0001806	Mcavernosa04084-RA	plut2.m8.29883.m1
OG0001807	Mcavernosa01127-RA	plut2.m8.6540.m1
OG0001810	Mcavernosa12394-RA	plut2.m8.11998.m1
OG0001811	Mcavernosa28128-RA	plut2.m8.18076.m1
OG0001811	Mcavernosa28126-RA	plut2.m8.18075.m1
OG0001813	Mcavernosa17976-RA	plut2.m8.17135.m1, plut2.m8.17145.m1, plut2.m8.17133.m1
OG0001815	Mcavernosa15526-RA	plut2.m8.28330.m1, plut2.m8.28328.m1, plut2.m8.31290.m1, plut2.m8.31291.m1
OG0001815	Mcavernosa19420-RA	plut2.m8.30027.m1
OG0001816	Mcavernosa33744-RA	plut2.m8.33109.m1, plut2.m8.33110.m1, plut2.m8.33108.m1
OG0001817	Mcavernosa01170-RA	plut2.m8.2950.m1
OG0001818	Mcavernosa15306-RA	plut2.m8.10127.m1, plut2.m8.10129.m1, plut2.m8.10128.m1, plut2.m8.10130.m1
OG0001819	Mcavernosa15325-RA	plut2.m8.10104.m1
OG0001819	Mcavernosa15323-RA	plut2.m8.10115.m1, plut2.m8.10116.m1
OG0001820	Mcavernosa33087-RA	plut2.m8.1525.m1
OG0001821	Mcavernosa04006-RA, Mcavernosa04004-RA	plut2.m8.9004.m1, plut2.m8.19204.m1, plut2.m8.9008.m1
OG0001823	Mcavernosa29401-RA	plut2.m8.23351.m1
OG0001824	Mcavernosa24951-RA, Mcavernosa07117-RA, Mcavernosa19777-RA, Mcavernosa13345-RA, Mcavernosa35178-RA, Mcavernosa07116-RA	jamg1.model.Sc0000122.65
OG0001827	Mcavernosa24853-RA	plut2.m8.258.m1
OG0001827	Mcavernosa24246-RA	plut2.m8.10144.m1
OG0001830	Mcavernosa09976-RA	plut2.m8.5057.m1
OG0001831	Mcavernosa06421-RA	plut2.m8.24233.m1
OG0001832	Mcavernosa27608-RA	jamg1.model.Sc0000011.153, plut2.m8.28544.m1, plut2.m8.20410.m1, plut2.m8.28541.m1, plut2.m8.24231.m1, plut2.m8.24230.m1
OG0001833	Mcavernosa14589-RA, Mcavernosa14585-RA	plut2.m8.19106.m1
OG0001834	Mcavernosa12084-RA	jamg1.model.Sc0000186.5, plut2.m8.14015.m1
OG0001836	Mcavernosa29605-RA	plut2.m8.16030.m1
OG0001836	Mcavernosa21696-RA	plut2.m8.24550.m1
OG0001837	Mcavernosa22110-RA	jamg1.model.Sc0000470.13
OG0001838	Mcavernosa08684-RA	plut2.m8.6674.m1
OG0001839	Mcavernosa25192-RA, Mcavernosa25193-RA, Mcavernosa26210-RA, Mcavernosa25207-RA, Mcavernosa25212-RA	plut2.m8.32383.m1
OG0001840	Mcavernosa28604-RA	plut2.m8.3316.m1
OG0001840	Mcavernosa03704-RA	plut2.m8.3311.m1
OG0001842	Mcavernosa20163-RA	plut2.m8.14629.m1, plut2.m8.14628.m1
OG0001843	Mcavernosa22040-RA, Mcavernosa10601-RA, Mcavernosa10590-RA	plut2.m8.29818.m1, plut2.m8.22425.m1
OG0001844	Mcavernosa31887-RA, Mcavernosa31886-RA	plut2.m8.799.m1
OG0001845	Mcavernosa11419-RA, Mcavernosa11422-RA, Mcavernosa11415-RA	plut2.m8.11658.m1
OG0001846	Mcavernosa01812-RA, Mcavernosa27484-RA	jamg1.model.Sc0000064.40
OG0001848	Mcavernosa20458-RA, Mcavernosa20462-RA	plut2.m8.8977.m1, plut2.m8.9194.m1
OG0001849	Mcavernosa27102-RA	plut2.m8.7215.m1, plut2.m8.7216.m1
OG0001851	Mcavernosa01896-RA	plut2.m8.15463.m1
OG0001851	Mcavernosa01893-RA	plut2.m8.15459.m1
OG0001853	Mcavernosa30919-RA	plut2.m8.6502.m1
OG0001855	Mcavernosa05543-RA	plut2.m8.13993.m1
OG0001856	Mcavernosa00568-RA	jamg1.model.Sc0000015.120, plut2.m8.925.m1
OG0001858	Mcavernosa17481-RA, Mcavernosa22264-RA, Mcavernosa33248-RA	jamg1.model.Sc0000028.73
OG0001859	Mcavernosa02895-RA	plut2.m8.15042.m1
OG0001863	Mcavernosa28672-RA, Mcavernosa15297-RA, Mcavernosa07425-RA	jamg1.model.Sc0000087.86
OG0001865	Mcavernosa09271-RA	plut2.m8.5148.m1
OG0001865	Mcavernosa35153-RA	plut2.m8.5144.m1
OG0001866	Mcavernosa16601-RA, Mcavernosa16603-RA	plut2.m8.11196.m1
OG0001866	Mcavernosa16602-RA	plut2.m8.11197.m1
OG0001868	Mcavernosa12806-RA	plut2.m8.20615.m1, plut2.m8.20609.m1
OG0001868	Mcavernosa12808-RA	plut2.m8.20608.m1
OG0001870	Mcavernosa30968-RA	plut2.m8.13301.m1
OG0001872	Mcavernosa07881-RA	plut2.m8.29816.m1
OG0001872	Mcavernosa07880-RA	plut2.m8.29815.m1
OG0001873	Mcavernosa08873-RA, Mcavernosa08874-RA	plut2.m8.6756.m1
OG0001874	Mcavernosa15810-RA	plut2.m8.26714.m1
OG0001878	Mcavernosa07201-RA	plut2.m8.10441.m1
OG0001879	Mcavernosa13653-RA	plut2.m8.10063.m1, plut2.m8.10066.m1
OG0001880	Mcavernosa25720-RA, Mcavernosa25712-RA, Mcavernosa27330-RA, Mcavernosa25723-RA	plut2.m8.20590.m1
OG0001881	Mcavernosa01617-RA	plut2.m8.16004.m1
OG0001881	Mcavernosa01618-RA	plut2.m8.24530.m1
OG0001882	Mcavernosa20118-RA	plut2.m8.470.m1
OG0001883	Mcavernosa23216-RA	plut2.m8.1807.m1
OG0001883	Mcavernosa23217-RA	plut2.m8.12884.m1
OG0001885	Mcavernosa14207-RA	plut2.m8.30519.m1
OG0001886	Mcavernosa03194-RA	plut2.m8.12496.m1
OG0001887	Mcavernosa14718-RA	plut2.m8.7505.m1
OG0001887	Mcavernosa14716-RA	plut2.m8.31672.m1
OG0001888	Mcavernosa25640-RA	plut2.m8.19100.m1
OG0001889	Mcavernosa14023-RA, Mcavernosa14026-RA	plut2.m8.22726.m1, plut2.m8.22724.m1
OG0001890	Mcavernosa16087-RA	plut2.m8.29174.m1
OG0001891	Mcavernosa33146-RA	plut2.m8.14509.m1, plut2.m8.20916.m1
OG0001892	Mcavernosa24541-RA, Mcavernosa33062-RA, Mcavernosa24543-RA	plut2.m8.7765.m1
OG0001893	Mcavernosa20216-RA	plut2.m8.19008.m1
OG0001893	Mcavernosa20214-RA, Mcavernosa33135-RA	plut2.m8.19009.m1
OG0001895	Mcavernosa08379-RA	plut2.m8.26869.m1
OG0001896	Mcavernosa00979-RA	plut2.m8.18670.m1, plut2.m8.18669.m1
OG0001896	Mcavernosa00978-RA	plut2.m8.18668.m1
OG0001897	Mcavernosa01477-RA, Mcavernosa01460-RA, Mcavernosa25569-RA	plut2.m8.32889.m1, plut2.m8.32883.m1, plut2.m8.867.m1, plut2.m8.876.m1
OG0001898	Mcavernosa01547-RA	plut2.m8.30637.m1, plut2.m8.30635.m1
OG0001899	Mcavernosa26240-RA, Mcavernosa21535-RA	plut2.m8.41.m1
OG0001901	Mcavernosa25862-RA, Mcavernosa34053-RA	plut2.m8.25127.m1, plut2.m8.21150.m1, plut2.m8.556.m1
OG0001902	Mcavernosa24927-RA	plut2.m8.33071.m1, plut2.m8.7614.m1
OG0001903	Mcavernosa08076-RA, Mcavernosa30831-RA, Mcavernosa33241-RA, Mcavernosa08078-RA	plut2.m8.11361.m1
OG0001904	Mcavernosa24928-RA	plut2.m8.7930.m1
OG0001905	Mcavernosa05416-RA, Mcavernosa05414-RA	plut2.m8.14722.m1
OG0001906	Mcavernosa24771-RA	plut2.m8.5787.m1, plut2.m8.11034.m1
OG0001907	Mcavernosa27596-RA	plut2.m8.8585.m1, plut2.m8.31301.m1, plut2.m8.8584.m1, plut2.m8.31303.m1, plut2.m8.8587.m1
OG0001908	Mcavernosa14924-RA	plut2.m8.8847.m1, plut2.m8.8845.m1, plut2.m8.8846.m1
OG0001909	Mcavernosa15443-RA	plut2.m8.3028.m1
OG0001910	Mcavernosa21100-RA, Mcavernosa21099-RA	plut2.m8.22332.m1
OG0001911	Mcavernosa15452-RA, Mcavernosa15451-RA	plut2.m8.3012.m1, plut2.m8.3013.m1
OG0001912	Mcavernosa29794-RA	plut2.m8.28417.m1
OG0001913	Mcavernosa19744-RA, Mcavernosa01397-RA, Mcavernosa21984-RA	plut2.m8.19952.m1
OG0001914	Mcavernosa34175-RA, Mcavernosa34283-RA, Mcavernosa33203-RA	jamg1.model.Sc0000537.19, jamg1.model.Sc0000537.17, jamg1.model.Sc0000250.42
OG0001915	Mcavernosa11071-RA, Mcavernosa11065-RA, Mcavernosa33184-RA, Mcavernosa35206-RA	plut2.m8.16256.m1
OG0001916	Mcavernosa10213-RA	plut2.m8.30016.m1
OG0001917	Mcavernosa31894-RA	plut2.m8.6803.m1
OG0001918	Mcavernosa16707-RA, Mcavernosa32057-RA	plut2.m8.4334.m1
OG0001920	Mcavernosa32530-RA	plut2.m8.24362.m1, plut2.m8.11664.m1, plut2.m8.33445.m1, plut2.m8.11671.m1, plut2.m8.24356.m1
OG0001921	Mcavernosa03247-RA	plut2.m8.24187.m1, plut2.m8.25245.m1, plut2.m8.24188.m1
OG0001922	Mcavernosa05301-RA, Mcavernosa05305-RA	plut2.m8.31872.m1
OG0001923	Mcavernosa05367-RA, Mcavernosa33029-RA, Mcavernosa33483-RA, Mcavernosa05366-RA	plut2.m8.4227.m1
OG0001923	Mcavernosa05368-RA	plut2.m8.19248.m1
OG0001924	Mcavernosa06729-RA, Mcavernosa06727-RA	plut2.m8.17044.m1, plut2.m8.17042.m1
OG0001925	Mcavernosa24002-RA	plut2.m8.1816.m1
OG0001926	Mcavernosa32940-RA, Mcavernosa24116-RA	plut2.m8.26314.m1
OG0001927	Mcavernosa09316-RA	plut2.m8.29957.m1
OG0001927	Mcavernosa09315-RA	plut2.m8.29956.m1, plut2.m8.29958.m1
OG0001928	Mcavernosa17292-RA, Mcavernosa17293-RA	plut2.m8.14784.m1
OG0001930	Mcavernosa05800-RA	jamg1.model.Sc0000156.7
OG0001931	Mcavernosa19468-RA	plut2.m8.18424.m1
OG0001934	Mcavernosa29494-RA, Mcavernosa29495-RA	plut2.m8.9163.m1
OG0001936	Mcavernosa05082-RA	plut2.m8.5856.m1
OG0001938	Mcavernosa21522-RA	plut2.m8.24040.m1
OG0001939	Mcavernosa15280-RA	jamg1.model.Sc0000014.74
OG0001940	Mcavernosa17492-RA, Mcavernosa17494-RA	plut2.m8.19559.m1, plut2.m8.9360.m1, jamg1.model.Sc0000241.42, jamg1.model.xfSc0002483.1, plut2.m8.20658.m1, plut2.m8.26738.m1, plut2.m8.26741.m1, plut2.m8.17560.m1
OG0001942	Mcavernosa13930-RA, Mcavernosa13927-RA, Mcavernosa13929-RA	plut2.m8.16586.m1, plut2.m8.17126.m1
OG0001943	Mcavernosa21711-RA	plut2.m8.3144.m1, plut2.m8.3150.m1
OG0001944	Mcavernosa02837-RA	plut2.m8.8956.m1
OG0001945	Mcavernosa31561-RA	plut2.m8.17494.m1
OG0001945	Mcavernosa31560-RA	plut2.m8.2157.m1
OG0001946	Mcavernosa07360-RA	plut2.m8.11186.m1
OG0001947	Mcavernosa03195-RA, Mcavernosa03197-RA	plut2.m8.12498.m1
OG0001948	Mcavernosa12635-RA, Mcavernosa08808-RA	jamg1.model.Sc0000380.17
OG0001950	Mcavernosa03492-RA	plut2.m8.23075.m1
OG0001951	Mcavernosa27021-RA	plut2.m8.3974.m1
OG0001952	Mcavernosa07652-RA	plut2.m8.11303.m1
OG0001953	Mcavernosa16982-RA	plut2.m8.21178.m1
OG0001954	Mcavernosa00404-RA, Mcavernosa00401-RA	jamg1.model.Sc0000015.107
OG0001955	Mcavernosa12127-RA	plut2.m8.32497.m1
OG0001955	Mcavernosa15757-RA, Mcavernosa15756-RA	plut2.m8.515.m1
OG0001956	Mcavernosa17675-RA	plut2.m8.28369.m1
OG0001956	Mcavernosa17674-RA	plut2.m8.28370.m1
OG0001958	Mcavernosa19007-RA	plut2.m8.28862.m1
OG0001959	Mcavernosa03620-RA	plut2.m8.5200.m1
OG0001959	Mcavernosa03627-RA, Mcavernosa03622-RA	plut2.m8.5199.m1
OG0001961	Mcavernosa06982-RA, Mcavernosa04436-RA, Mcavernosa30538-RA, Mcavernosa06979-RA	plut2.m8.28409.m1, plut2.m8.28408.m1
OG0001962	Mcavernosa24758-RA, Mcavernosa29632-RA	plut2.m8.26474.m1
OG0001964	Mcavernosa07355-RA	plut2.m8.13131.m1
OG0001968	Mcavernosa12278-RA, Mcavernosa20455-RA, Mcavernosa12279-RA	plut2.m8.27739.m1
OG0001969	Mcavernosa19872-RA	plut2.m8.423.m1
OG0001970	Mcavernosa09188-RA	plut2.m8.8833.m1, plut2.m8.8226.m1
OG0001971	Mcavernosa14916-RA	plut2.m8.20323.m1
OG0001972	Mcavernosa17529-RA	plut2.m8.2025.m1
