Orthogroup	Acerv_assembly_v1.0.protein	Pocillopora_acuta_HIv1.genes.pep
OG0002591	Acerv_evm.model.Segkk49_pilon.9	Pocillopora_acuta_HIv1_PredGene_g16706.t1
OG0002592	Acerv_evm.model.Segkk50_pilon.2	Pocillopora_acuta_HIv1_PredGene_g24265.t1, Pocillopora_acuta_HIv1_PredGene_g32631.t1
OG0002593	Acerv_evm.model.Segkk1128_pilon.5	Pocillopora_acuta_HIv1_PredGene_g23847.t1
OG0002593	Acerv_evm.model.Segkk1731_pilon.5, Acerv_evm.model.Segkk56_pilon.3, Acerv_evm.model.Segkk1882_pilon.7	Pocillopora_acuta_HIv1_PredGene_g9333.t3, Pocillopora_acuta_HIv1_PredGene_g9333.t2
OG0002595	Acerv_evm.model.Segkk58_pilon.10	Pocillopora_acuta_HIv1_PredGene_g17002.t1
OG0002596	Acerv_evm.model.Segkk60_pilon.11	Pocillopora_acuta_HIv1_PredGene_g29013.t1, Pocillopora_acuta_HIv1_PredGene_8262_t, Pocillopora_acuta_HIv1_PredGene_g29015.t1
OG0002597	Acerv_evm.model.Segkk61_pilon.1	Pocillopora_acuta_HIv1_PredGene_g8248.t1, Pocillopora_acuta_HIv1_PredGene_g8250.t1, Pocillopora_acuta_HIv1_PredGene_g8249.t1, Pocillopora_acuta_HIv1_PredGene_g8251.t1
OG0002598	Acerv_evm.model.Segkk63_pilon.2, Acerv_evm.model.Segkk3444_pilon.6	Pocillopora_acuta_HIv1_PredGene_g5338.t1
OG0002599	Acerv_evm.model.Segkk76_pilon.17	Pocillopora_acuta_HIv1_PredGene_g22091.t1
OG0002600	Acerv_evm.model.Segkk94_pilon.2, Acerv_evm.model.Segkk3407_pilon.17	Pocillopora_acuta_HIv1_PredGene_g1876.t1, Pocillopora_acuta_HIv1_PredGene_g24237.t1
OG0002601	Acerv_evm.model.Segkk96_pilon.5	Pocillopora_acuta_HIv1_PredGene_g20098.t1
OG0002602	Acerv_evm.model.Segkk98_pilon.2	Pocillopora_acuta_HIv1_PredGene_g27437.t1, Pocillopora_acuta_HIv1_PredGene_g9655.t2, Pocillopora_acuta_HIv1_PredGene_g9655.t1, Pocillopora_acuta_HIv1_PredGene_g27437.t2
OG0002603	Acerv_evm.model.Segkk105_pilon.14	Pocillopora_acuta_HIv1_PredGene_g24324.t1
OG0002604	Acerv_evm.model.Segkk111_pilon.2	Pocillopora_acuta_HIv1_PredGene_g19861.t1, Pocillopora_acuta_HIv1_PredGene_24859_t, Pocillopora_acuta_HIv1_PredGene_g19430.t1
OG0002605	Acerv_evm.model.Segkk114_pilon.9	Pocillopora_acuta_HIv1_PredGene_g19841.t2, Pocillopora_acuta_HIv1_PredGene_g19841.t1
OG0002607	Acerv_evm.model.Segkk119_pilon.4	Pocillopora_acuta_HIv1_PredGene_540_t, Pocillopora_acuta_HIv1_PredGene_g7555.t1
OG0002608	Acerv_evm.model.Segkk1365_pilon.1	Pocillopora_acuta_HIv1_PredGene_g25111.t1
OG0002609	Acerv_evm.model.Segkk125_pilon.8	Pocillopora_acuta_HIv1_PredGene_28479_t, Pocillopora_acuta_HIv1_PredGene_g15405.t1
OG0002610	Acerv_evm.model.Segkk2390_pilon.8	Pocillopora_acuta_HIv1_PredGene_g2852.t1
OG0002610	Acerv_evm.model.Segkk152_pilon.2	Pocillopora_acuta_HIv1_PredGene_18375_t
OG0002611	Acerv_evm.model.Segkk3056_pilon.5	Pocillopora_acuta_HIv1_PredGene_g23054.t1
OG0002611	Acerv_evm.model.Segkk717_pilon.10	Pocillopora_acuta_HIv1_PredGene_g2231.t1
OG0002612	Acerv_evm.model.Segkk4101_pilon.1, Acerv_evm.model.Segkk168_pilon.1	Pocillopora_acuta_HIv1_PredGene_g7685.t2, Pocillopora_acuta_HIv1_PredGene_g7685.t1
OG0002614	Acerv_evm.model.Segkk639_pilon.3, Acerv_evm.model.Segkk189_pilon.7	Pocillopora_acuta_HIv1_PredGene_g15465.t1
OG0002615	Acerv_evm.model.Segkk2996_pilon.3, Acerv_evm.model.Segkk3454_pilon.32	Pocillopora_acuta_HIv1_PredGene_g17794.t1
OG0002615	Acerv_evm.model.Segkk196_pilon.2	Pocillopora_acuta_HIv1_PredGene_g25083.t1, Pocillopora_acuta_HIv1_PredGene_g25078.t1, Pocillopora_acuta_HIv1_PredGene_g23389.t1, Pocillopora_acuta_HIv1_PredGene_g6239.t1, Pocillopora_acuta_HIv1_PredGene_g25076.t1
OG0002616	Acerv_evm.model.Segkk1261_pilon.12	Pocillopora_acuta_HIv1_PredGene_g13031.t2
OG0002616	Acerv_evm.model.Segkk203_pilon.1, Acerv_evm.model.Segkk4284_pilon.2, Acerv_evm.model.Segkk4284_pilon.1	Pocillopora_acuta_HIv1_PredGene_g13031.t1
OG0002617	Acerv_evm.model.Segkk228_pilon.7	Pocillopora_acuta_HIv1_PredGene_g1999.t1
OG0002618	Acerv_evm.model.Segkk229_pilon.16, Acerv_evm.model.Segkk229_pilon.17	Pocillopora_acuta_HIv1_PredGene_g22260.t1, Pocillopora_acuta_HIv1_PredGene_g5787.t1, Pocillopora_acuta_HIv1_PredGene_28690_t, Pocillopora_acuta_HIv1_PredGene_8415_t
OG0002619	Acerv_evm.model.Segkk230_pilon.2	Pocillopora_acuta_HIv1_PredGene_g522.t1, Pocillopora_acuta_HIv1_PredGene_g522.t2
OG0002620	Acerv_evm.model.Segkk252_pilon.12, Acerv_evm.model.Segkk236_pilon.13, Acerv_evm.model.Segkk3351_pilon.4	Pocillopora_acuta_HIv1_PredGene_g4914.t1
OG0002621	Acerv_evm.model.Segkk3856_pilon.6, Acerv_evm.model.Segkk2790_pilon.1, Acerv_evm.model.Segkk735_pilon.12, Acerv_evm.model.Segkk236_pilon.10	Pocillopora_acuta_HIv1_PredGene_g15171.t1, Pocillopora_acuta_HIv1_PredGene_g15175.t1, Pocillopora_acuta_HIv1_PredGene_g10582.t1, Pocillopora_acuta_HIv1_PredGene_g2416.t1
OG0002622	Acerv_evm.model.Segkk3528_pilon.1, Acerv_evm.model.Segkk1079_pilon.10, Acerv_evm.model.Segkk2594_pilon.18, Acerv_evm.model.Segkk1894_pilon.3, Acerv_evm.model.Segkk1216_pilon.5, Acerv_evm.model.Segkk249_pilon.1, Acerv_evm.model.Segkk2568_pilon.5, Acerv_evm.model.Segkk2881_pilon.4	Pocillopora_acuta_HIv1_PredGene_g8092.t1
OG0002623	Acerv_evm.model.Segkk250_pilon.1	Pocillopora_acuta_HIv1_PredGene_g14439.t1, Pocillopora_acuta_HIv1_PredGene_g31462.t1, Pocillopora_acuta_HIv1_PredGene_g32071.t1, Pocillopora_acuta_HIv1_PredGene_g31460.t1, Pocillopora_acuta_HIv1_PredGene_g32069.t1
OG0002624	Acerv_evm.model.Segkk252_pilon.1, Acerv_evm.model.Segkk1282_pilon.10	Pocillopora_acuta_HIv1_PredGene_g3788.t1, Pocillopora_acuta_HIv1_PredGene_g3783.t1, Pocillopora_acuta_HIv1_PredGene_g3785.t1, Pocillopora_acuta_HIv1_PredGene_g3789.t1
OG0002625	Acerv_evm.model.Segkk252_pilon.7	Pocillopora_acuta_HIv1_PredGene_g3777.t1
OG0002626	Acerv_evm.model.Segkk253_pilon.9	Pocillopora_acuta_HIv1_PredGene_g14650.t1, Pocillopora_acuta_HIv1_PredGene_g14649.t1
OG0002627	Acerv_evm.model.Segkk255_pilon.10	Pocillopora_acuta_HIv1_PredGene_28218_t, Pocillopora_acuta_HIv1_PredGene_26317_t, Pocillopora_acuta_HIv1_PredGene_g24033.t1, Pocillopora_acuta_HIv1_PredGene_g16504.t2, Pocillopora_acuta_HIv1_PredGene_g16504.t1
OG0002628	Acerv_evm.model.Segkk261_pilon.3	Pocillopora_acuta_HIv1_PredGene_g5112.t1, Pocillopora_acuta_HIv1_PredGene_g15363.t1, Pocillopora_acuta_HIv1_PredGene_26978_t
OG0002629	Acerv_evm.model.Segkk286_pilon.6	Pocillopora_acuta_HIv1_PredGene_g4472.t2, Pocillopora_acuta_HIv1_PredGene_g4472.t1, Pocillopora_acuta_HIv1_PredGene_11435_t
OG0002630	Acerv_evm.model.Segkk296_pilon.6	Pocillopora_acuta_HIv1_PredGene_g33551.t1
OG0002632	Acerv_evm.model.Segkk306_pilon.12	Pocillopora_acuta_HIv1_PredGene_g16375.t1
OG0002632	Acerv_evm.model.Segkk306_pilon.13	Pocillopora_acuta_HIv1_PredGene_g16374.t2, Pocillopora_acuta_HIv1_PredGene_g16374.t1
OG0002633	Acerv_evm.model.Segkk309_pilon.9, Acerv_evm.model.Segkk4341_pilon.1	Pocillopora_acuta_HIv1_PredGene_g16498.t1
OG0002634	Acerv_evm.model.Segkk310_pilon.8	Pocillopora_acuta_HIv1_PredGene_g17688.t1, Pocillopora_acuta_HIv1_PredGene_g17688.t2
OG0002635	Acerv_evm.model.Segkk310_pilon.1, Acerv_evm.model.Segkk2983_pilon.1	Pocillopora_acuta_HIv1_PredGene_g17681.t1
OG0002636	Acerv_evm.model.Segkk2611_pilon.9, Acerv_evm.model.Segkk312_pilon.14	Pocillopora_acuta_HIv1_PredGene_g17801.t1
OG0002639	Acerv_evm.model.Segkk327_pilon.17	Pocillopora_acuta_HIv1_PredGene_g22946.t1, Pocillopora_acuta_HIv1_PredGene_g6716.t1, Pocillopora_acuta_HIv1_PredGene_g22680.t1
OG0002640	Acerv_evm.model.Segkk333_pilon.1, Acerv_evm.model.Segkk1526_pilon.2, Acerv_evm.model.Segkk333_pilon.6, Acerv_evm.model.Segkk2390_pilon.4	Pocillopora_acuta_HIv1_PredGene_g2858.t1
OG0002641	Acerv_evm.model.Segkk335_pilon.20	Pocillopora_acuta_HIv1_PredGene_g13478.t1, Pocillopora_acuta_HIv1_PredGene_g13478.t2, Pocillopora_acuta_HIv1_PredGene_17693_t
OG0002642	Acerv_evm.model.Segkk1232_pilon.1	Pocillopora_acuta_HIv1_PredGene_19669_t
OG0002642	Acerv_evm.model.Segkk337_pilon.1	Pocillopora_acuta_HIv1_PredGene_g24196.t1, Pocillopora_acuta_HIv1_PredGene_g24196.t2
OG0002643	Acerv_evm.model.Segkk348_pilon.12, Acerv_evm.model.Segkk2242_pilon.9	Pocillopora_acuta_HIv1_PredGene_g14312.t1, Pocillopora_acuta_HIv1_PredGene_g13911.t1, Pocillopora_acuta_HIv1_PredGene_g13911.t2
OG0002644	Acerv_evm.model.Segkk354_pilon.4	Pocillopora_acuta_HIv1_PredGene_g22459.t3, Pocillopora_acuta_HIv1_PredGene_g22459.t1, Pocillopora_acuta_HIv1_PredGene_g22459.t2
OG0002645	Acerv_evm.model.Segkk3462_pilon.2, Acerv_evm.model.Segkk355_pilon.17, Acerv_evm.model.Segkk2833_pilon.1	Pocillopora_acuta_HIv1_PredGene_29649_t, Pocillopora_acuta_HIv1_PredGene_g25414.t2, Pocillopora_acuta_HIv1_PredGene_g25414.t1
OG0002646	Acerv_evm.model.Segkk1203_pilon.6, Acerv_evm.model.Segkk3271_pilon.1, Acerv_evm.model.Segkk362_pilon.1	Pocillopora_acuta_HIv1_PredGene_g8665.t1, Pocillopora_acuta_HIv1_PredGene_g6390.t1
OG0002647	Acerv_evm.model.Segkk625_pilon.6, Acerv_evm.model.Segkk368_pilon.2	Pocillopora_acuta_HIv1_PredGene_g2213.t1
OG0002648	Acerv_evm.model.Segkk3464_pilon.12, Acerv_evm.model.Segkk389_pilon.6, Acerv_evm.model.Segkk3386_pilon.2, Acerv_evm.model.Segkk2310_pilon.3	Pocillopora_acuta_HIv1_PredGene_g19290.t1, Pocillopora_acuta_HIv1_PredGene_g26102.t1, Pocillopora_acuta_HIv1_PredGene_g26101.t1
OG0002649	Acerv_evm.model.Segkk2362_pilon.4	Pocillopora_acuta_HIv1_PredGene_1812_t
OG0002649	Acerv_evm.model.Segkk396_pilon.1	Pocillopora_acuta_HIv1_PredGene_g17593.t1
OG0002650	Acerv_evm.model.Segkk415_pilon.3, Acerv_evm.model.Segkk1222_pilon.6, Acerv_evm.model.Segkk4038_pilon.15, Acerv_evm.model.Segkk2300_pilon.15, Acerv_evm.model.Segkk3864_pilon.3, Acerv_evm.model.Segkk2666_pilon.26	Pocillopora_acuta_HIv1_PredGene_g15386.t1
OG0002651	Acerv_evm.model.Segkk416_pilon.4	Pocillopora_acuta_HIv1_PredGene_g19858.t1, Pocillopora_acuta_HIv1_PredGene_g19426.t1, Pocillopora_acuta_HIv1_PredGene_g19856.t1, Pocillopora_acuta_HIv1_PredGene_g19422.t1, Pocillopora_acuta_HIv1_PredGene_g19425.t1
OG0002652	Acerv_evm.model.Segkk441_pilon.3	Pocillopora_acuta_HIv1_PredGene_g31811.t1, Pocillopora_acuta_HIv1_PredGene_g33572.t2, Pocillopora_acuta_HIv1_PredGene_g33572.t1, Pocillopora_acuta_HIv1_PredGene_g31811.t2
OG0002654	Acerv_evm.model.Segkk442_pilon.1	Pocillopora_acuta_HIv1_PredGene_g26169.t1
OG0002655	Acerv_evm.model.Segkk4042_pilon.6, Acerv_evm.model.Segkk443_pilon.2, Acerv_evm.model.Segkk1923_pilon.3	Pocillopora_acuta_HIv1_PredGene_g13858.t1
OG0002656	Acerv_evm.model.Segkk450_pilon.2	Pocillopora_acuta_HIv1_PredGene_g13741.t1
OG0002656	Acerv_evm.model.Segkk450_pilon.1	Pocillopora_acuta_HIv1_PredGene_g13739.t1
OG0002657	Acerv_evm.model.Segkk1887_pilon.16, Acerv_evm.model.Segkk457_pilon.1	Pocillopora_acuta_HIv1_PredGene_3229_t
OG0002658	Acerv_evm.model.Segkk873_pilon.15	Pocillopora_acuta_HIv1_PredGene_g5483.t1
OG0002658	Acerv_evm.model.Segkk3736_pilon.4, Acerv_evm.model.Segkk2164_pilon.7, Acerv_evm.model.Segkk2108_pilon.1, Acerv_evm.model.Segkk463_pilon.2	Pocillopora_acuta_HIv1_PredGene_g3405.t1, Pocillopora_acuta_HIv1_PredGene_g1805.t1
OG0002659	Acerv_evm.model.Segkk470_pilon.25	Pocillopora_acuta_HIv1_PredGene_g33471.t1, Pocillopora_acuta_HIv1_PredGene_16656_t, Pocillopora_acuta_HIv1_PredGene_g27200.t1
OG0002660	Acerv_evm.model.Segkk476_pilon.13	Pocillopora_acuta_HIv1_PredGene_g17007.t1
OG0002661	Acerv_evm.model.Segkk478_pilon.8	Pocillopora_acuta_HIv1_PredGene_g24502.t1, Pocillopora_acuta_HIv1_PredGene_9530_t, Pocillopora_acuta_HIv1_PredGene_g24502.t2
OG0002663	Acerv_evm.model.Segkk487_pilon.16	Pocillopora_acuta_HIv1_PredGene_g18855.t1
OG0002663	Acerv_evm.model.Segkk3827_pilon.18	Pocillopora_acuta_HIv1_PredGene_g28528.t1
OG0002664	Acerv_evm.model.Segkk897_pilon.12	Pocillopora_acuta_HIv1_PredGene_g29139.t1, Pocillopora_acuta_HIv1_PredGene_g21161.t1
OG0002665	Acerv_evm.model.Segkk524_pilon.21	Pocillopora_acuta_HIv1_PredGene_g22875.t1
OG0002666	Acerv_evm.model.Segkk524_pilon.49, Acerv_evm.model.Segkk524_pilon.55, Acerv_evm.model.Segkk524_pilon.54	Pocillopora_acuta_HIv1_PredGene_30116_t, Pocillopora_acuta_HIv1_PredGene_6444_t
OG0002667	Acerv_evm.model.Segkk524_pilon.66	Pocillopora_acuta_HIv1_PredGene_g22276.t1
OG0002668	Acerv_evm.model.Segkk524_pilon.45	Pocillopora_acuta_HIv1_PredGene_g22842.t1
OG0002670	Acerv_evm.model.Segkk543_pilon.17	Pocillopora_acuta_HIv1_PredGene_g25357.t1
OG0002671	Acerv_evm.model.Segkk1316_pilon.25, Acerv_evm.model.Segkk2870_pilon.1	Pocillopora_acuta_HIv1_PredGene_g32764.t1
OG0002672	Acerv_evm.model.Segkk549_pilon.2	Pocillopora_acuta_HIv1_PredGene_15327_t, Pocillopora_acuta_HIv1_PredGene_g2237.t1
OG0002672	Acerv_evm.model.Segkk549_pilon.1	Pocillopora_acuta_HIv1_PredGene_g26961.t1
OG0002673	Acerv_evm.model.Segkk555_pilon.41	Pocillopora_acuta_HIv1_PredGene_9042_t, Pocillopora_acuta_HIv1_PredGene_g14080.t1
OG0002674	Acerv_evm.model.Segkk555_pilon.1	Pocillopora_acuta_HIv1_PredGene_g6468.t1, Pocillopora_acuta_HIv1_PredGene_g20485.t1
OG0002675	Acerv_evm.model.Segkk555_pilon.7	Pocillopora_acuta_HIv1_PredGene_g9708.t1, Pocillopora_acuta_HIv1_PredGene_g9704.t1
OG0002676	Acerv_evm.model.Segkk555_pilon.6	Pocillopora_acuta_HIv1_PredGene_7033_t, Pocillopora_acuta_HIv1_PredGene_26944_t, Pocillopora_acuta_HIv1_PredGene_g20568.t1, Pocillopora_acuta_HIv1_PredGene_g15330.t1, Pocillopora_acuta_HIv1_PredGene_g14204.t1
OG0002677	Acerv_evm.model.Segkk1946_pilon.53	Pocillopora_acuta_HIv1_PredGene_g8473.t1
OG0002677	Acerv_evm.model.Segkk1003_pilon.53, Acerv_evm.model.Segkk1346_pilon.10, Acerv_evm.model.Segkk3238_pilon.5, Acerv_evm.model.Segkk574_pilon.11	Pocillopora_acuta_HIv1_PredGene_g4276.t1
OG0002678	Acerv_evm.model.Segkk680_pilon.4, Acerv_evm.model.Segkk575_pilon.2	Pocillopora_acuta_HIv1_PredGene_g14713.t1, Pocillopora_acuta_HIv1_PredGene_g14712.t1, Pocillopora_acuta_HIv1_PredGene_g14714.t1
OG0002679	Acerv_evm.model.Segkk580_pilon.1	Pocillopora_acuta_HIv1_PredGene_g11226.t1
OG0002680	Acerv_evm.model.Segkk580_pilon.26	Pocillopora_acuta_HIv1_PredGene_g8141.t1
OG0002681	Acerv_evm.model.Segkk583_pilon.11	Pocillopora_acuta_HIv1_PredGene_g33118.t1, Pocillopora_acuta_HIv1_PredGene_g33117.t1
OG0002682	Acerv_evm.model.Segkk603_pilon.4	Pocillopora_acuta_HIv1_PredGene_g10078.t1, Pocillopora_acuta_HIv1_PredGene_12345_t
OG0002683	Acerv_evm.model.Segkk610_pilon.1	Pocillopora_acuta_HIv1_PredGene_g28822.t1, Pocillopora_acuta_HIv1_PredGene_g4267.t1
OG0002684	Acerv_evm.model.Segkk635_pilon.4, Acerv_evm.model.Segkk635_pilon.5	Pocillopora_acuta_HIv1_PredGene_21113_t
OG0002685	Acerv_evm.model.Segkk641_pilon.2	Pocillopora_acuta_HIv1_PredGene_g12121.t1, Pocillopora_acuta_HIv1_PredGene_g7711.t1, Pocillopora_acuta_HIv1_PredGene_13435_t, Pocillopora_acuta_HIv1_PredGene_g12121.t2, Pocillopora_acuta_HIv1_PredGene_g7711.t2
OG0002686	Acerv_evm.model.Segkk3731_pilon.1, Acerv_evm.model.Segkk642_pilon.35	Pocillopora_acuta_HIv1_PredGene_g3369.t1, Pocillopora_acuta_HIv1_PredGene_g6919.t1, Pocillopora_acuta_HIv1_PredGene_g6923.t1
OG0002688	Acerv_evm.model.Segkk3052_pilon.12, Acerv_evm.model.Segkk3052_pilon.15, Acerv_evm.model.Segkk3052_pilon.13, Acerv_evm.model.Segkk647_pilon.13	Pocillopora_acuta_HIv1_PredGene_g25738.t1
OG0002689	Acerv_evm.model.Segkk664_pilon.9, Acerv_evm.model.Segkk664_pilon.8	Pocillopora_acuta_HIv1_PredGene_g3604.t1, Pocillopora_acuta_HIv1_PredGene_21541_t
OG0002690	Acerv_evm.model.Segkk666_pilon.2	Pocillopora_acuta_HIv1_PredGene_g11079.t1, Pocillopora_acuta_HIv1_PredGene_g20009.t1, Pocillopora_acuta_HIv1_PredGene_g16623.t1, Pocillopora_acuta_HIv1_PredGene_30282_t
OG0002691	Acerv_evm.model.Segkk669_pilon.23, Acerv_evm.model.Segkk2650_pilon.4, Acerv_evm.model.Segkk1394_pilon.19	Pocillopora_acuta_HIv1_PredGene_g30370.t1
OG0002691	Acerv_evm.model.Segkk2889_pilon.23, Acerv_evm.model.Segkk1728_pilon.29	Pocillopora_acuta_HIv1_PredGene_g25174.t1, Pocillopora_acuta_HIv1_PredGene_g27062.t1
OG0002692	Acerv_evm.model.Segkk669_pilon.21	Pocillopora_acuta_HIv1_PredGene_g16682.t1
OG0002693	Acerv_evm.model.Segkk669_pilon.4	Pocillopora_acuta_HIv1_PredGene_g9257.t1, Pocillopora_acuta_HIv1_PredGene_g9251.t1, Pocillopora_acuta_HIv1_PredGene_g850.t1
OG0002694	Acerv_evm.model.Segkk674_pilon.8, Acerv_evm.model.Segkk3809_pilon.6	Pocillopora_acuta_HIv1_PredGene_g26968.t1, Pocillopora_acuta_HIv1_PredGene_g2246.t1
OG0002695	Acerv_evm.model.Segkk3988_pilon.7	Pocillopora_acuta_HIv1_PredGene_g26344.t1
OG0002696	Acerv_evm.model.Segkk1711_pilon.2, Acerv_evm.model.Segkk2727_pilon.1, Acerv_evm.model.Segkk2264_pilon.14	Pocillopora_acuta_HIv1_PredGene_g8723.t1
OG0002696	Acerv_evm.model.Segkk680_pilon.16	Pocillopora_acuta_HIv1_PredGene_g32269.t1, Pocillopora_acuta_HIv1_PredGene_g28277.t1, Pocillopora_acuta_HIv1_PredGene_g27207.t1, Pocillopora_acuta_HIv1_PredGene_g28282.t1
OG0002697	Acerv_evm.model.Segkk1091_pilon.9, Acerv_evm.model.Segkk2183_pilon.1, Acerv_evm.model.Segkk2611_pilon.3, Acerv_evm.model.Segkk2061_pilon.18, Acerv_evm.model.Segkk2164_pilon.25, Acerv_evm.model.Segkk698_pilon.7	Pocillopora_acuta_HIv1_PredGene_g10362.t1
OG0002698	Acerv_evm.model.Segkk3594_pilon.5, Acerv_evm.model.Segkk706_pilon.11	Pocillopora_acuta_HIv1_PredGene_g32707.t1
OG0002699	Acerv_evm.model.Segkk711_pilon.25	Pocillopora_acuta_HIv1_PredGene_g27290.t1, Pocillopora_acuta_HIv1_PredGene_g27290.t2, Pocillopora_acuta_HIv1_PredGene_g27290.t3
OG0002700	Acerv_evm.model.Segkk711_pilon.32	Pocillopora_acuta_HIv1_PredGene_31910_t, Pocillopora_acuta_HIv1_PredGene_25104_t, Pocillopora_acuta_HIv1_PredGene_g27284.t1, Pocillopora_acuta_HIv1_PredGene_g26234.t1
OG0002702	Acerv_evm.model.Segkk714_pilon.8, Acerv_evm.model.Segkk714_pilon.9	Pocillopora_acuta_HIv1_PredGene_g24447.t1
OG0002704	Acerv_evm.model.Segkk723_pilon.7	Pocillopora_acuta_HIv1_PredGene_g9106.t2, Pocillopora_acuta_HIv1_PredGene_g9106.t1, Pocillopora_acuta_HIv1_PredGene_g9106.t3
OG0002705	Acerv_evm.model.Segkk723_pilon.20	Pocillopora_acuta_HIv1_PredGene_g27218.t1
OG0002706	Acerv_evm.model.Segkk732_pilon.3, Acerv_evm.model.Segkk3702_pilon.1	Pocillopora_acuta_HIv1_PredGene_g31580.t1, Pocillopora_acuta_HIv1_PredGene_g31579.t1, Pocillopora_acuta_HIv1_PredGene_g31578.t1
OG0002707	Acerv_evm.model.Segkk1935_pilon.1, Acerv_evm.model.Segkk735_pilon.27	Pocillopora_acuta_HIv1_PredGene_g16491.t1
OG0002708	Acerv_evm.model.Segkk742_pilon.9	Pocillopora_acuta_HIv1_PredGene_8122_t, Pocillopora_acuta_HIv1_PredGene_g28873.t1, Pocillopora_acuta_HIv1_PredGene_g6377.t1
OG0002709	Acerv_evm.model.Segkk750_pilon.14	Pocillopora_acuta_HIv1_PredGene_663_t, Pocillopora_acuta_HIv1_PredGene_g7688.t1
OG0002710	Acerv_evm.model.Segkk1536_pilon.2, Acerv_evm.model.Segkk2390_pilon.17, Acerv_evm.model.Segkk754_pilon.4	Pocillopora_acuta_HIv1_PredGene_g2832.t1
OG0002711	Acerv_evm.model.Segkk755_pilon.1	Pocillopora_acuta_HIv1_PredGene_g9891.t1
OG0002711	Acerv_evm.model.Segkk1513_pilon.18, Acerv_evm.model.Segkk755_pilon.11	Pocillopora_acuta_HIv1_PredGene_g26220.t1, Pocillopora_acuta_HIv1_PredGene_g9890.t1
OG0002712	Acerv_evm.model.Segkk759_pilon.6	Pocillopora_acuta_HIv1_PredGene_g22256.t1, Pocillopora_acuta_HIv1_PredGene_g22256.t3, Pocillopora_acuta_HIv1_PredGene_g22256.t2, Pocillopora_acuta_HIv1_PredGene_28685_t
OG0002714	Acerv_evm.model.Segkk767_pilon.6	Pocillopora_acuta_HIv1_PredGene_g17132.t1
OG0002715	Acerv_evm.model.Segkk779_pilon.2	Pocillopora_acuta_HIv1_PredGene_g30442.t1, Pocillopora_acuta_HIv1_PredGene_g30442.t3, Pocillopora_acuta_HIv1_PredGene_g30442.t2
OG0002716	Acerv_evm.model.Segkk782_pilon.20, Acerv_evm.model.Segkk782_pilon.19	Pocillopora_acuta_HIv1_PredGene_g3997.t1
OG0002717	Acerv_evm.model.Segkk786_pilon.11	Pocillopora_acuta_HIv1_PredGene_20556_t, Pocillopora_acuta_HIv1_PredGene_g5491.t1, Pocillopora_acuta_HIv1_PredGene_g15649.t1
OG0002718	Acerv_evm.model.Segkk789_pilon.10	Pocillopora_acuta_HIv1_PredGene_g27843.t1, Pocillopora_acuta_HIv1_PredGene_g16563.t1
OG0002719	Acerv_evm.model.Segkk789_pilon.28	Pocillopora_acuta_HIv1_PredGene_g27819.t1
OG0002720	Acerv_evm.model.Segkk809_pilon.2	Pocillopora_acuta_HIv1_PredGene_14499_t, Pocillopora_acuta_HIv1_PredGene_g12384.t1
OG0002722	Acerv_evm.model.Segkk820_pilon.1, Acerv_evm.model.Segkk820_pilon.3	Pocillopora_acuta_HIv1_PredGene_g18394.t2, Pocillopora_acuta_HIv1_PredGene_g18394.t1
OG0002723	Acerv_evm.model.Segkk837_pilon.15	Pocillopora_acuta_HIv1_PredGene_g29282.t1, Pocillopora_acuta_HIv1_PredGene_g29279.t1
OG0002724	Acerv_evm.model.Segkk837_pilon.23, Acerv_evm.model.Segkk837_pilon.22	Pocillopora_acuta_HIv1_PredGene_g18425.t1, Pocillopora_acuta_HIv1_PredGene_2315_t
OG0002725	Acerv_evm.model.Segkk838_pilon.2	Pocillopora_acuta_HIv1_PredGene_g33503.t1
OG0002725	Acerv_evm.model.Segkk3167_pilon.5	Pocillopora_acuta_HIv1_PredGene_g7474.t1
OG0002726	Acerv_evm.model.Segkk840_pilon.1	Pocillopora_acuta_HIv1_PredGene_g11731.t1, Pocillopora_acuta_HIv1_PredGene_8701_t
OG0002727	Acerv_evm.model.Segkk3687_pilon.5, Acerv_evm.model.Segkk3464_pilon.2, Acerv_evm.model.Segkk842_pilon.19	Pocillopora_acuta_HIv1_PredGene_g3393.t1, Pocillopora_acuta_HIv1_PredGene_g33521.t1, Pocillopora_acuta_HIv1_PredGene_g17888.t1, Pocillopora_acuta_HIv1_PredGene_g23554.t1
OG0002728	Acerv_evm.model.Segkk4338_pilon.1, Acerv_evm.model.Segkk842_pilon.9, Acerv_evm.model.Segkk2628_pilon.1, Acerv_evm.model.Segkk2403_pilon.2	Pocillopora_acuta_HIv1_PredGene_g32216.t1
OG0002729	Acerv_evm.model.Segkk842_pilon.54, Acerv_evm.model.Segkk842_pilon.55, Acerv_evm.model.Segkk2691_pilon.7	Pocillopora_acuta_HIv1_PredGene_4652_t, Pocillopora_acuta_HIv1_PredGene_g27137.t1, Pocillopora_acuta_HIv1_PredGene_g2635.t1, Pocillopora_acuta_HIv1_PredGene_15901_t
OG0002730	Acerv_evm.model.Segkk842_pilon.51	Pocillopora_acuta_HIv1_PredGene_g24264.t2, Pocillopora_acuta_HIv1_PredGene_g32629.t2, Pocillopora_acuta_HIv1_PredGene_g24264.t1, Pocillopora_acuta_HIv1_PredGene_g24264.t3, Pocillopora_acuta_HIv1_PredGene_g32629.t1
