"","gene","GO.ID","term","ontology","over_represented_pvalue","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","41_ctl3_Ac_RN_1","37_T13_Ac_ML","52_T11_Ac_II","31_T22_Ac_UV","38_T23_Ac_IN","53_T21_Ac_NH","19_T33_Ac_WK","47_T31_Ac_JB","57_T32_Ac_NM","35_T43_Ac_MT","54_T42_Ac_JQ"
"154","Acerv_evm.TU.Segkk3493_pilon.1","GO:0008168,GO:0008610","methyltransferase activity,lipid biosynthetic process","MF,BP","0.533477187007455,0.0887391697711777",89,257,166,106,75,176,254,123,165,123,68,261,178
"155","Acerv_evm.TU.Segkk3525_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",19,11,9,21,39,27,24,27,48,28,10,58,45
"156","Acerv_evm.TU.Segkk3525_pilon.11","NA","NA","NA","NA",663,504,488,243,162,236,251,171,296,202,131,342,475
"157","Acerv_evm.TU.Segkk3538_pilon.3","NA","NA","NA","NA",439,545,445,263,362,261,333,194,363,217,162,436,407
"158","Acerv_evm.TU.Segkk3540_pilon.3","NA","NA","NA","NA",31,22,35,21,28,16,189,30,13,14,10,20,37
"159","Acerv_evm.TU.Segkk358_pilon.2","NA","NA","NA","NA",110,79,63,65,74,61,72,32,104,48,46,93,82
"160","Acerv_evm.TU.Segkk3598_pilon.1","NA","NA","NA","NA",21,23,26,23,21,18,31,17,24,23,12,34,31
"161","Acerv_evm.TU.Segkk36_pilon.2","GO:0003723","RNA binding","MF","0.634354946691056",127,178,64,99,212,90,82,56,157,58,78,144,215
"162","Acerv_evm.TU.Segkk3618_pilon.7","GO:0005515","protein binding","MF","0.257358007233903",184,205,46,110,138,169,225,135,203,134,49,334,238
"163","Acerv_evm.TU.Segkk3637_pilon.63","NA","NA","NA","NA",190,220,154,46,33,34,46,25,62,50,22,64,70
"164","Acerv_evm.TU.Segkk3644_pilon.3","NA","NA","NA","NA",4054,3172,2838,1169,868,1633,1963,1078,1743,903,680,2691,3174
"165","Acerv_evm.TU.Segkk3655_pilon.19","GO:0000981,GO:0003677,GO:0006355","DNA-binding transcription factor activity, RNA polymerase II-specific,DNA binding,regulation of transcription, DNA-templated","MF,MF,BP","0.110502700556159,0.188811446933131,0.0797918878437354",231,118,188,78,154,50,28,19,104,41,58,65,101
"166","Acerv_evm.TU.Segkk3655_pilon.33","NA","NA","NA","NA",338,822,352,1069,587,1313,1214,1039,1663,627,590,2299,2012
"167","Acerv_evm.TU.Segkk3750_pilon.2","NA","NA","NA","NA",10,12,9,13,10,12,30,11,25,13,4,23,20
"168","Acerv_evm.TU.Segkk384_pilon.7","GO:0005216,GO:0005515,GO:0006811,GO:0016020,GO:0055085","ion channel activity,protein binding,ion transport,membrane,transmembrane transport","MF,MF,BP,CC,BP","0.854239970648446,0.257358007233903,0.63336931075418,0.329840291341399,0.802764057987146",74,66,28,70,37,68,81,28,69,49,33,95,162
"169","Acerv_evm.TU.Segkk3844_pilon.1","NA","NA","NA","NA",118,124,112,89,126,107,106,57,152,91,65,187,167
"170","Acerv_evm.TU.Segkk3858_pilon.8","NA","NA","NA","NA",92,120,216,175,86,161,185,99,156,123,81,94,156
"171","Acerv_evm.TU.Segkk3903_pilon.2","GO:0004089,GO:0008270","carbonate dehydratase activity,zinc ion binding","MF,MF","0.0718019338384995,0.973674983661471",3990,6951,3243,1557,861,2964,10419,2198,2554,1586,978,3310,3706
"172","Acerv_evm.TU.Segkk3914_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",70,62,43,37,67,30,37,24,52,27,22,62,70
"173","Acerv_evm.TU.Segkk3937_pilon.25","GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP","0.932279847677795,0.720060927670848",97,117,54,44,30,56,167,67,54,28,12,78,113
"174","Acerv_evm.TU.Segkk3940_pilon.21","GO:0006751,GO:0036374","glutathione catabolic process,glutathione hydrolase activity","BP,MF","0.129250438698223,0.107344004407603",140,150,130,104,86,101,102,90,190,63,56,172,152
"175","Acerv_evm.TU.Segkk398_pilon.1","GO:0016021","integral component of membrane","CC","0.610347626540586",11,5,8,14,12,19,17,14,36,7,8,36,32
"176","Acerv_evm.TU.Segkk398_pilon.2","GO:0016021","integral component of membrane","CC","0.610347626540586",14,7,12,16,11,19,17,15,26,9,9,38,29
"177","Acerv_evm.TU.Segkk3996_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",62,67,41,65,88,89,92,49,86,65,28,149,117
"178","Acerv_evm.TU.Segkk4025_pilon.2","GO:0005515,GO:0018064,GO:0030047","protein binding,protein-histidine N-methyltransferase activity,actin modification","MF,MF,BP","0.257358007233903,0.0245280469951749,0.0245280469951749",641,618,472,168,100,275,267,185,342,153,103,439,378
"179","Acerv_evm.TU.Segkk4047_pilon.16","NA","NA","NA","NA",681,959,1127,223,202,836,3601,446,366,345,88,624,344
"180","Acerv_evm.TU.Segkk4074_pilon.1","NA","NA","NA","NA",21,25,23,19,16,41,43,26,56,21,8,76,41
"181","Acerv_evm.TU.Segkk4113_pilon.15","GO:0005102,GO:0005576,GO:0007275,GO:0016055","signaling receptor binding,extracellular region,multicellular organism development,Wnt signaling pathway","MF,CC,BP,BP","0.215563069112932,0.383552455642363,0.358803707136135,0.195818496030635",306,367,131,93,47,298,276,139,227,73,54,464,248
"182","Acerv_evm.TU.Segkk4122_pilon.1","NA","NA","NA","NA",44,54,31,44,42,33,40,23,61,38,23,68,64
"183","Acerv_evm.TU.Segkk4124_pilon.10","NA","NA","NA","NA",36,34,33,134,199,59,65,25,84,0,63,73,113
"184","Acerv_evm.TU.Segkk4124_pilon.11","NA","NA","NA","NA",476,180,224,199,356,99,30,39,225,41,147,94,169
"185","Acerv_evm.TU.Segkk4124_pilon.2","NA","NA","NA","NA",3689,1317,3545,1557,2695,860,444,294,1193,700,1031,971,1522
"186","Acerv_evm.TU.Segkk4124_pilon.3","NA","NA","NA","NA",4846,1605,3592,1804,3152,1047,608,354,1799,774,1127,1350,1716
"187","Acerv_evm.TU.Segkk4263_pilon.5","NA","NA","NA","NA",10,17,15,23,21,20,15,22,30,10,13,45,33
"188","Acerv_evm.TU.Segkk4265_pilon.3","NA","NA","NA","NA",15,19,9,20,16,16,10,13,25,13,14,23,27
"189","Acerv_evm.TU.Segkk4281_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",13,19,15,12,28,21,19,18,44,17,5,36,27
"190","Acerv_evm.TU.Segkk4302_pilon.1","GO:0004252,GO:0006508","serine-type endopeptidase activity,proteolysis","MF,BP","0.122982202115315,0.170772258731092",269,168,351,104,169,63,47,27,110,100,71,76,114
"191","Acerv_evm.TU.Segkk4302_pilon.20","NA","NA","NA","NA",150,143,101,0,16,32,35,20,68,24,20,57,62
"192","Acerv_evm.TU.Segkk4318_pilon.2","NA","NA","NA","NA",26,39,54,23,15,35,47,31,38,20,13,60,39
"193","Acerv_evm.TU.Segkk4345_pilon.12","GO:0000723,GO:0003678,GO:0006281","telomere maintenance,DNA helicase activity,DNA repair","BP,MF,BP","0.108554592370967,0.186107511975152,0.490152739907652",73,65,34,50,75,46,49,27,64,19,30,62,83
"194","Acerv_evm.TU.Segkk437_pilon.4","NA","NA","NA","NA",114,63,251,28,46,13,50,14,31,23,16,18,19
"195","Acerv_evm.TU.Segkk451_pilon.2","NA","NA","NA","NA",739,877,513,269,167,672,468,403,457,184,118,925,570
"196","Acerv_evm.TU.Segkk454_pilon.2","NA","NA","NA","NA",582,334,455,427,933,231,94,102,297,195,267,189,398
"197","Acerv_evm.TU.Segkk481_pilon.1","GO:0005515","protein binding","MF","0.257358007233903",34,38,23,18,29,34,37,28,50,13,10,69,45
"198","Acerv_evm.TU.Segkk539_pilon.1","GO:0005509","calcium ion binding","MF","0.974068523805999",1407,1851,1519,443,330,407,469,207,714,408,377,770,730
"199","Acerv_evm.TU.Segkk551_pilon.2","NA","NA","NA","NA",97,46,53,58,62,37,38,25,51,17,23,60,64
"200","Acerv_evm.TU.Segkk575_pilon.2","NA","NA","NA","NA",140,180,147,93,49,121,112,134,206,70,55,238,187
"201","Acerv_evm.TU.Segkk580_pilon.3","NA","NA","NA","NA",334,196,235,121,228,88,49,35,133,66,101,112,138
"202","Acerv_evm.TU.Segkk642_pilon.42","NA","NA","NA","NA",135,66,151,104,219,51,49,29,82,46,50,48,85
"203","Acerv_evm.TU.Segkk642_pilon.43","NA","NA","NA","NA",86,39,51,82,196,62,35,31,56,28,52,40,87
"204","Acerv_evm.TU.Segkk657_pilon.10","GO:0090729","toxin activity","MF","0.0250046201618902",353,330,264,161,225,96,74,58,170,149,105,183,147
"205","Acerv_evm.TU.Segkk669_pilon.5","NA","NA","NA","NA",1210,1064,1124,308,391,293,326,183,558,284,185,512,576
"206","Acerv_evm.TU.Segkk671_pilon.1","GO:0003677,GO:0006355,GO:0046983","DNA binding,regulation of transcription, DNA-templated,protein dimerization activity","MF,BP,MF","0.188811446933131,0.0797918878437354,0.283273095409626",633,725,555,322,352,190,122,100,370,180,240,368,347
"207","Acerv_evm.TU.Segkk673_pilon.1","GO:0006486,GO:0008417,GO:0016020","protein glycosylation,fucosyltransferase activity,membrane","BP,MF,CC","0.177813022614516,0.0273469947761552,0.329840291341399",14,13,15,18,15,20,17,12,26,6,7,40,25
"208","Acerv_evm.TU.Segkk68_pilon.68","NA","NA","NA","NA",1037,623,862,714,516,906,1340,858,600,158,480,1166,2114
"209","Acerv_evm.TU.Segkk791_pilon.1","GO:0005509","calcium ion binding","MF","0.974068523805999",1448,711,776,483,846,338,223,123,475,144,290,363,472
"210","Acerv_evm.TU.Segkk826_pilon.10","NA","NA","NA","NA",1071,1127,958,184,327,171,286,141,283,199,140,327,408
"211","Acerv_evm.TU.Segkk893_pilon.2","NA","NA","NA","NA",423,381,380,235,143,227,281,208,265,180,132,444,431
"212","Acerv_evm.TU.Segkk905_pilon.19","GO:0005085,GO:0005515,GO:0035556","guanyl-nucleotide exchange factor activity,protein binding,intracellular signal transduction","MF,MF,BP","0.436134511010833,0.257358007233903,0.691785408675685",429,349,307,109,80,184,176,128,202,93,73,312,350
"213","Acerv_evm.TU.Segkk925_pilon.1","GO:0000981,GO:0003677,GO:0006355","DNA-binding transcription factor activity, RNA polymerase II-specific,DNA binding,regulation of transcription, DNA-templated","MF,MF,BP","0.110502700556159,0.188811446933131,0.0797918878437354",922,797,795,318,384,258,282,166,482,268,231,411,436
"214","Acerv_evm.TU.Segkk966_pilon.1","NA","NA","NA","NA",31,52,32,45,53,39,42,49,75,37,25,84,78
"215","Acerv_evm.TU.Segkk978_pilon.3","GO:0000976,GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0006915","transcription regulatory region sequence-specific DNA binding,DNA binding,DNA-binding transcription factor activity,nucleus,regulation of transcription, DNA-templated,apoptotic process","MF,MF,MF,CC,BP,BP","0.0718019338384995,0.188811446933131,0.424941242868705,0.908866762671767,0.0797918878437354,0.138470388127423",71,114,128,45,30,48,34,34,55,28,25,170,183
"216","Acerv_evm.TU.Segkk984_pilon.10","NA","NA","NA","NA",327,254,381,104,129,73,81,33,124,63,51,90,98
"217","Acerv_evm.TU.Segkk999_pilon.5","GO:0003824","catalytic activity","MF","0.915281354083922",97,61,53,67,61,103,48,48,71,49,51,82,136
