"","gene","GO.ID","term","ontology","over_represented_pvalue","4_2","11_2","39_2","41_2","1_2","28_2","42_2","47_2","2_2","35_2","36_2","38_2"
"138","LOC113669820","GO:0005515","protein binding","MF","4.55882921845145e-116",109,87,80,147,572,445,970,327,363,967,380,526
"139","LOC113669920","GO:0005515,GO:0005515","protein binding,protein binding","MF,MF","4.55882921845145e-116,4.55882921845145e-116",296,368,366,470,362,305,337,389,178,264,340,426
"140","LOC113669924","NA","NA","NA","NA",83,73,72,71,56,48,83,28,51,75,68,58
"141","LOC113669940","NA","NA","NA","NA",38,38,43,35,39,47,44,29,13,62,42,36
"142","LOC113669947","GO:0005515","protein binding","MF","4.55882921845145e-116",83,136,76,160,238,175,257,178,21,91,306,322
"143","LOC113670038","NA","NA","NA","NA",102,68,98,74,25,16,31,33,7,28,22,26
"144","LOC113670042","GO:0004888,GO:0004930,GO:0007166,GO:0007186,GO:0016021,GO:0016021","transmembrane signaling receptor activity,G protein-coupled receptor activity,cell surface receptor signaling pathway,G protein-coupled receptor signaling pathway,integral component of membrane,integral component of membrane","MF,MF,BP,BP,CC,CC","1.03215887517103e-06,0,1.03215887517103e-06,0,1.05240798224272e-41,1.05240798224272e-41",18,35,41,38,23,25,33,40,48,17,54,45
"145","LOC113670052","GO:0006508,GO:0008237,GO:0008270","proteolysis,metallopeptidase activity,zinc ion binding","BP,MF,MF","0,1.10079518269249e-06,0",50,33,60,47,99,51,75,61,23,93,71,75
"146","LOC113670059","GO:0005509","calcium ion binding","MF","4.40274315060415e-12",429,465,724,608,499,323,661,297,225,937,652,475
"147","LOC113670080","NA","NA","NA","NA",1012,368,1081,150,128,82,63,44,58,151,64,96
"148","LOC113670157","GO:0005515","protein binding","MF","4.55882921845145e-116",580,526,393,485,20,17,27,7,13,292,83,0
"149","LOC113670163","GO:0006811,GO:0006811,GO:0015377,GO:0016020,GO:0016020,GO:0016021,GO:0022857,GO:0055085","ion transport,ion transport,cation:chloride symporter activity,membrane,membrane,integral component of membrane,transmembrane transporter activity,transmembrane transport","BP,BP,MF,CC,CC,CC,MF,BP","3.14889216137871e-05,3.14889216137871e-05,0.0316343843797964,0,0,1.05240798224272e-41,1.83973803155488e-06,0",662,402,709,938,278,305,373,296,116,254,154,223
"150","LOC113670165","GO:0003924,GO:0005200,GO:0005525,GO:0005525,GO:0005874,GO:0005874,GO:0005874,GO:0007017,GO:0007017,GO:0007017","GTPase activity,structural constituent of cytoskeleton,GTP binding,GTP binding,microtubule,microtubule,microtubule,microtubule-based process,microtubule-based process,microtubule-based process","MF,MF,MF,MF,CC,CC,CC,BP,BP,BP","2.89515814022128e-09,0.00196923581363991,3.66775810938267e-12,3.66775810938267e-12,0.00196923581363991,0.00196923581363991,0.00196923581363991,0.00196923581363991,0.00196923581363991,0.00196923581363991",68,85,132,91,71,108,111,94,111,87,141,102
"151","LOC113670198","GO:0004725,GO:0006470,GO:0008138,GO:0008138,GO:0016311,GO:0016311,GO:0016311,GO:0016791","protein tyrosine phosphatase activity,protein dephosphorylation,protein tyrosine/serine/threonine phosphatase activity,protein tyrosine/serine/threonine phosphatase activity,dephosphorylation,dephosphorylation,dephosphorylation,phosphatase activity","MF,BP,MF,MF,BP,BP,BP,MF","0.00107751936713314,0.00107751936713314,0.00107751936713314,0.00107751936713314,4.02844398176944e-05,4.02844398176944e-05,4.02844398176944e-05,4.02844398176944e-05",439,704,515,511,174,140,275,158,60,211,144,149
"152","LOC113670218","GO:0004672,GO:0005524,GO:0006468","protein kinase activity,ATP binding,protein phosphorylation","MF,MF,BP","0,2.32907656908861e-37,0",24,25,14,26,92,46,71,43,16,71,7,97
"153","LOC113670244","GO:0004672,GO:0004672,GO:0005515,GO:0005524,GO:0005524,GO:0006468,GO:0006468","protein kinase activity,protein kinase activity,protein binding,ATP binding,ATP binding,protein phosphorylation,protein phosphorylation","MF,MF,MF,MF,MF,BP,BP","0,0,4.55882921845145e-116,2.32907656908861e-37,2.32907656908861e-37,0,0",4,15,25,59,62,40,41,56,46,88,42,115
"154","LOC113670359","NA","NA","NA","NA",21,6,38,35,143,127,81,82,26,165,65,74
"155","LOC113670425","GO:0003677,GO:0003677,GO:0006310,GO:0015074","DNA binding,DNA binding,DNA recombination,DNA integration","MF,MF,BP,BP","1.39255035582582e-07,1.39255035582582e-07,0.0745036792827726,0.00550175166714805",17,29,56,47,21,32,26,37,52,42,48,31
"156","LOC113670426","GO:0004672,GO:0004672,GO:0004672,GO:0004672,GO:0004713,GO:0004713,GO:0005524,GO:0005524,GO:0005524,GO:0005524,GO:0006468,GO:0006468,GO:0006468,GO:0006468,GO:0006468,GO:0006468","protein kinase activity,protein kinase activity,protein kinase activity,protein kinase activity,protein tyrosine kinase activity,protein tyrosine kinase activity,ATP binding,ATP binding,ATP binding,ATP binding,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation,protein phosphorylation","MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,BP,BP,BP,BP,BP,BP","0,0,0,0,7.43980754955202e-13,7.43980754955202e-13,2.32907656908861e-37,2.32907656908861e-37,2.32907656908861e-37,2.32907656908861e-37,0,0,0,0,0,0",8,14,7,43,109,28,110,65,0,88,47,140
"157","LOC113670459","GO:0004045,GO:0005515","aminoacyl-tRNA hydrolase activity,protein binding","MF,MF","0.0379713657128543,4.55882921845145e-116",354,499,510,653,76,57,127,70,25,165,113,98
"158","LOC113670541","NA","NA","NA","NA",160,151,119,183,153,117,188,106,191,204,137,163
"159","LOC113670557","GO:0004525,GO:0006396","ribonuclease III activity,RNA processing","MF,BP","0.0670050399981548,0.0670050399981548",29,12,16,6,39,29,31,18,13,33,34,39
"160","LOC113670678","NA","NA","NA","NA",16,36,25,37,57,134,44,37,94,34,152,34
"161","LOC113670771","GO:0004553,GO:0005975","hydrolase activity, hydrolyzing O-glycosyl compounds,carbohydrate metabolic process","MF,BP","0.00142985426541456,4.79867506343484e-05",3,17,13,17,37,31,15,76,14,15,13,48
"162","LOC113670774","NA","NA","NA","NA",9,11,10,11,23,40,24,0,8,31,18,22
"163","LOC113670798","NA","NA","NA","NA",6,6,4,11,540,846,1459,973,151,1132,878,1003
"164","LOC113670912","NA","NA","NA","NA",11,12,31,30,28,42,57,15,17,42,16,32
"165","LOC113670970","NA","NA","NA","NA",21,20,49,23,40,13,29,19,18,42,38,98
"166","LOC113670989","GO:0005509","calcium ion binding","MF","4.40274315060415e-12",44,76,61,33,98,47,100,79,161,92,193,78
"167","LOC113670996","NA","NA","NA","NA",36,102,20,86,84,48,74,85,44,71,98,207
"168","LOC113671011","NA","NA","NA","NA",438,491,409,470,127,135,185,111,40,120,27,81
"169","LOC113671029","GO:0004930,GO:0007186,GO:0016021,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane,integral component of membrane","MF,BP,CC,CC","0,0,1.05240798224272e-41,1.05240798224272e-41",25,17,24,8,40,9,28,45,36,25,44,34
"170","LOC113671087","NA","NA","NA","NA",23,5,29,14,23,14,26,36,11,24,14,27
"171","LOC113671094","GO:0004867,GO:0005515","serine-type endopeptidase inhibitor activity,protein binding","MF,MF","0.00103505498306594,4.55882921845145e-116",87,113,133,226,233,166,228,141,157,115,274,284
"172","LOC113671171","GO:0005515","protein binding","MF","4.55882921845145e-116",57,37,66,41,117,75,122,25,100,51,43,59
"173","LOC113671244","GO:0005634","nucleus","CC","5.81473606692821e-08",639,630,766,752,598,469,362,406,1157,682,608,884
"174","LOC113671271","NA","NA","NA","NA",14,11,16,27,34,19,42,22,4,41,31,48
"175","LOC113671323","NA","NA","NA","NA",141,463,414,424,10,25,21,35,18,58,61,20
"176","LOC113671327","NA","NA","NA","NA",34,66,73,14,120,129,147,113,138,159,138,118
"177","LOC113671337","NA","NA","NA","NA",6,12,3,7,8,6,13,7,10,9,14,10
"178","LOC113671440","GO:0003735,GO:0005840,GO:0006412","structural constituent of ribosome,ribosome,translation","MF,CC,BP","3.9594286143426e-06,3.9594286143426e-06,3.9594286143426e-06",10192,13926,11578,12265,2183,5374,3482,2639,1078,4102,3124,2078
"179","LOC113671459","GO:0016020","membrane","CC","0",15,25,16,19,30,36,36,25,11,45,17,35
"180","LOC113671494","GO:0003924,GO:0005525,GO:0005525","GTPase activity,GTP binding,GTP binding","MF,MF,MF","2.89515814022128e-09,3.66775810938267e-12,3.66775810938267e-12",946,858,1067,1044,385,291,493,360,215,412,365,406
"181","LOC113671517","GO:0005515","protein binding","MF","4.55882921845145e-116",100,99,21,146,111,132,100,144,235,151,159,149
"182","LOC113671529","GO:0022857,GO:0022857,GO:0022857,GO:0022857,GO:0022857,GO:0022857,GO:0055085,GO:0055085,GO:0055085","transmembrane transporter activity,transmembrane transporter activity,transmembrane transporter activity,transmembrane transporter activity,transmembrane transporter activity,transmembrane transporter activity,transmembrane transport,transmembrane transport,transmembrane transport","MF,MF,MF,MF,MF,MF,BP,BP,BP","1.83973803155488e-06,1.83973803155488e-06,1.83973803155488e-06,1.83973803155488e-06,1.83973803155488e-06,1.83973803155488e-06,0,0,0",11,42,18,17,58,19,23,72,59,30,46,23
"183","LOC113671602","NA","NA","NA","NA",17,49,20,12,75,29,412,142,198,103,187,71
"184","LOC113671656","GO:0003824","catalytic activity","MF","3.80630945264323e-08",109,105,166,144,145,126,144,83,81,218,172,157
"185","LOC113671669","NA","NA","NA","NA",541,743,435,660,183,123,282,136,42,205,47,98
"186","LOC113671685","NA","NA","NA","NA",160,84,115,391,285,211,247,347,43,320,215,149
"187","LOC113671697","NA","NA","NA","NA",37,37,43,33,160,187,232,129,116,233,226,172
"188","LOC113671742","GO:0016021","integral component of membrane","CC","1.05240798224272e-41",301,409,381,398,107,96,122,84,57,139,92,110
"189","LOC113671849","GO:0005524","ATP binding","MF","2.32907656908861e-37",339,397,389,455,146,132,216,129,79,132,76,115
"190","LOC113671933","NA","NA","NA","NA",19,26,14,27,26,19,0,15,66,38,159,10
"191","LOC113672016","NA","NA","NA","NA",1198,1492,872,963,195,278,447,132,95,249,274,123
"192","LOC113672174","NA","NA","NA","NA",12,28,10,26,86,98,101,31,83,124,117,94
"193","LOC113672221","GO:0016787","hydrolase activity","MF","4.16634370844935e-10",604,656,637,976,228,252,330,258,88,232,185,161
"194","LOC113672232","NA","NA","NA","NA",665,559,334,536,377,476,511,548,233,508,456,445
"195","LOC113672358","GO:0003676,GO:0008270","nucleic acid binding,zinc ion binding","MF,MF","0,0",232,222,348,129,30,15,15,0,8,17,24,34
"196","LOC113672368","GO:0005515,GO:0006355,GO:0043565","protein binding,regulation of transcription, DNA-templated,sequence-specific DNA binding","MF,BP,MF","4.55882921845145e-116,3.81978759635764e-12,3.14695262282064e-05",26,46,56,44,31,29,27,19,32,75,25,46
"197","LOC113672378","GO:0046856,GO:0046856","phosphatidylinositol dephosphorylation,phosphatidylinositol dephosphorylation","BP,BP","0.0316256055244317,0.0316256055244317",776,631,826,684,173,87,178,176,102,391,209,452
"198","LOC113672399","NA","NA","NA","NA",35,30,41,33,44,36,44,47,17,57,35,40
"199","LOC113672417","NA","NA","NA","NA",241,86,520,110,22,25,15,30,19,24,8,62
"200","LOC113672431","NA","NA","NA","NA",16,22,26,41,140,87,219,135,97,154,218,31
"201","LOC113672440","NA","NA","NA","NA",29,36,20,23,160,81,189,0,90,167,8,189
"202","LOC113672513","NA","NA","NA","NA",27,7,22,17,144,63,139,39,45,119,0,101
"203","LOC113672537","NA","NA","NA","NA",41,34,67,40,26,22,24,28,29,41,55,74
"204","LOC113672564","GO:0005515,GO:0007165","protein binding,signal transduction","MF,BP","4.55882921845145e-116,0",777,1082,575,683,261,222,256,242,158,171,152,158
"205","LOC113672580","NA","NA","NA","NA",28,12,17,30,33,17,18,11,24,25,40,44
"206","LOC113672621","GO:0004672,GO:0004672,GO:0005524,GO:0006468,GO:0006468","protein kinase activity,protein kinase activity,ATP binding,protein phosphorylation,protein phosphorylation","MF,MF,MF,BP,BP","0,0,2.32907656908861e-37,0,0",79,25,91,39,121,79,170,12,78,98,92,209
"207","LOC113672624","GO:0000122,GO:0003700,GO:0005515,GO:0005634,GO:0005737,GO:0048869","negative regulation of transcription by RNA polymerase II,DNA-binding transcription factor activity,protein binding,nucleus,cytoplasm,cellular developmental process","BP,MF,MF,CC,CC,BP","0.031634302781915,1.50935961164739e-10,4.55882921845145e-116,5.81473606692821e-08,0.000999148516736487,0.031634302781915",51,14,78,32,88,46,59,31,46,76,62,62
"208","LOC113672662","GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0008270,GO:0008270,GO:0008270,GO:0008270,GO:0008270,GO:0008270,GO:0008270,GO:0008270,GO:0043565,GO:0043565,GO:0043565,GO:0043565","DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,zinc ion binding,zinc ion binding,zinc ion binding,zinc ion binding,zinc ion binding,zinc ion binding,zinc ion binding,zinc ion binding,sequence-specific DNA binding,sequence-specific DNA binding,sequence-specific DNA binding,sequence-specific DNA binding","MF,MF,MF,MF,BP,BP,BP,BP,BP,BP,BP,BP,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF","1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,0,0,0,0,0,0,0,0,3.14695262282064e-05,3.14695262282064e-05,3.14695262282064e-05,3.14695262282064e-05",1077,1485,2219,2107,1775,1433,1665,785,650,1854,1499,1343
"209","LOC113672681","NA","NA","NA","NA",19,47,116,38,199,202,461,154,147,460,117,211
"210","LOC113672715","NA","NA","NA","NA",23,36,23,23,43,30,70,33,30,36,52,50
"211","LOC113672755","NA","NA","NA","NA",16,27,35,50,43,107,64,31,17,33,100,14
"212","LOC113672765","GO:0005739,GO:0005747","mitochondrion,mitochondrial respiratory chain complex I","CC,CC","0.0623024201291959,0.0623024201291959",34,59,3,64,39,115,77,117,19,98,48,92
"213","LOC113672776","GO:0005515","protein binding","MF","4.55882921845145e-116",10,1,11,13,28,11,20,12,10,14,22,26
"214","LOC113672798","GO:0007154,GO:0007154,GO:0016021,GO:0016021","cell communication,cell communication,integral component of membrane,integral component of membrane","BP,BP,CC,CC","1.7784129712511e-06,1.7784129712511e-06,1.05240798224272e-41,1.05240798224272e-41",218,334,223,341,249,136,176,201,148,292,501,276
"215","LOC113672817","NA","NA","NA","NA",627,106,154,437,200,217,2299,1108,1623,479,1555,2016
"216","LOC113672842","GO:0005515,GO:0051260","protein binding,protein homooligomerization","MF,BP","4.55882921845145e-116,7.43133259895548e-05",53,38,27,59,35,25,48,29,29,55,187,72
"217","LOC113672901","GO:0004930,GO:0004983,GO:0007186,GO:0007186,GO:0016021,GO:0016021,GO:0016021","G protein-coupled receptor activity,neuropeptide Y receptor activity,G protein-coupled receptor signaling pathway,G protein-coupled receptor signaling pathway,integral component of membrane,integral component of membrane,integral component of membrane","MF,MF,BP,BP,CC,CC,CC","0,0.0516036976637335,0,0,1.05240798224272e-41,1.05240798224272e-41,1.05240798224272e-41",38,36,48,46,37,27,38,19,14,48,43,40
"218","LOC113673056","GO:0005515","protein binding","MF","4.55882921845145e-116",421,444,448,517,162,158,239,123,47,171,115,143
"219","LOC113673097","GO:0004672,GO:0004672,GO:0004713,GO:0005515,GO:0005524,GO:0005524,GO:0006468,GO:0006468,GO:0006468","protein kinase activity,protein kinase activity,protein tyrosine kinase activity,protein binding,ATP binding,ATP binding,protein phosphorylation,protein phosphorylation,protein phosphorylation","MF,MF,MF,MF,MF,MF,BP,BP,BP","0,0,7.43980754955202e-13,4.55882921845145e-116,2.32907656908861e-37,2.32907656908861e-37,0,0,0",84,193,230,144,165,103,165,142,75,214,335,238
"220","LOC113673159","NA","NA","NA","NA",43,40,46,68,36,38,35,25,32,48,58,37
"221","LOC113673162","GO:0004672,GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0006468,GO:0006468","protein kinase activity,protein kinase activity,protein tyrosine kinase activity,ATP binding,protein phosphorylation,protein phosphorylation,protein phosphorylation","MF,MF,MF,MF,BP,BP,BP","0,0,7.43980754955202e-13,2.32907656908861e-37,0,0,0",21,12,9,24,75,47,28,39,83,56,88,72
"222","LOC113673205","GO:0004129","cytochrome-c oxidase activity","MF","0.0524771738380622",392,897,537,585,621,634,864,586,271,1194,798,571
"223","LOC113673231","GO:0006886,GO:0006886,GO:0008536,GO:0008536","intracellular protein transport,intracellular protein transport,Ran GTPase binding,Ran GTPase binding","BP,BP,MF,MF","1.0828150295302e-06,1.0828150295302e-06,0.0316240553432721,0.0316240553432721",487,550,565,798,85,23,19,6,35,72,24,55
"224","LOC113673289","NA","NA","NA","NA",668,450,806,831,401,392,391,256,0,6,10,8
"225","LOC113673305","GO:0004930,GO:0007186,GO:0016021,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane,integral component of membrane","MF,BP,CC,CC","0,0,1.05240798224272e-41,1.05240798224272e-41",15,14,15,18,19,19,21,6,18,18,15,21
"226","LOC113673389","NA","NA","NA","NA",70,67,52,54,111,65,106,75,36,105,218,143
"227","LOC113673390","GO:0005515","protein binding","MF","4.55882921845145e-116",81,145,252,99,935,893,986,384,431,1166,1125,824
"228","LOC113673427","GO:0005216,GO:0005216,GO:0005216,GO:0005249,GO:0005249,GO:0005249,GO:0005515,GO:0005515,GO:0005515,GO:0006811,GO:0006811,GO:0006811,GO:0006813,GO:0006813,GO:0006813,GO:0008076,GO:0008076,GO:0008076,GO:0016020,GO:0016020,GO:0016020,GO:0051260,GO:0051260,GO:0051260,GO:0055085,GO:0055085,GO:0055085","ion channel activity,ion channel activity,ion channel activity,voltage-gated potassium channel activity,voltage-gated potassium channel activity,voltage-gated potassium channel activity,protein binding,protein binding,protein binding,ion transport,ion transport,ion transport,potassium ion transport,potassium ion transport,potassium ion transport,voltage-gated potassium channel complex,voltage-gated potassium channel complex,voltage-gated potassium channel complex,membrane,membrane,membrane,protein homooligomerization,protein homooligomerization,protein homooligomerization,transmembrane transport,transmembrane transport,transmembrane transport","MF,MF,MF,MF,MF,MF,MF,MF,MF,BP,BP,BP,BP,BP,BP,CC,CC,CC,CC,CC,CC,BP,BP,BP,BP,BP,BP","0.000998954871354121,0.000998954871354121,0.000998954871354121,0.000998954871354121,0.000998954871354121,0.000998954871354121,4.55882921845145e-116,4.55882921845145e-116,4.55882921845145e-116,3.14889216137871e-05,3.14889216137871e-05,3.14889216137871e-05,3.86382075005186e-05,3.86382075005186e-05,3.86382075005186e-05,0.0316343957565416,0.0316343957565416,0.0316343957565416,0,0,0,7.43133259895548e-05,7.43133259895548e-05,7.43133259895548e-05,0,0,0",49,41,84,166,244,104,125,66,33,138,229,327
"229","LOC113673455","NA","NA","NA","NA",669,361,747,593,229,41,423,79,29,67,96,136
"230","LOC113673554","GO:0005515,GO:0005515,GO:0007165","protein binding,protein binding,signal transduction","MF,MF,BP","4.55882921845145e-116,4.55882921845145e-116,0",270,176,148,84,33,45,86,27,25,36,20,27
"231","LOC113673559","NA","NA","NA","NA",236,262,274,288,254,229,311,170,91,296,251,250
"232","LOC113673593","NA","NA","NA","NA",61,48,69,49,45,58,49,33,73,62,57,38
"233","LOC113673651","GO:0005741,GO:0005741,GO:0006886,GO:0006886","mitochondrial outer membrane,mitochondrial outer membrane,intracellular protein transport,intracellular protein transport","CC,CC,BP,BP","0.0316345209120903,0.0316345209120903,1.0828150295302e-06,1.0828150295302e-06",9,13,13,11,14,12,56,134,18,10,114,11
"234","LOC113673681","NA","NA","NA","NA",790,975,1058,997,101,167,98,151,66,153,202,88
"235","LOC113673745","GO:0005515,GO:0005515,GO:0005515","protein binding,protein binding,protein binding","MF,MF,MF","4.55882921845145e-116,4.55882921845145e-116,4.55882921845145e-116",236,206,212,147,184,161,335,116,447,365,430,121
"236","LOC113673934","GO:0006744,GO:0008289","ubiquinone biosynthetic process,lipid binding","BP,MF","0.0317713756092417,3.43370475472157e-05",993,800,765,845,174,197,390,49,61,163,177,161
"237","LOC113673942","GO:0008641,GO:0008641,GO:0008641,GO:0019781,GO:0019781,GO:0019781,GO:0045116,GO:0045116,GO:0045116","ubiquitin-like modifier activating enzyme activity,ubiquitin-like modifier activating enzyme activity,ubiquitin-like modifier activating enzyme activity,NEDD8 activating enzyme activity,NEDD8 activating enzyme activity,NEDD8 activating enzyme activity,protein neddylation,protein neddylation,protein neddylation","MF,MF,MF,MF,MF,MF,BP,BP,BP","0.0316343152962799,0.0316343152962799,0.0316343152962799,0.0316343152962799,0.0316343152962799,0.0316343152962799,0.0316343152962799,0.0316343152962799,0.0316343152962799",265,361,570,583,14,8,11,21,80,0,165,26
"238","LOC113673972","GO:0005856,GO:0008092","cytoskeleton,cytoskeletal protein binding","CC,MF","0.0333267338493748,0.0333267338493748",5138,4753,4592,5811,1852,1940,2382,1367,524,2143,1494,1318
"239","LOC113673983","GO:0005515","protein binding","MF","4.55882921845145e-116",774,632,763,799,198,205,386,194,49,249,120,134
"240","LOC113674023","NA","NA","NA","NA",11,18,26,23,94,37,69,51,11,64,74,121
"241","LOC113674242","GO:0016740","transferase activity","MF","0.0316368225141461",263,174,188,264,165,156,174,221,92,218,187,170
"242","LOC113674261","GO:0004930,GO:0007186,GO:0016021,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane,integral component of membrane","MF,BP,CC,CC","0,0,1.05240798224272e-41,1.05240798224272e-41",13,30,67,29,94,56,100,57,32,127,118,14
"243","LOC113674262","GO:0003824,GO:0003824","catalytic activity,catalytic activity","MF,MF","3.80630945264323e-08,3.80630945264323e-08",261,352,163,180,46,47,84,56,47,62,38,42
"244","LOC113674263","NA","NA","NA","NA",8031,5305,4918,5255,2104,1348,2539,1846,692,2389,1619,1651
"245","LOC113674273","NA","NA","NA","NA",4285,2790,3818,2464,935,726,1869,414,386,440,213,246
"246","LOC113674275","NA","NA","NA","NA",331,215,245,369,88,54,104,84,30,82,69,89
"247","LOC113674282","NA","NA","NA","NA",7,35,57,3,32,284,365,14,27,396,13,18
"248","LOC113674289","GO:0003824","catalytic activity","MF","3.80630945264323e-08",935,740,763,625,226,286,299,275,132,223,156,174
"249","LOC113674379","GO:0006099,GO:0016491,GO:0016627,GO:0016627,GO:0022900,GO:0050660,GO:0050660,GO:0055114,GO:0055114,GO:0055114","tricarboxylic acid cycle,oxidoreductase activity,oxidoreductase activity, acting on the CH-CH group of donors,oxidoreductase activity, acting on the CH-CH group of donors,electron transport chain,flavin adenine dinucleotide binding,flavin adenine dinucleotide binding,oxidation-reduction process,oxidation-reduction process,oxidation-reduction process","BP,MF,MF,MF,BP,MF,MF,BP,BP,BP","0.0010369966553419,7.40020079886829e-08,0.0316345977791272,0.0316345977791272,0.0316345977791272,0.00120058390275393,0.00120058390275393,0,0,0",3935,5019,3437,3355,1130,1102,1551,1080,721,1128,1069,745
"250","LOC113674392","GO:0008271,GO:0008272,GO:0008272,GO:0015116,GO:0016020,GO:0016021,GO:0055085","secondary active sulfate transmembrane transporter activity,sulfate transport,sulfate transport,sulfate transmembrane transporter activity,membrane,integral component of membrane,transmembrane transport","MF,BP,BP,MF,CC,CC,BP","0.0316330091864506,0.0316330091864506,0.0316330091864506,0.0316330091864506,0,1.05240798224272e-41,0",409,263,473,666,110,35,40,133,0,25,13,9
"251","LOC113674423","GO:0008146","sulfotransferase activity","MF","0.0022902068483408",80,149,92,93,66,92,92,66,116,108,162,69
"252","LOC113674426","GO:0004672,GO:0005524,GO:0006468","protein kinase activity,ATP binding,protein phosphorylation","MF,MF,BP","0,2.32907656908861e-37,0",189,138,168,239,71,53,93,52,22,68,34,42
"253","LOC113674431","GO:0005509,GO:0005544","calcium ion binding,calcium-dependent phospholipid binding","MF,MF","4.40274315060415e-12,0.0316244218264757",820,391,476,811,1979,1609,1770,267,715,1627,1762,1796
"254","LOC113674435","NA","NA","NA","NA",23,17,28,33,38,34,52,13,7,50,23,23
"255","LOC113674440","NA","NA","NA","NA",6,7,16,9,15,4,7,7,6,11,16,27
"256","LOC113674578","NA","NA","NA","NA",44,70,61,40,965,820,1144,801,252,1299,1256,1051
"257","LOC113674672","GO:0005515","protein binding","MF","4.55882921845145e-116",133,160,147,209,44,46,50,20,27,91,79,59
"258","LOC113674693","GO:0005515","protein binding","MF","4.55882921845145e-116",103,204,55,21,136,183,286,147,224,249,159,196
"259","LOC113674773","GO:0005515","protein binding","MF","4.55882921845145e-116",294,168,221,206,16,12,30,14,114,13,23,199
"260","LOC113674816","NA","NA","NA","NA",5,37,11,6,26,10,26,16,40,16,23,44
"261","LOC113674841","GO:0005506,GO:0016705,GO:0016705,GO:0020037,GO:0055114,GO:0055114","iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,heme binding,oxidation-reduction process,oxidation-reduction process","MF,MF,MF,MF,BP,BP","0.00138675135545213,0.00138675135545213,0.00138675135545213,0.00138675135545213,0,0",157,210,149,203,68,36,59,61,33,42,27,43
"262","LOC113674879","NA","NA","NA","NA",718,682,892,733,636,654,994,533,200,1092,789,615
"263","LOC113674940","GO:0008083","growth factor activity","MF","0.0488134573469264",43,79,33,41,21,14,22,23,7,10,12,5
"264","LOC113674953","GO:0003735,GO:0003735,GO:0005840,GO:0006412,GO:0006412,GO:0015934","structural constituent of ribosome,structural constituent of ribosome,ribosome,translation,translation,large ribosomal subunit","MF,MF,CC,BP,BP,CC","3.9594286143426e-06,3.9594286143426e-06,3.9594286143426e-06,3.9594286143426e-06,3.9594286143426e-06,0.00204265535434908",11928,16941,12722,12421,1821,1464,1838,3051,3155,2042,5013,1696
"265","LOC113674956","GO:0008519,GO:0008519,GO:0015696,GO:0016020,GO:0016020,GO:0072488","ammonium transmembrane transporter activity,ammonium transmembrane transporter activity,ammonium transport,membrane,membrane,ammonium transmembrane transport","MF,MF,BP,CC,CC,BP","0.0316343281529502,0.0316343281529502,0.0316343281529502,0,0,0.0316343281529502",638,528,857,911,364,246,375,269,137,211,210,156
"266","LOC113674987","NA","NA","NA","NA",35,80,74,57,42,14,103,63,36,92,237,75
"267","LOC113675081","GO:0004519,GO:0006364,GO:0090730","endonuclease activity,rRNA processing,Las1 complex","MF,BP,CC","0.0516940768498213,0.0516940768498213,0.0516940768498213",147,210,181,196,48,39,69,36,27,57,61,49
"268","LOC113675135","NA","NA","NA","NA",94,59,123,116,123,82,133,85,23,43,105,102
"269","LOC113675146","NA","NA","NA","NA",48,105,40,28,108,26,107,61,49,130,95,121
"270","LOC113675164","NA","NA","NA","NA",10,14,10,6,32,11,32,34,4,36,23,26
"271","LOC113675178","NA","NA","NA","NA",9,6,10,7,18,19,27,10,25,16,17,25
"272","LOC113675180","GO:0005347,GO:0005743,GO:0055085","ATP transmembrane transporter activity,mitochondrial inner membrane,transmembrane transport","MF,CC,BP","0.0328497373956352,0.00109012614900637,0",930,963,931,929,386,321,463,281,186,428,366,351
"273","LOC113675185","NA","NA","NA","NA",10,14,17,37,24,16,39,20,3,31,19,16
"274","LOC113675196","NA","NA","NA","NA",239,241,271,333,84,59,139,100,26,115,17,48
"275","LOC113675208","NA","NA","NA","NA",54,99,65,67,66,49,104,61,51,120,88,69
