"","gene_id","X1_2","X2_2","X4_2","X11_2","X28_2","X35_2","X36_2","X38_2","X39_2","X41_2","X42_2","X47_2","Treatment_Compare","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1122","LOC113686341",82,224,28,16,40,124,164,66,68,26,178,82,"CvsMid","GO:0005509",4.40274315060415e-12,1,8,8,"calcium ion binding","MF"
"1153","LOC113687128",30,26,18,21,23,22,37,29,22,42,29,23,"CvsMid","GO:0004713",7.43980754955202e-13,1,8,8,"protein tyrosine kinase activity","MF"
"25","LOC113664349",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247,"CvsHigh","GO:0003700",1.50935961164739e-10,1,7,7,"DNA-binding transcription factor activity","MF"
"28","LOC113664401",47297,110592,4742,15618,77733,62370,61573,62264,4714,2417,82870,56243,"CvsMid","GO:0003700",1.50935961164739e-10,1,7,7,"DNA-binding transcription factor activity","MF"
"62","LOC113664778",10,9,460,495,6,21,20,22,588,670,19,10,"CvsMid","GO:0016787",4.16634370844935e-10,1,7,7,"hydrolase activity","MF"
"97","LOC113665371",42,34,34,22,27,61,32,57,24,29,58,25,"CvsMid","GO:0016787",4.16634370844935e-10,1,7,7,"hydrolase activity","MF"
"198","LOC113666862",32,13,40,40,84,28,26,18,53,41,70,74,"CvsMid","GO:0003700",1.50935961164739e-10,1,7,7,"DNA-binding transcription factor activity","MF"
"261","LOC113668167",338,244,1307,1822,358,346,297,253,1242,1208,593,481,"CvsHigh","GO:0016787",4.16634370844935e-10,1,7,7,"hydrolase activity","MF"
"436","LOC113672221",228,88,604,656,252,232,185,161,637,976,330,258,"CvsHigh","GO:0016787",4.16634370844935e-10,1,7,7,"hydrolase activity","MF"
"464","LOC113672624",88,46,51,14,46,76,62,62,78,32,59,31,"CvsMid","GO:0003700",1.50935961164739e-10,1,7,7,"DNA-binding transcription factor activity","MF"
"468","LOC113672662",1775,650,1077,1485,1433,1854,1499,1343,2219,2107,1665,785,"CvsMid","GO:0003700",1.50935961164739e-10,1,7,7,"DNA-binding transcription factor activity","MF"
"893","LOC113681196",509,455,1977,3572,223,506,826,1007,2733,3013,976,471,"CvsMid","GO:0016787",4.16634370844935e-10,1,7,7,"hydrolase activity","MF"
"907","LOC113681354",30,54,17,18,17,36,56,37,34,12,39,24,"CvsMid","GO:0016787",4.16634370844935e-10,1,7,7,"hydrolase activity","MF"
"1078","LOC113685074",25,30,705,430,180,39,164,38,1145,653,360,26,"CvsHigh","GO:0003700",1.50935961164739e-10,1,7,7,"DNA-binding transcription factor activity","MF"
"1133","LOC113686478",2114,1013,10697,13219,2111,1259,2158,296,14894,10807,8701,2602,"CvsHigh","GO:0003700",1.50935961164739e-10,1,7,7,"DNA-binding transcription factor activity","MF"
"1144","LOC113686913",153,101,119,151,108,188,117,79,134,121,170,99,"CvsMid","GO:0016787",4.16634370844935e-10,1,7,7,"hydrolase activity","MF"
"13","LOC113664234",73,30,215,208,74,79,75,67,238,250,108,56,"CvsHigh","GO:0003924",2.89515814022128e-09,1,6,6,"GTPase activity","MF"
"195","LOC113666855",1613,564,2653,3157,1716,855,1014,1517,3605,3518,1959,1321,"CvsHigh","GO:0003924",2.89515814022128e-09,1,6,6,"GTPase activity","MF"
"345","LOC113670165",71,111,68,85,108,87,141,102,132,91,111,94,"CvsMid","GO:0003924",2.89515814022128e-09,1,6,6,"GTPase activity","MF"
"417","LOC113671494",385,215,946,858,291,412,365,406,1067,1044,493,360,"CvsHigh","GO:0003924",2.89515814022128e-09,1,6,6,"GTPase activity","MF"
"640","LOC113675837",128,77,805,527,98,109,72,111,428,364,139,100,"CvsMid","GO:0003924",2.89515814022128e-09,1,6,6,"GTPase activity","MF"
"845","LOC113680168",39,75,49,40,114,173,152,71,42,28,178,14,"CvsMid","GO:0003924",2.89515814022128e-09,1,6,6,"GTPase activity","MF"
"27","LOC113664349",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247,"CvsHigh","GO:0003677",1.39255035582582e-07,1,5,5,"DNA binding","MF"
"33","LOC113664448",22,15,20,3,20,22,23,26,23,27,27,22,"CvsMid","GO:0046872",1.92102818190639e-07,1,5,5,"metal ion binding","MF"
"95","LOC113665371",42,34,34,22,27,61,32,57,24,29,58,25,"CvsMid","GO:0046872",1.92102818190639e-07,1,5,5,"metal ion binding","MF"
"132","LOC113665832",227,94,231,235,171,317,214,248,325,344,274,169,"CvsMid","GO:0003824",3.80630945264323e-08,1,5,5,"catalytic activity","MF"
"192","LOC113666770",1864,538,334,1538,1238,972,1083,2313,689,972,2272,476,"CvsMid","GO:0046872",1.92102818190639e-07,1,5,5,"metal ion binding","MF"
"256","LOC113668080",20,24,402,936,7,89,274,135,504,723,52,109,"CvsMid","GO:0016491",7.40020079886829e-08,1,5,5,"oxidoreductase activity","MF"
"272","LOC113668481",802,171,381,218,216,166,165,147,288,264,197,438,"CvsMid","GO:0003677",1.39255035582582e-07,1,5,5,"DNA binding","MF"
"368","LOC113670425",21,52,17,29,32,42,48,31,56,47,26,37,"CvsHigh","GO:0003677",1.39255035582582e-07,1,5,5,"DNA binding","MF"
"423","LOC113671656",145,81,109,105,126,218,172,157,166,144,144,83,"CvsMid","GO:0003824",3.80630945264323e-08,1,5,5,"catalytic activity","MF"
"551","LOC113674262",46,47,261,352,47,62,38,42,163,180,84,56,"CvsHigh","GO:0003824",3.80630945264323e-08,1,5,5,"catalytic activity","MF"
"556","LOC113674289",226,132,935,740,286,223,156,174,763,625,299,275,"CvsHigh","GO:0003824",3.80630945264323e-08,1,5,5,"catalytic activity","MF"
"560","LOC113674379",1130,721,3935,5019,1102,1128,1069,745,3437,3355,1551,1080,"CvsHigh","GO:0016491",7.40020079886829e-08,1,5,5,"oxidoreductase activity","MF"
"662","LOC113676407",34,140,24,42,113,141,84,167,19,25,30,49,"CvsMid","GO:0016491",7.40020079886829e-08,1,5,5,"oxidoreductase activity","MF"
"835","LOC113679869",307,328,288,64,186,389,224,424,235,138,61,262,"CvsHigh","GO:0003824",3.80630945264323e-08,1,5,5,"catalytic activity","MF"
"895","LOC113681196",509,455,1977,3572,223,506,826,1007,2733,3013,976,471,"CvsMid","GO:0046872",1.92102818190639e-07,1,5,5,"metal ion binding","MF"
"906","LOC113681354",30,54,17,18,17,36,56,37,34,12,39,24,"CvsMid","GO:0046872",1.92102818190639e-07,1,5,5,"metal ion binding","MF"
"958","LOC113682506",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633,"CvsHigh","GO:0016491",7.40020079886829e-08,1,5,5,"oxidoreductase activity","MF"
"989","LOC113682977",417,150,64,144,251,427,302,362,10,10,258,203,"CvsMid","GO:0016491",7.40020079886829e-08,1,5,5,"oxidoreductase activity","MF"
"998","LOC113683360",110,114,32,9,76,132,132,53,51,15,163,79,"CvsMid","GO:0003677",1.39255035582582e-07,1,5,5,"DNA binding","MF"
"1079","LOC113685074",25,30,705,430,180,39,164,38,1145,653,360,26,"CvsHigh","GO:0003677",1.39255035582582e-07,1,5,5,"DNA binding","MF"
"44","LOC113664618",107,133,461,457,66,287,340,210,450,607,159,142,"CvsMid","GO:0003723",1.20929554067477e-06,1,4,4,"RNA binding","MF"
"72","LOC113664893",91,60,69,45,64,76,57,39,43,56,85,44,"CvsMid","GO:0004888",1.03215887517103e-06,1,4,4,"transmembrane signaling receptor activity","MF"
"219","LOC113667213",214,100,518,535,180,203,132,200,536,588,235,168,"CvsHigh","GO:0003723",1.20929554067477e-06,1,4,4,"RNA binding","MF"
"230","LOC113667471",294,181,237,293,362,366,249,420,396,569,422,300,"CvsMid","GO:0022857",1.83973803155488e-06,1,4,4,"transmembrane transporter activity","MF"
"244","LOC113667899",201,82,10,4,95,13,259,15,8,6,243,178,"CvsMid","GO:0022857",1.83973803155488e-06,1,4,4,"transmembrane transporter activity","MF"
"259","LOC113668150",974,1112,59,214,355,842,796,930,197,381,1090,328,"CvsMid","GO:0003723",1.20929554067477e-06,1,4,4,"RNA binding","MF"
"288","LOC113669015",279,358,324,316,504,686,267,515,565,337,711,170,"CvsHigh","GO:0008237",1.10079518269249e-06,1,4,4,"metallopeptidase activity","MF"
"297","LOC113669105",296,156,254,192,159,298,256,288,284,104,236,147,"CvsMid","GO:0016887",1.43742768325253e-06,1,4,4,"ATPase activity","MF"
"303","LOC113669355",94,83,63,69,137,85,69,118,92,47,110,76,"CvsMid","GO:0003950",1.22128963638952e-06,1,4,4,"NAD+ ADP-ribosyltransferase activity","MF"
"305","LOC113669444",179,147,228,121,250,161,159,229,224,148,235,130,"CvsMid","GO:0003950",1.22128963638952e-06,1,4,4,"NAD+ ADP-ribosyltransferase activity","MF"
"307","LOC113669449",60,72,49,9,67,21,27,76,29,59,145,35,"CvsMid","GO:0003950",1.22128963638952e-06,1,4,4,"NAD+ ADP-ribosyltransferase activity","MF"
"329","LOC113670042",23,48,18,35,25,17,54,45,41,38,33,40,"CvsHigh","GO:0004888",1.03215887517103e-06,1,4,4,"transmembrane signaling receptor activity","MF"
"331","LOC113670052",99,23,50,33,51,93,71,75,60,47,75,61,"CvsMid","GO:0008237",1.10079518269249e-06,1,4,4,"metallopeptidase activity","MF"
"342","LOC113670163",278,116,662,402,305,254,154,223,709,938,373,296,"CvsHigh","GO:0022857",1.83973803155488e-06,1,4,4,"transmembrane transporter activity","MF"
"413","LOC113671440",2183,1078,10192,13926,5374,4102,3124,2078,11578,12265,3482,2639,"CvsHigh","GO:0003735",3.9594286143426e-06,1,4,4,"structural constituent of ribosome","MF"
"420","LOC113671529",58,59,11,42,19,30,46,23,18,17,23,72,"CvsHigh","GO:0022857",1.83973803155488e-06,1,4,4,"transmembrane transporter activity","MF"
"594","LOC113674953",1821,3155,11928,16941,1464,2042,5013,1696,12722,12421,1838,3051,"CvsMid","GO:0003735",3.9594286143426e-06,1,4,4,"structural constituent of ribosome","MF"
"627","LOC113675698",1180,1242,11565,16852,1391,2782,3696,366,11325,12376,1199,1915,"CvsMid","GO:0003735",3.9594286143426e-06,1,4,4,"structural constituent of ribosome","MF"
"676","LOC113676627",239,275,369,296,254,317,307,305,472,440,267,149,"CvsHigh","GO:0008237",1.10079518269249e-06,1,4,4,"metallopeptidase activity","MF"
"740","LOC113677676",211,79,546,406,188,248,184,220,600,638,242,163,"CvsHigh","GO:0003723",1.20929554067477e-06,1,4,4,"RNA binding","MF"
"795","LOC113678765",197,83,796,631,220,197,157,162,541,522,305,181,"CvsHigh","GO:0008237",1.10079518269249e-06,1,4,4,"metallopeptidase activity","MF"
"822","LOC113679585",169,105,6,29,161,185,8,37,30,26,27,55,"CvsMid","GO:0003950",1.22128963638952e-06,1,4,4,"NAD+ ADP-ribosyltransferase activity","MF"
"900","LOC113681278",366,220,425,488,320,474,442,327,367,444,393,169,"CvsHigh","GO:0016887",1.43742768325253e-06,1,4,4,"ATPase activity","MF"
"939","LOC113681925",8,343,43,28,171,305,15,15,35,36,16,153,"CvsHigh","GO:0004888",1.03215887517103e-06,1,4,4,"transmembrane signaling receptor activity","MF"
"946","LOC113682120",6228,1335,18398,22895,8532,4876,7997,4825,20289,20102,8295,8345,"CvsHigh","GO:0003735",3.9594286143426e-06,1,4,4,"structural constituent of ribosome","MF"
"972","LOC113682626",200,103,48,112,112,231,265,252,37,102,333,139,"CvsMid","GO:0016887",1.43742768325253e-06,1,4,4,"ATPase activity","MF"
"1015","LOC113683627",391,236,105,109,263,268,369,389,105,82,311,54,"CvsMid","GO:0016887",1.43742768325253e-06,1,4,4,"ATPase activity","MF"
"1111","LOC113686179",17,10,7,7,11,25,19,24,18,3,12,9,"CvsMid","GO:0004888",1.03215887517103e-06,1,4,4,"transmembrane signaling receptor activity","MF"
"178","LOC113666660",467,180,136,382,589,520,356,450,285,200,522,227,"CvsMid","GO:0008289",3.43370475472157e-05,1,3,3,"lipid binding","MF"
"197","LOC113666862",32,13,40,40,84,28,26,18,53,41,70,74,"CvsMid","GO:0043565",3.14695262282064e-05,1,3,3,"sequence-specific DNA binding","MF"
"354","LOC113670198",174,60,439,704,140,211,144,149,515,511,275,158,"CvsHigh","GO:0016791",4.02844398176944e-05,1,3,3,"phosphatase activity","MF"
"442","LOC113672368",31,32,26,46,29,75,25,46,56,44,27,19,"CvsHigh","GO:0043565",3.14695262282064e-05,1,3,3,"sequence-specific DNA binding","MF"
"470","LOC113672662",1775,650,1077,1485,1433,1854,1499,1343,2219,2107,1665,785,"CvsMid","GO:0043565",3.14695262282064e-05,1,3,3,"sequence-specific DNA binding","MF"
"536","LOC113673934",174,61,993,800,197,163,177,161,765,845,390,49,"CvsHigh","GO:0008289",3.43370475472157e-05,1,3,3,"lipid binding","MF"
"665","LOC113676510",25,140,133,343,15,31,68,42,277,176,25,23,"CvsMid","GO:0004252",4.49624186930856e-05,1,3,3,"serine-type endopeptidase activity","MF"
"691","LOC113677082",117,39,6,15,87,128,77,63,9,6,40,41,"CvsMid","GO:0016791",4.02844398176944e-05,1,3,3,"phosphatase activity","MF"
"767","LOC113678385",101,106,71,17,41,84,71,73,75,42,82,65,"CvsMid","GO:0004252",4.49624186930856e-05,1,3,3,"serine-type endopeptidase activity","MF"
"865","LOC113680398",58,9,1416,997,58,488,93,515,857,1014,84,116,"CvsMid","GO:0016791",4.02844398176944e-05,1,3,3,"phosphatase activity","MF"
"971","LOC113682626",200,103,48,112,112,231,265,252,37,102,333,139,"CvsMid","GO:0004252",4.49624186930856e-05,1,3,3,"serine-type endopeptidase activity","MF"
"984","LOC113682888",372,200,24,52,340,410,344,386,64,93,443,0,"CvsMid","GO:0008289",3.43370475472157e-05,1,3,3,"lipid binding","MF"
"78","LOC113664948",198,400,34,256,115,291,894,425,240,81,189,90,"CvsHigh","GO:0005102",0.00220424694765822,1,2,2,"signaling receptor binding","MF"
"81","LOC113664961",161,100,152,238,90,241,232,269,237,317,212,97,"CvsHigh","GO:0005102",0.00220424694765822,1,2,2,"signaling receptor binding","MF"
"158","LOC113666378",50,24,129,127,64,57,30,48,154,155,100,43,"CvsHigh","GO:0050660",0.00120058390275393,1,2,2,"flavin adenine dinucleotide binding","MF"
"193","LOC113666770",1864,538,334,1538,1238,972,1083,2313,689,972,2272,476,"CvsMid","GO:0016702",0.00117178486033722,1,2,2,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"218","LOC113667213",214,100,518,535,180,203,132,200,536,588,235,168,"CvsHigh","GO:0004386",0.000998000960399258,1,2,2,"helicase activity","MF"
"290","LOC113669015",279,358,324,316,504,686,267,515,565,337,711,170,"CvsHigh","GO:0004222",0.00110881784793199,1,2,2,"metalloendopeptidase activity","MF"
"308","LOC113669493",85,34,37,26,95,114,16,64,23,29,103,117,"CvsMid","GO:0008146",0.0022902068483408,1,2,2,"sulfotransferase activity","MF"
"348","LOC113670165",71,111,68,85,108,87,141,102,132,91,111,94,"CvsMid","GO:0005200",0.00196923581363991,1,2,2,"structural constituent of cytoskeleton","MF"
"353","LOC113670198",174,60,439,704,140,211,144,149,515,511,275,158,"CvsHigh","GO:0004725",0.00107751936713314,1,2,2,"protein tyrosine phosphatase activity","MF"
"355","LOC113670198",174,60,439,704,140,211,144,149,515,511,275,158,"CvsHigh","GO:0008138",0.00107751936713314,1,2,2,"protein tyrosine/serine/threonine phosphatase activity","MF"
"383","LOC113670771",37,14,3,17,31,15,13,48,13,17,15,76,"CvsMid","GO:0004553",0.00142985426541456,1,2,2,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"399","LOC113671094",233,157,87,113,166,115,274,284,133,226,228,141,"CvsMid","GO:0004867",0.00103505498306594,1,2,2,"serine-type endopeptidase inhibitor activity","MF"
"516","LOC113673427",244,33,49,41,104,138,229,327,84,166,125,66,"CvsMid","GO:0005249",0.000998954871354121,1,2,2,"voltage-gated potassium channel activity","MF"
"521","LOC113673427",244,33,49,41,104,138,229,327,84,166,125,66,"CvsMid","GO:0005216",0.000998954871354121,1,2,2,"ion channel activity","MF"
"561","LOC113674379",1130,721,3935,5019,1102,1128,1069,745,3437,3355,1551,1080,"CvsHigh","GO:0050660",0.00120058390275393,1,2,2,"flavin adenine dinucleotide binding","MF"
"570","LOC113674423",66,116,80,149,92,108,162,69,92,93,92,66,"CvsHigh","GO:0008146",0.0022902068483408,1,2,2,"sulfotransferase activity","MF"
"586","LOC113674841",68,33,157,210,36,42,27,43,149,203,59,61,"CvsHigh","GO:0005506",0.00138675135545213,1,2,2,"iron ion binding","MF"
"588","LOC113674841",68,33,157,210,36,42,27,43,149,203,59,61,"CvsHigh","GO:0020037",0.00138675135545213,1,2,2,"heme binding","MF"
"589","LOC113674841",68,33,157,210,36,42,27,43,149,203,59,61,"CvsHigh","GO:0016705",0.00138675135545213,1,2,2,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"701","LOC113677253",602,494,661,946,426,631,617,778,835,790,690,584,"CvsHigh","GO:0004867",0.00103505498306594,1,2,2,"serine-type endopeptidase inhibitor activity","MF"
"751","LOC113677818",293,187,878,848,296,359,248,282,857,884,426,258,"CvsHigh","GO:0051537",0.00221033181131201,1,2,2,"2 iron, 2 sulfur cluster binding","MF"
"797","LOC113678765",197,83,796,631,220,197,157,162,541,522,305,181,"CvsHigh","GO:0004222",0.00110881784793199,1,2,2,"metalloendopeptidase activity","MF"
"832","LOC113679869",307,328,288,64,186,389,224,424,235,138,61,262,"CvsHigh","GO:0030246",0.00129524396996509,1,2,2,"carbohydrate binding","MF"
"834","LOC113679869",307,328,288,64,186,389,224,424,235,138,61,262,"CvsHigh","GO:0004553",0.00142985426541456,1,2,2,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF"
"842","LOC113680168",39,75,49,40,114,173,152,71,42,28,178,14,"CvsMid","GO:0005200",0.00196923581363991,1,2,2,"structural constituent of cytoskeleton","MF"
"863","LOC113680398",58,9,1416,997,58,488,93,515,857,1014,84,116,"CvsMid","GO:0008138",0.00107751936713314,1,2,2,"protein tyrosine/serine/threonine phosphatase activity","MF"
"864","LOC113680398",58,9,1416,997,58,488,93,515,857,1014,84,116,"CvsMid","GO:0004725",0.00107751936713314,1,2,2,"protein tyrosine phosphatase activity","MF"
"869","LOC113680561",46,10,81,69,36,28,17,32,120,95,49,52,"CvsHigh","GO:0020037",0.00138675135545213,1,2,2,"heme binding","MF"
"870","LOC113680561",46,10,81,69,36,28,17,32,120,95,49,52,"CvsHigh","GO:0016705",0.00138675135545213,1,2,2,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"871","LOC113680561",46,10,81,69,36,28,17,32,120,95,49,52,"CvsHigh","GO:0005506",0.00138675135545213,1,2,2,"iron ion binding","MF"
"954","LOC113682506",1496,369,5015,7008,1350,2262,1410,952,4214,4852,2491,1633,"CvsHigh","GO:0051537",0.00221033181131201,1,2,2,"2 iron, 2 sulfur cluster binding","MF"
"964","LOC113682550",350,118,1193,1116,405,381,247,252,975,1070,462,313,"CvsHigh","GO:0005507",0.00186793341547986,1,2,2,"copper ion binding","MF"
"986","LOC113682923",288,274,147,87,169,154,257,316,102,71,209,388,"CvsMid","GO:0030246",0.00129524396996509,1,2,2,"carbohydrate binding","MF"
"988","LOC113682977",417,150,64,144,251,427,302,362,10,10,258,203,"CvsMid","GO:0005507",0.00186793341547986,1,2,2,"copper ion binding","MF"
"1027","LOC113684081",224,299,233,171,279,275,401,202,13,177,282,127,"CvsHigh","GO:0004386",0.000998000960399258,1,2,2,"helicase activity","MF"
"1041","LOC113684226",13,15,12,7,32,25,20,5,9,8,18,6,"CvsMid","GO:0005216",0.000998954871354121,1,2,2,"ion channel activity","MF"
"1042","LOC113684226",13,15,12,7,32,25,20,5,9,8,18,6,"CvsMid","GO:0005249",0.000998954871354121,1,2,2,"voltage-gated potassium channel activity","MF"
"1065","LOC113684657",48,20,124,202,58,62,32,39,185,237,89,50,"CvsHigh","GO:0008376",0.00121395869431733,1,2,2,"acetylgalactosaminyltransferase activity","MF"
"1074","LOC113685002",155,106,124,223,215,206,149,184,240,172,203,119,"CvsMid","GO:0008376",0.00121395869431733,1,2,2,"acetylgalactosaminyltransferase activity","MF"
"1115","LOC113686210",124,214,173,132,121,199,217,235,314,262,188,133,"CvsHigh","GO:0016702",0.00117178486033722,1,2,2,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"22","LOC113664336",218,133,777,744,402,327,167,178,744,933,378,282,"CvsHigh","GO:0005452",0.0316286020543472,1,1,1,"inorganic anion exchanger activity","MF"
"23","LOC113664336",218,133,777,744,402,327,167,178,744,933,378,282,"CvsHigh","GO:0008509",0.0316286020543472,1,1,1,"anion transmembrane transporter activity","MF"
"48","LOC113664632",53,75,336,494,90,165,35,318,564,401,20,38,"CvsMid","GO:0005247",0.0316317445733613,1,1,1,"voltage-gated chloride channel activity","MF"
"61","LOC113664778",10,9,460,495,6,21,20,22,588,670,19,10,"CvsMid","GO:0070573",0.0316323059277053,1,1,1,"metallodipeptidase activity","MF"
"67","LOC113664893",91,60,69,45,64,76,57,39,43,56,85,44,"CvsMid","GO:0008061",0.0316332470560527,1,1,1,"chitin binding","MF"
"86","LOC113665188",82,30,138,378,32,43,27,31,357,431,103,43,"CvsHigh","GO:0016811",0.0427482399727904,1,1,1,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","MF"
"89","LOC113665266",236,41,7,13,123,307,186,305,7,15,237,202,"CvsMid","GO:0048487",0.042713126426555,1,1,1,"beta-tubulin binding","MF"
"103","LOC113665451",270,168,187,467,228,419,303,385,350,374,357,265,"CvsHigh","GO:0004817",0.0316312485052222,1,1,1,"cysteine-tRNA ligase activity","MF"
"104","LOC113665451",270,168,187,467,228,419,303,385,350,374,357,265,"CvsHigh","GO:0000166",0.0316312485052222,1,1,1,"nucleotide binding","MF"
"105","LOC113665451",270,168,187,467,228,419,303,385,350,374,357,265,"CvsHigh","GO:0004812",0.0316312485052222,1,1,1,"aminoacyl-tRNA ligase activity","MF"
"112","LOC113665493",580,132,1257,959,425,449,277,328,1328,1344,545,368,"CvsHigh","GO:0004674",0.0316328242686161,1,1,1,"protein serine/threonine kinase activity","MF"
"151","LOC113666259",131,115,235,200,117,212,264,253,386,309,174,120,"CvsHigh","GO:0016701",0.0316335862438309,1,1,1,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","MF"
"152","LOC113666259",131,115,235,200,117,212,264,253,386,309,174,120,"CvsHigh","GO:0003868",0.0316335862438309,1,1,1,"4-hydroxyphenylpyruvate dioxygenase activity","MF"
"156","LOC113666334",250,77,652,592,217,244,213,192,557,661,277,161,"CvsHigh","GO:0004044",0.0334780658815923,1,1,1,"amidophosphoribosyltransferase activity","MF"
"159","LOC113666378",50,24,129,127,64,57,30,48,154,155,100,43,"CvsHigh","GO:0004499",0.0377160435090376,1,1,1,"N,N-dimethylaniline monooxygenase activity","MF"
"161","LOC113666378",50,24,129,127,64,57,30,48,154,155,100,43,"CvsHigh","GO:0050661",0.0377160435090376,1,1,1,"NADP binding","MF"
"173","LOC113666586",75,25,191,267,51,87,58,85,228,434,123,110,"CvsHigh","GO:0004089",0.0318350511875513,1,1,1,"carbonate dehydratase activity","MF"
"190","LOC113666760",52,7,152,143,9,37,25,44,155,166,47,29,"CvsHigh","GO:0032217",0.0362324676107091,1,1,1,"riboflavin transmembrane transporter activity","MF"
"202","LOC113666995",207,72,773,1091,172,210,148,150,671,670,262,180,"CvsMid","GO:0004733",0.0338635832484807,1,1,1,"pyridoxamine-phosphate oxidase activity","MF"
"203","LOC113666995",207,72,773,1091,172,210,148,150,671,670,262,180,"CvsMid","GO:0016638",0.0338635832484807,1,1,1,"oxidoreductase activity, acting on the CH-NH2 group of donors","MF"
"205","LOC113666995",207,72,773,1091,172,210,148,150,671,670,262,180,"CvsMid","GO:0010181",0.0338635832484807,1,1,1,"FMN binding","MF"
"252","LOC113668014",499,111,1568,2024,389,550,459,401,1404,1581,894,627,"CvsHigh","GO:0008113",0.0457938836599337,1,1,1,"peptide-methionine (S)-S-oxide reductase activity","MF"
"269","LOC113668461",25,17,25,14,22,26,13,17,29,26,38,27,"CvsMid","GO:0015267",0.0352826585315981,1,1,1,"channel activity","MF"
"274","LOC113668481",802,171,381,218,216,166,165,147,288,264,197,438,"CvsMid","GO:0000981",0.0406946940677567,1,1,1,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"281","LOC113668931",139,57,399,403,114,169,120,153,538,456,163,118,"CvsMid","GO:0004421",0.0322054359198057,1,1,1,"hydroxymethylglutaryl-CoA synthase activity","MF"
"282","LOC113668931",139,57,399,403,114,169,120,153,538,456,163,118,"CvsMid","GO:0016746",0.0322054359198057,1,1,1,"transferase activity, transferring acyl groups","MF"
"294","LOC113669063",9,13,627,778,33,8,156,15,892,533,64,23,"CvsMid","GO:0046873",0.0323053976687428,1,1,1,"metal ion transmembrane transporter activity","MF"
"341","LOC113670163",278,116,662,402,305,254,154,223,709,938,373,296,"CvsHigh","GO:0015377",0.0316343843797964,1,1,1,"cation:chloride symporter activity","MF"
"375","LOC113670459",76,25,354,499,57,165,113,98,510,653,127,70,"CvsMid","GO:0004045",0.0379713657128543,1,1,1,"aminoacyl-tRNA hydrolase activity","MF"
"502","LOC113673231",85,35,487,550,23,72,24,55,565,798,19,6,"CvsMid","GO:0008536",0.0316240553432721,1,1,1,"Ran GTPase binding","MF"
"538","LOC113673942",14,80,265,361,8,0,165,26,570,583,11,21,"CvsMid","GO:0008641",0.0316343152962799,1,1,1,"ubiquitin-like modifier activating enzyme activity","MF"
"540","LOC113673942",14,80,265,361,8,0,165,26,570,583,11,21,"CvsMid","GO:0019781",0.0316343152962799,1,1,1,"NEDD8 activating enzyme activity","MF"
"542","LOC113673972",1852,524,5138,4753,1940,2143,1494,1318,4592,5811,2382,1367,"CvsHigh","GO:0008092",0.0333267338493748,1,1,1,"cytoskeletal protein binding","MF"
"546","LOC113674242",165,92,263,174,156,218,187,170,188,264,174,221,"CvsMid","GO:0016740",0.0316368225141461,1,1,1,"transferase activity","MF"
"562","LOC113674379",1130,721,3935,5019,1102,1128,1069,745,3437,3355,1551,1080,"CvsHigh","GO:0016627",0.0316345977791272,1,1,1,"oxidoreductase activity, acting on the CH-CH group of donors","MF"
"567","LOC113674392",110,0,409,263,35,25,13,9,473,666,40,133,"CvsHigh","GO:0015116",0.0316330091864506,1,1,1,"sulfate transmembrane transporter activity","MF"
"568","LOC113674392",110,0,409,263,35,25,13,9,473,666,40,133,"CvsHigh","GO:0008271",0.0316330091864506,1,1,1,"secondary active sulfate transmembrane transporter activity","MF"
"575","LOC113674431",1979,715,820,391,1609,1627,1762,1796,476,811,1770,267,"CvsMid","GO:0005544",0.0316244218264757,1,1,1,"calcium-dependent phospholipid binding","MF"
"591","LOC113674940",21,7,43,79,14,10,12,5,33,41,22,23,"CvsHigh","GO:0008083",0.0488134573469264,1,1,1,"growth factor activity","MF"
"597","LOC113674956",364,137,638,528,246,211,210,156,857,911,375,269,"CvsHigh","GO:0008519",0.0316343281529502,1,1,1,"ammonium transmembrane transporter activity","MF"
"610","LOC113675180",386,186,930,963,321,428,366,351,931,929,463,281,"CvsHigh","GO:0005347",0.0328497373956352,1,1,1,"ATP transmembrane transporter activity","MF"
"616","LOC113675263",30,15,11,18,40,29,32,36,32,40,40,39,"CvsMid","GO:0015276",0.0332067480442562,1,1,1,"ligand-gated ion channel activity","MF"
"620","LOC113675414",484,181,1097,884,346,434,299,363,988,1035,512,318,"CvsHigh","GO:0003755",0.0319975997286393,1,1,1,"peptidyl-prolyl cis-trans isomerase activity","MF"
