Orthogroup	Pocillopora_acuta_HIv1.genes.pep	Mcavernosa.maker.proteins
OG0001820	Pocillopora_acuta_HIv1_PredGene_g9753.t1	Mcavernosa11075-RA
OG0001821	Pocillopora_acuta_HIv1_PredGene_g4467.t1	Mcavernosa12648-RA, Mcavernosa12646-RA
OG0001825	Pocillopora_acuta_HIv1_PredGene_g28968.t1, Pocillopora_acuta_HIv1_PredGene_22551_t, Pocillopora_acuta_HIv1_PredGene_19720_t, Pocillopora_acuta_HIv1_PredGene_g28267.t1, Pocillopora_acuta_HIv1_PredGene_g20196.t1, Pocillopora_acuta_HIv1_PredGene_19721_t	Mcavernosa19187-RA, Mcavernosa19197-RA, Mcavernosa33312-RA, Mcavernosa27233-RA, Mcavernosa19196-RA, Mcavernosa27230-RA
OG0001827	Pocillopora_acuta_HIv1_PredGene_g18638.t1, Pocillopora_acuta_HIv1_PredGene_g18635.t1, Pocillopora_acuta_HIv1_PredGene_g18634.t1, Pocillopora_acuta_HIv1_PredGene_g18640.t1, Pocillopora_acuta_HIv1_PredGene_g18636.t1, Pocillopora_acuta_HIv1_PredGene_4093_t, Pocillopora_acuta_HIv1_PredGene_4096_t, Pocillopora_acuta_HIv1_PredGene_g18639.t1, Pocillopora_acuta_HIv1_PredGene_g18637.t1	Mcavernosa10635-RA
OG0001829	Pocillopora_acuta_HIv1_PredGene_g16219.t1, Pocillopora_acuta_HIv1_PredGene_g16220.t1, Pocillopora_acuta_HIv1_PredGene_g16217.t1, Pocillopora_acuta_HIv1_PredGene_g16218.t1	Mcavernosa02629-RA, Mcavernosa02627-RA
OG0001830	Pocillopora_acuta_HIv1_PredGene_g13082.t1	Mcavernosa16661-RA
OG0001831	Pocillopora_acuta_HIv1_PredGene_g27238.t1, Pocillopora_acuta_HIv1_PredGene_g21799.t1	Mcavernosa12305-RA
OG0001832	Pocillopora_acuta_HIv1_PredGene_g16945.t1	Mcavernosa06601-RA
OG0001832	Pocillopora_acuta_HIv1_PredGene_2327_t	Mcavernosa06606-RA
OG0001833	Pocillopora_acuta_HIv1_PredGene_22814_t, Pocillopora_acuta_HIv1_PredGene_g29277.t1, Pocillopora_acuta_HIv1_PredGene_g29280.t1	Mcavernosa23300-RA
OG0001834	Pocillopora_acuta_HIv1_PredGene_g14085.t1, Pocillopora_acuta_HIv1_PredGene_g14086.t1	Mcavernosa23977-RA, Mcavernosa17774-RA, Mcavernosa18565-RA, Mcavernosa23976-RA
OG0001835	Pocillopora_acuta_HIv1_PredGene_g5862.t1, Pocillopora_acuta_HIv1_PredGene_g10432.t1	Mcavernosa22352-RA, Mcavernosa22364-RA, Mcavernosa22351-RA
OG0001837	Pocillopora_acuta_HIv1_PredGene_g9360.t1	Mcavernosa21502-RA, Mcavernosa16734-RA, Mcavernosa33049-RA, Mcavernosa16735-RA, Mcavernosa16740-RA, Mcavernosa23677-RA, Mcavernosa23676-RA, Mcavernosa16736-RA, Mcavernosa34628-RA
OG0001838	Pocillopora_acuta_HIv1_PredGene_g11907.t1, Pocillopora_acuta_HIv1_PredGene_g23776.t1, Pocillopora_acuta_HIv1_PredGene_28780_t	Mcavernosa29536-RA, Mcavernosa29533-RA
OG0001839	Pocillopora_acuta_HIv1_PredGene_g23628.t1, Pocillopora_acuta_HIv1_PredGene_g23634.t1, Pocillopora_acuta_HIv1_PredGene_g26939.t1, Pocillopora_acuta_HIv1_PredGene_g26931.t1, Pocillopora_acuta_HIv1_PredGene_g26946.t1, Pocillopora_acuta_HIv1_PredGene_g26926.t1, Pocillopora_acuta_HIv1_PredGene_g26929.t1, Pocillopora_acuta_HIv1_PredGene_g26938.t1, Pocillopora_acuta_HIv1_PredGene_g26941.t1, Pocillopora_acuta_HIv1_PredGene_g26933.t1, Pocillopora_acuta_HIv1_PredGene_g26944.t1, Pocillopora_acuta_HIv1_PredGene_g26924.t1	Mcavernosa07147-RA, Mcavernosa13041-RA, Mcavernosa13040-RA
OG0001840	Pocillopora_acuta_HIv1_PredGene_g564.t1, Pocillopora_acuta_HIv1_PredGene_g570.t1, Pocillopora_acuta_HIv1_PredGene_g2680.t1, Pocillopora_acuta_HIv1_PredGene_g2679.t1, Pocillopora_acuta_HIv1_PredGene_g2678.t1	Mcavernosa18305-RA, Mcavernosa32936-RA, Mcavernosa27064-RA, Mcavernosa25404-RA, Mcavernosa27070-RA, Mcavernosa33606-RA, Mcavernosa27066-RA, Mcavernosa02830-RA
OG0001842	Pocillopora_acuta_HIv1_PredGene_g24784.t1, Pocillopora_acuta_HIv1_PredGene_g24876.t1, Pocillopora_acuta_HIv1_PredGene_g4624.t1, Pocillopora_acuta_HIv1_PredGene_g26106.t1, Pocillopora_acuta_HIv1_PredGene_g621.t1, Pocillopora_acuta_HIv1_PredGene_g14770.t1, Pocillopora_acuta_HIv1_PredGene_851_t, Pocillopora_acuta_HIv1_PredGene_g8134.t1, Pocillopora_acuta_HIv1_PredGene_g30936.t1, Pocillopora_acuta_HIv1_PredGene_g20908.t1, Pocillopora_acuta_HIv1_PredGene_g27889.t1	Mcavernosa17386-RA
OG0001843	Pocillopora_acuta_HIv1_PredGene_g31605.t1, Pocillopora_acuta_HIv1_PredGene_g31604.t1, Pocillopora_acuta_HIv1_PredGene_g31599.t1, Pocillopora_acuta_HIv1_PredGene_g27146.t1, Pocillopora_acuta_HIv1_PredGene_g27142.t1, Pocillopora_acuta_HIv1_PredGene_g6143.t1, Pocillopora_acuta_HIv1_PredGene_g6688.t1, Pocillopora_acuta_HIv1_PredGene_g6685.t1, Pocillopora_acuta_HIv1_PredGene_g27149.t1, Pocillopora_acuta_HIv1_PredGene_g2630.t1	Mcavernosa31202-RA
OG0001855	Pocillopora_acuta_HIv1_PredGene_g22650.t1, Pocillopora_acuta_HIv1_PredGene_g11647.t1	Mcavernosa18891-RA, Mcavernosa25471-RA
OG0001856	Pocillopora_acuta_HIv1_PredGene_g6574.t1	Mcavernosa33462-RA
OG0001856	Pocillopora_acuta_HIv1_PredGene_g11628.t1	Mcavernosa18915-RA
OG0001859	Pocillopora_acuta_HIv1_PredGene_g21118.t1, Pocillopora_acuta_HIv1_PredGene_g9346.t1	Mcavernosa11156-RA, Mcavernosa20924-RA
OG0001860	Pocillopora_acuta_HIv1_PredGene_g16379.t2, Pocillopora_acuta_HIv1_PredGene_g16379.t1	Mcavernosa00144-RA
OG0001862	Pocillopora_acuta_HIv1_PredGene_g23455.t1, Pocillopora_acuta_HIv1_PredGene_g23456.t1, Pocillopora_acuta_HIv1_PredGene_7875_t	Mcavernosa10231-RA
OG0001863	Pocillopora_acuta_HIv1_PredGene_g1233.t1	Mcavernosa11389-RA
OG0001863	Pocillopora_acuta_HIv1_PredGene_g3696.t1, Pocillopora_acuta_HIv1_PredGene_g23867.t1	Mcavernosa11390-RA
OG0001865	Pocillopora_acuta_HIv1_PredGene_g10223.t1	Mcavernosa26470-RA
OG0001865	Pocillopora_acuta_HIv1_PredGene_g10222.t1	Mcavernosa26475-RA
OG0001866	Pocillopora_acuta_HIv1_PredGene_g15457.t1, Pocillopora_acuta_HIv1_PredGene_g15458.t1	Mcavernosa21749-RA, Mcavernosa21748-RA
OG0001867	Pocillopora_acuta_HIv1_PredGene_g9936.t1	Mcavernosa11616-RA, Mcavernosa23638-RA, Mcavernosa14124-RA
OG0001868	Pocillopora_acuta_HIv1_PredGene_22673_t, Pocillopora_acuta_HIv1_PredGene_g22187.t1, Pocillopora_acuta_HIv1_PredGene_g22188.t1	Mcavernosa11869-RA, Mcavernosa29386-RA
OG0001869	Pocillopora_acuta_HIv1_PredGene_g11278.t1, Pocillopora_acuta_HIv1_PredGene_g11277.t1, Pocillopora_acuta_HIv1_PredGene_g11268.t1, Pocillopora_acuta_HIv1_PredGene_g11269.t1	Mcavernosa31307-RA, Mcavernosa24570-RA
OG0001870	Pocillopora_acuta_HIv1_PredGene_g9843.t1	Mcavernosa04407-RA
OG0001873	Pocillopora_acuta_HIv1_PredGene_g5111.t1, Pocillopora_acuta_HIv1_PredGene_g5111.t2, Pocillopora_acuta_HIv1_PredGene_16807_t, Pocillopora_acuta_HIv1_PredGene_g15362.t1	Mcavernosa13369-RA, Mcavernosa13371-RA, Mcavernosa13370-RA, Mcavernosa33842-RA
OG0001874	Pocillopora_acuta_HIv1_PredGene_g21406.t1, Pocillopora_acuta_HIv1_PredGene_g21401.t1, Pocillopora_acuta_HIv1_PredGene_g21405.t1	Mcavernosa26368-RA
OG0001875	Pocillopora_acuta_HIv1_PredGene_g31432.t1, Pocillopora_acuta_HIv1_PredGene_g31433.t1	Mcavernosa19919-RA
OG0001876	Pocillopora_acuta_HIv1_PredGene_g31383.t1	Mcavernosa25486-RA, Mcavernosa22216-RA
OG0001878	Pocillopora_acuta_HIv1_PredGene_g4470.t1	Mcavernosa12654-RA, Mcavernosa12652-RA, Mcavernosa22539-RA, Mcavernosa12650-RA, Mcavernosa12649-RA
OG0001879	Pocillopora_acuta_HIv1_PredGene_g24419.t1, Pocillopora_acuta_HIv1_PredGene_g24423.t1	Mcavernosa04227-RA
OG0001880	Pocillopora_acuta_HIv1_PredGene_g30762.t1, Pocillopora_acuta_HIv1_PredGene_5518_t, Pocillopora_acuta_HIv1_PredGene_g20278.t1, Pocillopora_acuta_HIv1_PredGene_5158_t, Pocillopora_acuta_HIv1_PredGene_g20277.t1, Pocillopora_acuta_HIv1_PredGene_g30758.t1, Pocillopora_acuta_HIv1_PredGene_5516_t, Pocillopora_acuta_HIv1_PredGene_g30759.t1	Mcavernosa06181-RA
OG0001881	Pocillopora_acuta_HIv1_PredGene_g5685.t1	Mcavernosa27421-RA
OG0001881	Pocillopora_acuta_HIv1_PredGene_g22335.t1	Mcavernosa15449-RA
OG0001882	Pocillopora_acuta_HIv1_PredGene_g21731.t1	Mcavernosa11518-RA, Mcavernosa11519-RA
OG0001882	Pocillopora_acuta_HIv1_PredGene_g21740.t1	Mcavernosa30317-RA, Mcavernosa11520-RA
OG0001883	Pocillopora_acuta_HIv1_PredGene_27503_t, Pocillopora_acuta_HIv1_PredGene_g28644.t1	Mcavernosa14430-RA, Mcavernosa14431-RA, Mcavernosa33848-RA, Mcavernosa01862-RA
OG0001884	Pocillopora_acuta_HIv1_PredGene_g20120.t1	Mcavernosa30872-RA
OG0001887	Pocillopora_acuta_HIv1_PredGene_g22129.t1	Mcavernosa14314-RA
OG0001888	Pocillopora_acuta_HIv1_PredGene_g31442.t1	Mcavernosa24878-RA
OG0001888	Pocillopora_acuta_HIv1_PredGene_g31443.t3	Mcavernosa27485-RA, Mcavernosa17422-RA
OG0001889	Pocillopora_acuta_HIv1_PredGene_g32197.t1	Mcavernosa24525-RA, Mcavernosa27033-RA
OG0001889	Pocillopora_acuta_HIv1_PredGene_g355.t1	Mcavernosa30046-RA
OG0001892	Pocillopora_acuta_HIv1_PredGene_g8494.t1	Mcavernosa15095-RA, Mcavernosa15097-RA
OG0001892	Pocillopora_acuta_HIv1_PredGene_g8493.t1	Mcavernosa15098-RA
OG0001893	Pocillopora_acuta_HIv1_PredGene_29029_t, Pocillopora_acuta_HIv1_PredGene_g27788.t2, Pocillopora_acuta_HIv1_PredGene_g27788.t1, Pocillopora_acuta_HIv1_PredGene_g10332.t1, Pocillopora_acuta_HIv1_PredGene_17034_t	Mcavernosa07540-RA
OG0001894	Pocillopora_acuta_HIv1_PredGene_g17433.t2, Pocillopora_acuta_HIv1_PredGene_g17433.t1	Mcavernosa08665-RA, Mcavernosa08668-RA
OG0001897	Pocillopora_acuta_HIv1_PredGene_g4779.t1	Mcavernosa30863-RA
OG0001898	Pocillopora_acuta_HIv1_PredGene_21113_t	Mcavernosa26364-RA, Mcavernosa26359-RA, Mcavernosa26366-RA
OG0001900	Pocillopora_acuta_HIv1_PredGene_g5373.t1, Pocillopora_acuta_HIv1_PredGene_g5369.t1	Mcavernosa12898-RA, Mcavernosa12876-RA, Mcavernosa12884-RA
OG0001901	Pocillopora_acuta_HIv1_PredGene_21066_t, Pocillopora_acuta_HIv1_PredGene_g21359.t1	Mcavernosa03025-RA
OG0001905	Pocillopora_acuta_HIv1_PredGene_g12875.t2, Pocillopora_acuta_HIv1_PredGene_g12875.t1	Mcavernosa03085-RA, Mcavernosa03082-RA, Mcavernosa03080-RA
OG0001906	Pocillopora_acuta_HIv1_PredGene_g30817.t1	Mcavernosa20622-RA, Mcavernosa20623-RA
OG0001908	Pocillopora_acuta_HIv1_PredGene_g25919.t1, Pocillopora_acuta_HIv1_PredGene_g25919.t2, Pocillopora_acuta_HIv1_PredGene_g27603.t1, Pocillopora_acuta_HIv1_PredGene_g30255.t1, Pocillopora_acuta_HIv1_PredGene_g28327.t1	Mcavernosa30730-RA
OG0001909	Pocillopora_acuta_HIv1_PredGene_4951_t, Pocillopora_acuta_HIv1_PredGene_g23379.t1	Mcavernosa06200-RA
OG0001910	Pocillopora_acuta_HIv1_PredGene_17665_t, Pocillopora_acuta_HIv1_PredGene_g19942.t1, Pocillopora_acuta_HIv1_PredGene_g19943.t1, Pocillopora_acuta_HIv1_PredGene_17666_t	Mcavernosa11271-RA, Mcavernosa11273-RA
OG0001911	Pocillopora_acuta_HIv1_PredGene_g2832.t1	Mcavernosa25093-RA, Mcavernosa13920-RA, Mcavernosa25094-RA
OG0001912	Pocillopora_acuta_HIv1_PredGene_5392_t, Pocillopora_acuta_HIv1_PredGene_g33.t1, Pocillopora_acuta_HIv1_PredGene_g31.t1, Pocillopora_acuta_HIv1_PredGene_g36.t1	Mcavernosa12124-RA, Mcavernosa12118-RA
OG0001912	Pocillopora_acuta_HIv1_PredGene_g32.t1	Mcavernosa12117-RA
OG0001914	Pocillopora_acuta_HIv1_PredGene_23523_t, Pocillopora_acuta_HIv1_PredGene_g17998.t1, Pocillopora_acuta_HIv1_PredGene_g17999.t1, Pocillopora_acuta_HIv1_PredGene_23524_t, Pocillopora_acuta_HIv1_PredGene_g11636.t1	Mcavernosa04107-RA
OG0001915	Pocillopora_acuta_HIv1_PredGene_g18017.t1, Pocillopora_acuta_HIv1_PredGene_g18015.t1, Pocillopora_acuta_HIv1_PredGene_g18012.t1, Pocillopora_acuta_HIv1_PredGene_g18013.t1, Pocillopora_acuta_HIv1_PredGene_g18016.t1, Pocillopora_acuta_HIv1_PredGene_g18011.t1	Mcavernosa04090-RA
OG0001917	Pocillopora_acuta_HIv1_PredGene_g32912.t1	Mcavernosa28272-RA, Mcavernosa21251-RA, Mcavernosa21250-RA
OG0001918	Pocillopora_acuta_HIv1_PredGene_g16160.t1, Pocillopora_acuta_HIv1_PredGene_g22984.t1	Mcavernosa07430-RA
OG0001921	Pocillopora_acuta_HIv1_PredGene_g29266.t1, Pocillopora_acuta_HIv1_PredGene_g21864.t1, Pocillopora_acuta_HIv1_PredGene_g17224.t2, Pocillopora_acuta_HIv1_PredGene_g21864.t2, Pocillopora_acuta_HIv1_PredGene_g29266.t2, Pocillopora_acuta_HIv1_PredGene_g17224.t1	Mcavernosa33639-RA
OG0001922	Pocillopora_acuta_HIv1_PredGene_g5614.t1, Pocillopora_acuta_HIv1_PredGene_8576_t	Mcavernosa01180-RA
OG0001923	Pocillopora_acuta_HIv1_PredGene_g21421.t1	Mcavernosa08265-RA
OG0001923	Pocillopora_acuta_HIv1_PredGene_g21424.t1, Pocillopora_acuta_HIv1_PredGene_g21422.t1	Mcavernosa14614-RA
OG0001925	Pocillopora_acuta_HIv1_PredGene_g23023.t1	Mcavernosa28109-RA
OG0001929	Pocillopora_acuta_HIv1_PredGene_g6913.t1	Mcavernosa32642-RA, Mcavernosa17990-RA, Mcavernosa17982-RA
OG0001931	Pocillopora_acuta_HIv1_PredGene_g11095.t1	Mcavernosa28327-RA
OG0001931	Pocillopora_acuta_HIv1_PredGene_g11093.t1, Pocillopora_acuta_HIv1_PredGene_31514_t	Mcavernosa28326-RA
OG0001932	Pocillopora_acuta_HIv1_PredGene_g3214.t1, Pocillopora_acuta_HIv1_PredGene_g14530.t1, Pocillopora_acuta_HIv1_PredGene_g11502.t1	Mcavernosa03442-RA, Mcavernosa03438-RA
OG0001933	Pocillopora_acuta_HIv1_PredGene_g22231.t2	Mcavernosa29605-RA
OG0001933	Pocillopora_acuta_HIv1_PredGene_g26609.t2, Pocillopora_acuta_HIv1_PredGene_g22231.t1, Pocillopora_acuta_HIv1_PredGene_g26609.t1, Pocillopora_acuta_HIv1_PredGene_g26608.t1	Mcavernosa21696-RA
OG0001934	Pocillopora_acuta_HIv1_PredGene_g8341.t1, Pocillopora_acuta_HIv1_PredGene_g8342.t1	Mcavernosa26235-RA
OG0001935	Pocillopora_acuta_HIv1_PredGene_27545_t	Mcavernosa11984-RA, Mcavernosa11983-RA
OG0001935	Pocillopora_acuta_HIv1_PredGene_g32605.t1, Pocillopora_acuta_HIv1_PredGene_27544_t	Mcavernosa11985-RA
OG0001937	Pocillopora_acuta_HIv1_PredGene_g3436.t1	Mcavernosa14582-RA
OG0001937	Pocillopora_acuta_HIv1_PredGene_g3435.t1	Mcavernosa06775-RA
OG0001937	Pocillopora_acuta_HIv1_PredGene_g3434.t1	Mcavernosa06773-RA
OG0001938	Pocillopora_acuta_HIv1_PredGene_g2977.t1, Pocillopora_acuta_HIv1_PredGene_10467_t, Pocillopora_acuta_HIv1_PredGene_g2978.t1, Pocillopora_acuta_HIv1_PredGene_g2976.t1	Mcavernosa16450-RA
OG0001939	Pocillopora_acuta_HIv1_PredGene_g1685.t1, Pocillopora_acuta_HIv1_PredGene_g8538.t1, Pocillopora_acuta_HIv1_PredGene_g8536.t1, Pocillopora_acuta_HIv1_PredGene_g33329.t1, Pocillopora_acuta_HIv1_PredGene_g1687.t1, Pocillopora_acuta_HIv1_PredGene_g8534.t1, Pocillopora_acuta_HIv1_PredGene_g1689.t1, Pocillopora_acuta_HIv1_PredGene_g33327.t1, Pocillopora_acuta_HIv1_PredGene_g33333.t1, Pocillopora_acuta_HIv1_PredGene_g1692.t1	Mcavernosa07851-RA
OG0001940	Pocillopora_acuta_HIv1_PredGene_g7873.t1, Pocillopora_acuta_HIv1_PredGene_g7818.t1, Pocillopora_acuta_HIv1_PredGene_g7818.t3, Pocillopora_acuta_HIv1_PredGene_g7818.t2	Mcavernosa16421-RA
OG0001941	Pocillopora_acuta_HIv1_PredGene_g1.t1	Mcavernosa08949-RA, Mcavernosa24398-RA
OG0001942	Pocillopora_acuta_HIv1_PredGene_g5034.t1, Pocillopora_acuta_HIv1_PredGene_g32497.t1, Pocillopora_acuta_HIv1_PredGene_g6077.t1, Pocillopora_acuta_HIv1_PredGene_g32496.t1	Mcavernosa16324-RA
OG0001943	Pocillopora_acuta_HIv1_PredGene_g7177.t1	Mcavernosa07914-RA, Mcavernosa07907-RA, Mcavernosa07910-RA, Mcavernosa19271-RA
OG0001943	Pocillopora_acuta_HIv1_PredGene_g24189.t1	Mcavernosa07908-RA
OG0001944	Pocillopora_acuta_HIv1_PredGene_g32081.t1, Pocillopora_acuta_HIv1_PredGene_30563_t, Pocillopora_acuta_HIv1_PredGene_g31448.t1	Mcavernosa24892-RA
OG0001945	Pocillopora_acuta_HIv1_PredGene_g14558.t1, Pocillopora_acuta_HIv1_PredGene_g28352.t1, Pocillopora_acuta_HIv1_PredGene_g14553.t1, Pocillopora_acuta_HIv1_PredGene_g28354.t1, Pocillopora_acuta_HIv1_PredGene_g26170.t1	Mcavernosa25297-RA, Mcavernosa14630-RA, Mcavernosa30868-RA
OG0001946	Pocillopora_acuta_HIv1_PredGene_g21495.t1	Mcavernosa05543-RA
OG0001949	Pocillopora_acuta_HIv1_PredGene_g31856.t1	Mcavernosa31505-RA, Mcavernosa22415-RA
OG0001950	Pocillopora_acuta_HIv1_PredGene_g4803.t1, Pocillopora_acuta_HIv1_PredGene_g4803.t2	Mcavernosa02895-RA
OG0001951	Pocillopora_acuta_HIv1_PredGene_g31073.t1	Mcavernosa13995-RA
OG0001953	Pocillopora_acuta_HIv1_PredGene_g19019.t1, Pocillopora_acuta_HIv1_PredGene_g20234.t1, Pocillopora_acuta_HIv1_PredGene_g8792.t1	Mcavernosa16926-RA
OG0001955	Pocillopora_acuta_HIv1_PredGene_g18687.t1	Mcavernosa33884-RA, Mcavernosa24864-RA, Mcavernosa24857-RA, Mcavernosa24862-RA
OG0001956	Pocillopora_acuta_HIv1_PredGene_g31153.t1	Mcavernosa22619-RA
OG0001957	Pocillopora_acuta_HIv1_PredGene_g13779.t1	Mcavernosa29968-RA, Mcavernosa29974-RA
OG0001957	Pocillopora_acuta_HIv1_PredGene_g9757.t1	Mcavernosa29969-RA
OG0001958	Pocillopora_acuta_HIv1_PredGene_g31006.t1	Mcavernosa21075-RA, Mcavernosa05602-RA, Mcavernosa31995-RA
OG0001961	Pocillopora_acuta_HIv1_PredGene_g16209.t1	Mcavernosa11437-RA
OG0001961	Pocillopora_acuta_HIv1_PredGene_g6457.t1, Pocillopora_acuta_HIv1_PredGene_g20496.t1	Mcavernosa00424-RA
OG0001962	Pocillopora_acuta_HIv1_PredGene_g5990.t3, Pocillopora_acuta_HIv1_PredGene_g5990.t2, Pocillopora_acuta_HIv1_PredGene_g5990.t4, Pocillopora_acuta_HIv1_PredGene_g5990.t5, Pocillopora_acuta_HIv1_PredGene_g5990.t1	Mcavernosa20110-RA
OG0001963	Pocillopora_acuta_HIv1_PredGene_g5416.t1	Mcavernosa23217-RA
OG0001963	Pocillopora_acuta_HIv1_PredGene_g5415.t1	Mcavernosa23216-RA
OG0001965	Pocillopora_acuta_HIv1_PredGene_g31326.t1, Pocillopora_acuta_HIv1_PredGene_g24223.t1, Pocillopora_acuta_HIv1_PredGene_g3861.t1, Pocillopora_acuta_HIv1_PredGene_g3862.t1, Pocillopora_acuta_HIv1_PredGene_g24222.t1	Mcavernosa05715-RA, Mcavernosa05710-RA
OG0001966	Pocillopora_acuta_HIv1_PredGene_g4862.t1, Pocillopora_acuta_HIv1_PredGene_g14448.t1, Pocillopora_acuta_HIv1_PredGene_g4288.t1	Mcavernosa23778-RA, Mcavernosa09246-RA, Mcavernosa29123-RA
OG0001967	Pocillopora_acuta_HIv1_PredGene_g31610.t1, Pocillopora_acuta_HIv1_PredGene_g31610.t2	Mcavernosa24251-RA
OG0001969	Pocillopora_acuta_HIv1_PredGene_g16530.t1, Pocillopora_acuta_HIv1_PredGene_11066_t, Pocillopora_acuta_HIv1_PredGene_g31162.t1	Mcavernosa22613-RA
OG0001970	Pocillopora_acuta_HIv1_PredGene_g24436.t1, Pocillopora_acuta_HIv1_PredGene_g24433.t1	Mcavernosa01460-RA, Mcavernosa01477-RA, Mcavernosa25569-RA
OG0001971	Pocillopora_acuta_HIv1_PredGene_5182_t, Pocillopora_acuta_HIv1_PredGene_g32639.t1	Mcavernosa04255-RA
OG0001973	Pocillopora_acuta_HIv1_PredGene_g9836.t1	Mcavernosa10546-RA, Mcavernosa10547-RA, Mcavernosa33519-RA, Mcavernosa10549-RA, Mcavernosa00250-RA
OG0001974	Pocillopora_acuta_HIv1_PredGene_g6223.t1	Mcavernosa13561-RA, Mcavernosa13564-RA
OG0001975	Pocillopora_acuta_HIv1_PredGene_g4869.t1, Pocillopora_acuta_HIv1_PredGene_g4866.t1	Mcavernosa10591-RA
OG0001975	Pocillopora_acuta_HIv1_PredGene_g1386.t1	Mcavernosa10592-RA
OG0001975	Pocillopora_acuta_HIv1_PredGene_g4874.t1, Pocillopora_acuta_HIv1_PredGene_g1390.t1, Pocillopora_acuta_HIv1_PredGene_g1390.t2	Mcavernosa10611-RA
OG0001976	Pocillopora_acuta_HIv1_PredGene_g7136.t2, Pocillopora_acuta_HIv1_PredGene_g7136.t1	Mcavernosa26061-RA
OG0001977	Pocillopora_acuta_HIv1_PredGene_g12703.t1, Pocillopora_acuta_HIv1_PredGene_g12728.t1, Pocillopora_acuta_HIv1_PredGene_g12701.t1, Pocillopora_acuta_HIv1_PredGene_g12696.t1, Pocillopora_acuta_HIv1_PredGene_g18080.t1, Pocillopora_acuta_HIv1_PredGene_g12699.t1, Pocillopora_acuta_HIv1_PredGene_g12704.t1, Pocillopora_acuta_HIv1_PredGene_g12697.t1, Pocillopora_acuta_HIv1_PredGene_g12707.t1	Mcavernosa01634-RA
OG0001978	Pocillopora_acuta_HIv1_PredGene_g24270.t1, Pocillopora_acuta_HIv1_PredGene_g261.t1	Mcavernosa16707-RA
OG0001978	Pocillopora_acuta_HIv1_PredGene_g29848.t1	Mcavernosa32057-RA
OG0001981	Pocillopora_acuta_HIv1_PredGene_g12833.t1	Mcavernosa20636-RA
OG0001981	Pocillopora_acuta_HIv1_PredGene_g12834.t1, Pocillopora_acuta_HIv1_PredGene_9319_t	Mcavernosa20634-RA
OG0001982	Pocillopora_acuta_HIv1_PredGene_g12284.t1, Pocillopora_acuta_HIv1_PredGene_g14571.t1	Mcavernosa29866-RA
OG0001982	Pocillopora_acuta_HIv1_PredGene_g14569.t2, Pocillopora_acuta_HIv1_PredGene_g14603.t1, Pocillopora_acuta_HIv1_PredGene_g14569.t1, Pocillopora_acuta_HIv1_PredGene_g12282.t1, Pocillopora_acuta_HIv1_PredGene_g12280.t1	Mcavernosa30004-RA
OG0001983	Pocillopora_acuta_HIv1_PredGene_20125_t, Pocillopora_acuta_HIv1_PredGene_g15683.t1, Pocillopora_acuta_HIv1_PredGene_g15683.t2	Mcavernosa03516-RA
OG0001983	Pocillopora_acuta_HIv1_PredGene_31354_t, Pocillopora_acuta_HIv1_PredGene_g16255.t1, Pocillopora_acuta_HIv1_PredGene_g27679.t1	Mcavernosa08435-RA
OG0001987	Pocillopora_acuta_HIv1_PredGene_g15006.t1	Mcavernosa01001-RA
OG0001987	Pocillopora_acuta_HIv1_PredGene_g15007.t1	Mcavernosa01002-RA
OG0001988	Pocillopora_acuta_HIv1_PredGene_g8850.t1	Mcavernosa01478-RA
OG0001989	Pocillopora_acuta_HIv1_PredGene_g20354.t1	Mcavernosa08093-RA, Mcavernosa27725-RA
OG0001989	Pocillopora_acuta_HIv1_PredGene_g14404.t1, Pocillopora_acuta_HIv1_PredGene_g14405.t1	Mcavernosa08092-RA
OG0001990	Pocillopora_acuta_HIv1_PredGene_g2278.t1, Pocillopora_acuta_HIv1_PredGene_g2278.t2, Pocillopora_acuta_HIv1_PredGene_g2278.t3, Pocillopora_acuta_HIv1_PredGene_g27008.t1, Pocillopora_acuta_HIv1_PredGene_g27008.t2	Mcavernosa15929-RA
OG0001991	Pocillopora_acuta_HIv1_PredGene_g28038.t1	Mcavernosa17119-RA
OG0001992	Pocillopora_acuta_HIv1_PredGene_g1864.t4, Pocillopora_acuta_HIv1_PredGene_g1864.t2, Pocillopora_acuta_HIv1_PredGene_g1864.t3, Pocillopora_acuta_HIv1_PredGene_g1864.t1	Mcavernosa33075-RA
OG0001993	Pocillopora_acuta_HIv1_PredGene_25797_t, Pocillopora_acuta_HIv1_PredGene_g10548.t1	Mcavernosa34942-RA
OG0001995	Pocillopora_acuta_HIv1_PredGene_g25714.t2, Pocillopora_acuta_HIv1_PredGene_g25714.t1, Pocillopora_acuta_HIv1_PredGene_g30147.t1	Mcavernosa17227-RA
OG0001995	Pocillopora_acuta_HIv1_PredGene_12222_t	Mcavernosa17229-RA
OG0001997	Pocillopora_acuta_HIv1_PredGene_g32778.t1	Mcavernosa23325-RA
OG0001998	Pocillopora_acuta_HIv1_PredGene_g31779.t1	Mcavernosa11474-RA, Mcavernosa32845-RA
OG0001999	Pocillopora_acuta_HIv1_PredGene_g21697.t1, Pocillopora_acuta_HIv1_PredGene_g14386.t1, Pocillopora_acuta_HIv1_PredGene_g28520.t1, Pocillopora_acuta_HIv1_PredGene_g4328.t1	Mcavernosa18831-RA
OG0002002	Pocillopora_acuta_HIv1_PredGene_g14894.t1	Mcavernosa00027-RA, Mcavernosa26178-RA
