Orthogroup	plut2v1.1.proteins	Pocillopora_acuta_HIv1.genes.pep
OG0000194	plut2.m8.26943.m1	Pocillopora_acuta_HIv1_PredGene_g4557.t1
OG0000194	plut2.m8.92.m1, plut2.m8.90.m1, plut2.m8.482.m1	Pocillopora_acuta_HIv1_PredGene_g5191.t1
OG0000194	plut2.m8.21970.m1	Pocillopora_acuta_HIv1_PredGene_g20932.t1, Pocillopora_acuta_HIv1_PredGene_g25239.t1
OG0000194	plut2.m8.27787.m1	Pocillopora_acuta_HIv1_PredGene_g16370.t1
OG0000198	plut2.m8.33021.m1, plut2.m8.24299.m1, jamg1.model.xfSc0000041.15	Pocillopora_acuta_HIv1_PredGene_g13487.t1, Pocillopora_acuta_HIv1_PredGene_g2059.t1
OG0000199	plut2.m8.11009.m1	Pocillopora_acuta_HIv1_PredGene_g17946.t1, Pocillopora_acuta_HIv1_PredGene_22028_t
OG0000200	plut2.m8.19475.m1, plut2.m8.16352.m1	Pocillopora_acuta_HIv1_PredGene_g11199.t1, Pocillopora_acuta_HIv1_PredGene_g11272.t1
OG0000200	jamg1.model.xpSc0007109.9	Pocillopora_acuta_HIv1_PredGene_g10835.t1, Pocillopora_acuta_HIv1_PredGene_g10842.t1, Pocillopora_acuta_HIv1_PredGene_g32223.t1, Pocillopora_acuta_HIv1_PredGene_g27526.t1
OG0000202	plut2.m8.23821.m1, plut2.m8.7086.m1	Pocillopora_acuta_HIv1_PredGene_g30177.t1
OG0000202	jamg1.model.Sc0000270.33, plut2.m8.19951.m1, plut2.m8.19941.m1, plut2.m8.8359.m1, jamg1.model.Sc0000465.23, jamg1.model.Sc0000003.3	Pocillopora_acuta_HIv1_PredGene_g1770.t1, Pocillopora_acuta_HIv1_PredGene_g11204.t1, Pocillopora_acuta_HIv1_PredGene_g1060.t1
OG0000203	jamg1.model.Sc0000226.24, jamg1.model.xfSc0000107.22	Pocillopora_acuta_HIv1_PredGene_g21488.t1, Pocillopora_acuta_HIv1_PredGene_g11142.t1, Pocillopora_acuta_HIv1_PredGene_g25184.t1, Pocillopora_acuta_HIv1_PredGene_g24785.t1, Pocillopora_acuta_HIv1_PredGene_g21248.t1, Pocillopora_acuta_HIv1_PredGene_g8418.t1, Pocillopora_acuta_HIv1_PredGene_g28004.t1
OG0000203	plut2.m8.4053.m1	Pocillopora_acuta_HIv1_PredGene_g6890.t1
OG0000204	plut2.m8.9760.m1, plut2.m8.9762.m1, plut2.m8.9761.m1	Pocillopora_acuta_HIv1_PredGene_g21335.t2, Pocillopora_acuta_HIv1_PredGene_g21338.t1, Pocillopora_acuta_HIv1_PredGene_g21336.t1, Pocillopora_acuta_HIv1_PredGene_g21337.t1, Pocillopora_acuta_HIv1_PredGene_g21335.t1, Pocillopora_acuta_HIv1_PredGene_g2933.t1, Pocillopora_acuta_HIv1_PredGene_10422_t, Pocillopora_acuta_HIv1_PredGene_g2934.t1
OG0000204	plut2.m8.1872.m1, plut2.m8.1873.m1, plut2.m8.1871.m1	Pocillopora_acuta_HIv1_PredGene_g9024.t2
OG0000204	jamg1.model.Sc0000078.34, plut2.m8.14129.m1, plut2.m8.14128.m1, plut2.m8.14126.m1, jamg1.model.Sc0000157.55, jamg1.model.Sc0000157.56, jamg1.model.Sc0000157.54, jamg1.model.Sc0000196.6, plut2.m8.14448.m1, plut2.m8.14447.m1, plut2.m8.29126.m1, plut2.m8.14467.m1, plut2.m8.14450.m1, jamg1.model.Sc0000416.26, plut2.m8.7487.m1, jamg1.model.Sc0000157.58	Pocillopora_acuta_HIv1_PredGene_g15482.t1
OG0000205	plut2.m8.19544.m1	Pocillopora_acuta_HIv1_PredGene_g14041.t1
OG0000206	plut2.m8.26059.m1	Pocillopora_acuta_HIv1_PredGene_g11920.t1
OG0000206	plut2.m8.22089.m1	Pocillopora_acuta_HIv1_PredGene_g11543.t1
OG0000206	plut2.m8.19276.m1	Pocillopora_acuta_HIv1_PredGene_g32240.t1, Pocillopora_acuta_HIv1_PredGene_g6446.t1
OG0000207	plut2.m8.22257.m1	Pocillopora_acuta_HIv1_PredGene_g20451.t1
OG0000208	jamg1.model.xpSc0007198.2, jamg1.model.Sc0000567.24, plut2.m8.23372.m1, plut2.m8.30987.m1	Pocillopora_acuta_HIv1_PredGene_g10853.t1
OG0000209	jamg1.model.Sc0000125.61	Pocillopora_acuta_HIv1_PredGene_g11149.t1, Pocillopora_acuta_HIv1_PredGene_g11141.t1
OG0000209	jamg1.model.Sc0000013.20	Pocillopora_acuta_HIv1_PredGene_g28655.t1, Pocillopora_acuta_HIv1_PredGene_g22020.t1
OG0000210	jamg1.model.xfSc0000101.23	Pocillopora_acuta_HIv1_PredGene_g28820.t1, Pocillopora_acuta_HIv1_PredGene_g28830.t1, Pocillopora_acuta_HIv1_PredGene_g10365.t2, Pocillopora_acuta_HIv1_PredGene_g24792.t1, Pocillopora_acuta_HIv1_PredGene_g10365.t1, Pocillopora_acuta_HIv1_PredGene_g27094.t1, Pocillopora_acuta_HIv1_PredGene_g27095.t1
OG0000211	plut2.m8.18986.m1	Pocillopora_acuta_HIv1_PredGene_g10158.t1
OG0000212	jamg1.model.xfSc0000749.2	Pocillopora_acuta_HIv1_PredGene_g26449.t1
OG0000212	plut2.m8.17478.m1	Pocillopora_acuta_HIv1_PredGene_g6765.t1
OG0000212	plut2.m8.26125.m1, plut2.m8.11830.m1, plut2.m8.20835.m1, plut2.m8.25589.m1, plut2.m8.32285.m1, plut2.m8.18434.m1	Pocillopora_acuta_HIv1_PredGene_g27616.t1
OG0000212	plut2.m8.18869.m1	Pocillopora_acuta_HIv1_PredGene_g33044.t1, Pocillopora_acuta_HIv1_PredGene_g29472.t1, Pocillopora_acuta_HIv1_PredGene_g29474.t1, Pocillopora_acuta_HIv1_PredGene_g33051.t1, Pocillopora_acuta_HIv1_PredGene_g27391.t1, Pocillopora_acuta_HIv1_PredGene_g33039.t1
OG0000213	plut2.m8.26736.m1, plut2.m8.19827.m1, plut2.m8.19828.m1, plut2.m8.21132.m1	Pocillopora_acuta_HIv1_PredGene_g26499.t1, Pocillopora_acuta_HIv1_PredGene_g8836.t1, Pocillopora_acuta_HIv1_PredGene_g8835.t1, Pocillopora_acuta_HIv1_PredGene_g21219.t1, Pocillopora_acuta_HIv1_PredGene_g21220.t1, Pocillopora_acuta_HIv1_PredGene_g21222.t1, Pocillopora_acuta_HIv1_PredGene_g21223.t1, Pocillopora_acuta_HIv1_PredGene_g21224.t1
OG0000214	plut2.m8.17289.m1	Pocillopora_acuta_HIv1_PredGene_g20712.t1
OG0000215	plut2.m8.33054.m1	Pocillopora_acuta_HIv1_PredGene_g13442.t1, Pocillopora_acuta_HIv1_PredGene_g22563.t1, Pocillopora_acuta_HIv1_PredGene_g22562.t1
OG0000218	plut2.m8.1519.m1	Pocillopora_acuta_HIv1_PredGene_g9432.t1, Pocillopora_acuta_HIv1_PredGene_g1546.t1, Pocillopora_acuta_HIv1_PredGene_g23548.t1, Pocillopora_acuta_HIv1_PredGene_g1806.t1, Pocillopora_acuta_HIv1_PredGene_g5540.t1, Pocillopora_acuta_HIv1_PredGene_g16165.t2, Pocillopora_acuta_HIv1_PredGene_g16165.t1, Pocillopora_acuta_HIv1_PredGene_g29220.t1, Pocillopora_acuta_HIv1_PredGene_g29194.t1
OG0000220	plut2.m8.12198.m1	Pocillopora_acuta_HIv1_PredGene_g15398.t1
OG0000220	plut2.m8.23581.m1	Pocillopora_acuta_HIv1_PredGene_g19238.t1, Pocillopora_acuta_HIv1_PredGene_g22977.t1, Pocillopora_acuta_HIv1_PredGene_g25493.t1, Pocillopora_acuta_HIv1_PredGene_g23394.t1, Pocillopora_acuta_HIv1_PredGene_g25494.t1, Pocillopora_acuta_HIv1_PredGene_g4208.t1, Pocillopora_acuta_HIv1_PredGene_g29201.t1, Pocillopora_acuta_HIv1_PredGene_g20889.t1
OG0000221	plut2.m8.2750.m1, plut2.m8.33535.m1	Pocillopora_acuta_HIv1_PredGene_529_t, Pocillopora_acuta_HIv1_PredGene_g7544.t1
OG0000221	plut2.m8.2753.m1, plut2.m8.2746.m1, plut2.m8.2748.m1, plut2.m8.2745.m1	Pocillopora_acuta_HIv1_PredGene_526_t, Pocillopora_acuta_HIv1_PredGene_g7543.t1, Pocillopora_acuta_HIv1_PredGene_528_t
OG0000222	plut2.m8.29593.m1, plut2.m8.577.m1, plut2.m8.568.m1, plut2.m8.558.m1, plut2.m8.1571.m1, plut2.m8.1573.m1, plut2.m8.3259.m1, plut2.m8.29589.m1, plut2.m8.29594.m1, plut2.m8.3516.m1	Pocillopora_acuta_HIv1_PredGene_g20807.t1, Pocillopora_acuta_HIv1_PredGene_25508_t, Pocillopora_acuta_HIv1_PredGene_g20806.t1, Pocillopora_acuta_HIv1_PredGene_g20805.t1
OG0000223	plut2.m8.6664.m1	Pocillopora_acuta_HIv1_PredGene_g29536.t1
OG0000223	plut2.m8.31853.m1	Pocillopora_acuta_HIv1_PredGene_g29108.t1
OG0000223	plut2.m8.2087.m1, plut2.m8.2086.m1	Pocillopora_acuta_HIv1_PredGene_g22365.t1
OG0000223	plut2.m8.13415.m1, plut2.m8.2727.m1	Pocillopora_acuta_HIv1_PredGene_g31074.t1
OG0000224	plut2.m8.16120.m1	Pocillopora_acuta_HIv1_PredGene_g5906.t1
OG0000224	plut2.m8.20987.m1	Pocillopora_acuta_HIv1_PredGene_g9441.t1
OG0000224	plut2.m8.22420.m1	Pocillopora_acuta_HIv1_PredGene_g841.t1
OG0000225	plut2.m8.4568.m1	Pocillopora_acuta_HIv1_PredGene_g21065.t1, Pocillopora_acuta_HIv1_PredGene_g13992.t1, Pocillopora_acuta_HIv1_PredGene_g29070.t1, Pocillopora_acuta_HIv1_PredGene_g5838.t1, Pocillopora_acuta_HIv1_PredGene_g8530.t1, Pocillopora_acuta_HIv1_PredGene_g10748.t1, Pocillopora_acuta_HIv1_PredGene_g25065.t1, Pocillopora_acuta_HIv1_PredGene_g23893.t1, Pocillopora_acuta_HIv1_PredGene_g9627.t1
OG0000226	jamg1.model.Sc0000321.4, plut2.m8.4684.m1, plut2.m8.26011.m1, plut2.m8.31247.m1, plut2.m8.18998.m1, jamg1.model.xfSc0003407.1, jamg1.model.xfSc0004232.1, plut2.m8.4676.m1, plut2.m8.30209.m1, plut2.m8.26010.m1, plut2.m8.19004.m1	Pocillopora_acuta_HIv1_PredGene_g17560.t1, Pocillopora_acuta_HIv1_PredGene_g17556.t1, Pocillopora_acuta_HIv1_PredGene_g17566.t1, Pocillopora_acuta_HIv1_PredGene_g17564.t1, Pocillopora_acuta_HIv1_PredGene_g17555.t1, Pocillopora_acuta_HIv1_PredGene_g17558.t1, Pocillopora_acuta_HIv1_PredGene_g17563.t1, Pocillopora_acuta_HIv1_PredGene_g17554.t1, Pocillopora_acuta_HIv1_PredGene_1779_t, Pocillopora_acuta_HIv1_PredGene_g17569.t1
OG0000227	jamg1.model.Sc0000039.40	Pocillopora_acuta_HIv1_PredGene_g22787.t1, Pocillopora_acuta_HIv1_PredGene_g10712.t1, Pocillopora_acuta_HIv1_PredGene_g10719.t1, Pocillopora_acuta_HIv1_PredGene_g10716.t1, Pocillopora_acuta_HIv1_PredGene_g10714.t1, Pocillopora_acuta_HIv1_PredGene_g22790.t1, Pocillopora_acuta_HIv1_PredGene_g10711.t1, Pocillopora_acuta_HIv1_PredGene_g10686.t1
OG0000227	plut2.m8.9523.m1, plut2.m8.11667.m1, plut2.m8.11668.m1, plut2.m8.24363.m1, plut2.m8.1218.m1, plut2.m8.11669.m1, plut2.m8.30487.m1, plut2.m8.11673.m1, jamg1.model.Sc0000590.11, jamg1.model.Sc0000146.56, plut2.m8.11661.m1, jamg1.model.Sc0000590.2, plut2.m8.11660.m1, plut2.m8.24357.m1, plut2.m8.24360.m1	Pocillopora_acuta_HIv1_PredGene_g1229.t1, Pocillopora_acuta_HIv1_PredGene_g18659.t1
OG0000229	plut2.m8.7313.m1	Pocillopora_acuta_HIv1_PredGene_g6062.t2, Pocillopora_acuta_HIv1_PredGene_g13464.t1, Pocillopora_acuta_HIv1_PredGene_g13464.t2, Pocillopora_acuta_HIv1_PredGene_g13464.t3, Pocillopora_acuta_HIv1_PredGene_g13470.t1, Pocillopora_acuta_HIv1_PredGene_g6062.t3, Pocillopora_acuta_HIv1_PredGene_g6062.t1, Pocillopora_acuta_HIv1_PredGene_g6068.t1
OG0000230	plut2.m8.21525.m1, plut2.m8.10579.m1, plut2.m8.32368.m1, plut2.m8.10580.m1, plut2.m8.32362.m1, plut2.m8.32369.m1	Pocillopora_acuta_HIv1_PredGene_g18603.t1, Pocillopora_acuta_HIv1_PredGene_g18599.t1, Pocillopora_acuta_HIv1_PredGene_g18602.t1, Pocillopora_acuta_HIv1_PredGene_g18605.t1, Pocillopora_acuta_HIv1_PredGene_g18597.t1, Pocillopora_acuta_HIv1_PredGene_g18598.t1, Pocillopora_acuta_HIv1_PredGene_g18604.t1, Pocillopora_acuta_HIv1_PredGene_g18596.t1
OG0000231	plut2.m8.4446.m1	Pocillopora_acuta_HIv1_PredGene_g22752.t1
OG0000231	plut2.m8.4451.m1, plut2.m8.4449.m1, plut2.m8.4450.m1	Pocillopora_acuta_HIv1_PredGene_g22753.t1, Pocillopora_acuta_HIv1_PredGene_g22755.t1, Pocillopora_acuta_HIv1_PredGene_g22754.t1
OG0000232	plut2.m8.3754.m1	Pocillopora_acuta_HIv1_PredGene_g26217.t1
OG0000232	plut2.m8.16059.m1, plut2.m8.11366.m1, plut2.m8.26180.m1, plut2.m8.19275.m1, plut2.m8.5763.m1, plut2.m8.22678.m1, plut2.m8.11374.m1	Pocillopora_acuta_HIv1_PredGene_g26216.t1
OG0000234	plut2.m8.22344.m1, plut2.m8.3632.m1, plut2.m8.21523.m1, plut2.m8.30916.m1, jamg1.model.Sc0000777.3, plut2.m8.31372.m1, plut2.m8.22352.m1, plut2.m8.27631.m1	Pocillopora_acuta_HIv1_PredGene_g32337.t1
OG0000234	plut2.m8.25465.m1, plut2.m8.9831.m1	Pocillopora_acuta_HIv1_PredGene_g14756.t1, Pocillopora_acuta_HIv1_PredGene_g9637.t1, Pocillopora_acuta_HIv1_PredGene_g5693.t1, Pocillopora_acuta_HIv1_PredGene_g19455.t1
OG0000234	plut2.m8.30542.m1	Pocillopora_acuta_HIv1_PredGene_g5853.t1
OG0000234	plut2.m8.11815.m1, plut2.m8.18959.m1	Pocillopora_acuta_HIv1_PredGene_g5853.t2
OG0000235	plut2.m8.24791.m1	Pocillopora_acuta_HIv1_PredGene_g11000.t1, Pocillopora_acuta_HIv1_PredGene_g7010.t1, Pocillopora_acuta_HIv1_PredGene_g10744.t1, Pocillopora_acuta_HIv1_PredGene_g17574.t1, Pocillopora_acuta_HIv1_PredGene_g1050.t1, Pocillopora_acuta_HIv1_PredGene_g29088.t1, Pocillopora_acuta_HIv1_PredGene_g8114.t1, Pocillopora_acuta_HIv1_PredGene_g26079.t1, Pocillopora_acuta_HIv1_PredGene_g10089.t1, Pocillopora_acuta_HIv1_PredGene_g27538.t1
OG0000236	plut2.m8.32829.m1	Pocillopora_acuta_HIv1_PredGene_g24170.t1
OG0000236	plut2.m8.19774.m1	Pocillopora_acuta_HIv1_PredGene_g23295.t1, Pocillopora_acuta_HIv1_PredGene_g25893.t1
OG0000237	plut2.m8.25554.m1	Pocillopora_acuta_HIv1_PredGene_g20698.t1, Pocillopora_acuta_HIv1_PredGene_g27587.t1, Pocillopora_acuta_HIv1_PredGene_g2405.t1
OG0000238	plut2.m8.10964.m1, plut2.m8.10963.m1	Pocillopora_acuta_HIv1_PredGene_g24246.t1, Pocillopora_acuta_HIv1_PredGene_g24245.t1, Pocillopora_acuta_HIv1_PredGene_g4828.t1, Pocillopora_acuta_HIv1_PredGene_g16158.t1, Pocillopora_acuta_HIv1_PredGene_g29599.t1, Pocillopora_acuta_HIv1_PredGene_g2388.t1, Pocillopora_acuta_HIv1_PredGene_g4278.t1, Pocillopora_acuta_HIv1_PredGene_g24642.t1
OG0000239	jamg1.model.Sc0000277.26, jamg1.model.Sc0000943.1	Pocillopora_acuta_HIv1_PredGene_g32042.t1
OG0000239	plut2.m8.22490.m1, plut2.m8.22033.m1	Pocillopora_acuta_HIv1_PredGene_g8939.t2, Pocillopora_acuta_HIv1_PredGene_g8939.t1
OG0000239	jamg1.model.xfSc0000520.8, jamg1.model.xpSc0007633.1	Pocillopora_acuta_HIv1_PredGene_g20084.t1, Pocillopora_acuta_HIv1_PredGene_g20072.t1, Pocillopora_acuta_HIv1_PredGene_g10534.t1
OG0000240	plut2.m8.3398.m1	Pocillopora_acuta_HIv1_PredGene_g12549.t1, Pocillopora_acuta_HIv1_PredGene_g12550.t1
OG0000240	plut2.m8.18500.m1, plut2.m8.11239.m1	Pocillopora_acuta_HIv1_PredGene_g31938.t1, Pocillopora_acuta_HIv1_PredGene_g31860.t1, Pocillopora_acuta_HIv1_PredGene_g31935.t1
OG0000241	plut2.m8.2179.m1, plut2.m8.2175.m1, plut2.m8.2176.m1, plut2.m8.24720.m1, plut2.m8.17131.m1, plut2.m8.26001.m1, plut2.m8.30915.m1, plut2.m8.26002.m1, plut2.m8.12792.m1, plut2.m8.12787.m1	Pocillopora_acuta_HIv1_PredGene_g18292.t1
OG0000241	plut2.m8.22788.m1	Pocillopora_acuta_HIv1_PredGene_g12629.t1, Pocillopora_acuta_HIv1_PredGene_g23133.t1, Pocillopora_acuta_HIv1_PredGene_g20985.t1, Pocillopora_acuta_HIv1_PredGene_g23135.t1, Pocillopora_acuta_HIv1_PredGene_g20988.t1, Pocillopora_acuta_HIv1_PredGene_g12630.t2, Pocillopora_acuta_HIv1_PredGene_g12630.t1, Pocillopora_acuta_HIv1_PredGene_g23132.t1, Pocillopora_acuta_HIv1_PredGene_g20984.t1, Pocillopora_acuta_HIv1_PredGene_g23134.t1
OG0000241	plut2.m8.30500.m1, plut2.m8.30504.m1, plut2.m8.27610.m1, plut2.m8.27605.m1, plut2.m8.22787.m1, plut2.m8.2177.m1	Pocillopora_acuta_HIv1_PredGene_g12628.t1
OG0000242	plut2.m8.17092.m1	Pocillopora_acuta_HIv1_PredGene_g12163.t1
OG0000244	jamg1.model.Sc0000062.54, jamg1.model.Sc0000036.135	Pocillopora_acuta_HIv1_PredGene_g10543.t1
OG0000244	jamg1.model.xfSc0000226.6, plut2.m8.6812.m1	Pocillopora_acuta_HIv1_PredGene_g15982.t1, Pocillopora_acuta_HIv1_PredGene_g15990.t1, Pocillopora_acuta_HIv1_PredGene_g15995.t1, Pocillopora_acuta_HIv1_PredGene_g453.t1, Pocillopora_acuta_HIv1_PredGene_g15985.t1, Pocillopora_acuta_HIv1_PredGene_g15994.t1, Pocillopora_acuta_HIv1_PredGene_g15989.t1, Pocillopora_acuta_HIv1_PredGene_g452.t1, Pocillopora_acuta_HIv1_PredGene_g15986.t1, Pocillopora_acuta_HIv1_PredGene_g15988.t1, Pocillopora_acuta_HIv1_PredGene_g15991.t1, Pocillopora_acuta_HIv1_PredGene_g15987.t1, Pocillopora_acuta_HIv1_PredGene_g15983.t1, Pocillopora_acuta_HIv1_PredGene_g15984.t1, Pocillopora_acuta_HIv1_PredGene_g15992.t1, Pocillopora_acuta_HIv1_PredGene_g15996.t1, Pocillopora_acuta_HIv1_PredGene_g454.t1, Pocillopora_acuta_HIv1_PredGene_g455.t1, Pocillopora_acuta_HIv1_PredGene_g15997.t1
OG0000244	jamg1.model.Sc0000062.53, plut2.m8.6505.m1, jamg1.model.Sc0000062.49, jamg1.model.Sc0000062.44	Pocillopora_acuta_HIv1_PredGene_g10559.t1, Pocillopora_acuta_HIv1_PredGene_g10558.t1
OG0000245	jamg1.model.Sc0000148.25	Pocillopora_acuta_HIv1_PredGene_g24689.t1, Pocillopora_acuta_HIv1_PredGene_g24657.t1
OG0000246	plut2.m8.32821.m1	Pocillopora_acuta_HIv1_PredGene_g19888.t1, Pocillopora_acuta_HIv1_PredGene_g5874.t1, Pocillopora_acuta_HIv1_PredGene_g25974.t1
OG0000246	jamg1.model.xfSc0000476.1, plut2.m8.26023.m1	Pocillopora_acuta_HIv1_PredGene_g10749.t1, Pocillopora_acuta_HIv1_PredGene_g14160.t1, Pocillopora_acuta_HIv1_PredGene_g5967.t1
OG0000247	plut2.m8.11500.m1, plut2.m8.9892.m1	Pocillopora_acuta_HIv1_PredGene_g358.t1
OG0000248	plut2.m8.5774.m1	Pocillopora_acuta_HIv1_PredGene_g23303.t1, Pocillopora_acuta_HIv1_PredGene_g25897.t1, Pocillopora_acuta_HIv1_PredGene_g23305.t1, Pocillopora_acuta_HIv1_PredGene_g20652.t1
OG0000249	plut2.m8.5344.m1	Pocillopora_acuta_HIv1_PredGene_g22963.t1, Pocillopora_acuta_HIv1_PredGene_g13701.t1, Pocillopora_acuta_HIv1_PredGene_g15375.t1, Pocillopora_acuta_HIv1_PredGene_g9507.t1, Pocillopora_acuta_HIv1_PredGene_g26211.t1
OG0000250	plut2.m8.20414.m1, plut2.m8.20876.m1, plut2.m8.2083.m1, plut2.m8.17934.m1, plut2.m8.14976.m1, plut2.m8.30530.m1, plut2.m8.30531.m1, plut2.m8.23458.m1, plut2.m8.23196.m1, plut2.m8.20891.m1, plut2.m8.32918.m1, plut2.m8.20883.m1, plut2.m8.32913.m1, plut2.m8.33136.m1, plut2.m8.9871.m1, plut2.m8.9848.m1, plut2.m8.24073.m1, plut2.m8.20885.m1, plut2.m8.20890.m1, plut2.m8.8874.m1	Pocillopora_acuta_HIv1_PredGene_g20104.t1
OG0000251	plut2.m8.25009.m1, plut2.m8.29503.m1, plut2.m8.27480.m1	Pocillopora_acuta_HIv1_PredGene_g23396.t1, Pocillopora_acuta_HIv1_PredGene_g16465.t1, Pocillopora_acuta_HIv1_PredGene_g22560.t1, Pocillopora_acuta_HIv1_PredGene_g16464.t1, Pocillopora_acuta_HIv1_PredGene_g17790.t1
OG0000252	plut2.m8.8580.m1	Pocillopora_acuta_HIv1_PredGene_g6978.t1, Pocillopora_acuta_HIv1_PredGene_g6982.t1, Pocillopora_acuta_HIv1_PredGene_g6982.t2
OG0000252	plut2.m8.8583.m1, plut2.m8.8581.m1, plut2.m8.8582.m1, plut2.m8.8588.m1, plut2.m8.31302.m1, jamg1.model.xfSc0000420.4	Pocillopora_acuta_HIv1_PredGene_g6979.t1, Pocillopora_acuta_HIv1_PredGene_g6984.t1, Pocillopora_acuta_HIv1_PredGene_g6984.t2, Pocillopora_acuta_HIv1_PredGene_g6968.t1, Pocillopora_acuta_HIv1_PredGene_g6974.t1
OG0000254	plut2.m8.15638.m1	Pocillopora_acuta_HIv1_PredGene_g4287.t1, Pocillopora_acuta_HIv1_PredGene_g31728.t1, Pocillopora_acuta_HIv1_PredGene_g18699.t1, Pocillopora_acuta_HIv1_PredGene_g8825.t1, Pocillopora_acuta_HIv1_PredGene_g12588.t1, Pocillopora_acuta_HIv1_PredGene_g19696.t1, Pocillopora_acuta_HIv1_PredGene_g8614.t1, Pocillopora_acuta_HIv1_PredGene_g33190.t1, Pocillopora_acuta_HIv1_PredGene_g482.t2, Pocillopora_acuta_HIv1_PredGene_g11145.t1, Pocillopora_acuta_HIv1_PredGene_g31832.t1, Pocillopora_acuta_HIv1_PredGene_g5010.t1, Pocillopora_acuta_HIv1_PredGene_g17153.t1, Pocillopora_acuta_HIv1_PredGene_g21469.t1, Pocillopora_acuta_HIv1_PredGene_g14328.t1, Pocillopora_acuta_HIv1_PredGene_g33548.t1, Pocillopora_acuta_HIv1_PredGene_g28398.t1, Pocillopora_acuta_HIv1_PredGene_g21465.t1, Pocillopora_acuta_HIv1_PredGene_g20888.t1, Pocillopora_acuta_HIv1_PredGene_g17892.t1, Pocillopora_acuta_HIv1_PredGene_g17813.t1, Pocillopora_acuta_HIv1_PredGene_g19239.t1, Pocillopora_acuta_HIv1_PredGene_g22978.t1, Pocillopora_acuta_HIv1_PredGene_g23392.t1, Pocillopora_acuta_HIv1_PredGene_g25495.t1
OG0000256	plut2.m8.20811.m1	Pocillopora_acuta_HIv1_PredGene_g14399.t1
OG0000257	plut2.m8.11324.m1	Pocillopora_acuta_HIv1_PredGene_g23300.t1, Pocillopora_acuta_HIv1_PredGene_g26119.t1
OG0000257	plut2.m8.33403.m1	Pocillopora_acuta_HIv1_PredGene_g5832.t1, Pocillopora_acuta_HIv1_PredGene_g3531.t1
OG0000257	plut2.m8.7291.m1	Pocillopora_acuta_HIv1_PredGene_g3834.t1
OG0000258	plut2.m8.6058.m1, plut2.m8.6059.m1, plut2.m8.6057.m1, plut2.m8.15315.m1, plut2.m8.6053.m1	Pocillopora_acuta_HIv1_PredGene_g27801.t1
OG0000259	plut2.m8.6977.m1, plut2.m8.17434.m1, plut2.m8.24003.m1, plut2.m8.17435.m1, plut2.m8.17452.m1	Pocillopora_acuta_HIv1_PredGene_g8543.t1, Pocillopora_acuta_HIv1_PredGene_g1683.t1
OG0000259	plut2.m8.5401.m1	Pocillopora_acuta_HIv1_PredGene_g15949.t1
OG0000259	plut2.m8.13149.m1	Pocillopora_acuta_HIv1_PredGene_g6277.t1
OG0000260	plut2.m8.12633.m1	Pocillopora_acuta_HIv1_PredGene_g24295.t1, Pocillopora_acuta_HIv1_PredGene_g24294.t1
OG0000260	jamg1.model.Sc0000155.64, jamg1.model.Sc0000223.5	Pocillopora_acuta_HIv1_PredGene_g21917.t1
OG0000260	jamg1.model.Sc0000728.8, jamg1.model.Sc0000258.21	Pocillopora_acuta_HIv1_PredGene_g24968.t1, Pocillopora_acuta_HIv1_PredGene_g15309.t1
OG0000262	plut2.m8.15960.m1, plut2.m8.8312.m1, plut2.m8.3966.m1, plut2.m8.30573.m1, plut2.m8.4177.m1, plut2.m8.21570.m1, plut2.m8.21565.m1, plut2.m8.21061.m1, plut2.m8.32546.m1, plut2.m8.32541.m1, plut2.m8.21655.m1, plut2.m8.21656.m1, plut2.m8.2654.m1	Pocillopora_acuta_HIv1_PredGene_1620_t
OG0000263	plut2.m8.10745.m1	Pocillopora_acuta_HIv1_PredGene_g15214.t1
OG0000263	plut2.m8.20348.m1, plut2.m8.20344.m1, plut2.m8.20346.m1	Pocillopora_acuta_HIv1_PredGene_g15290.t1, Pocillopora_acuta_HIv1_PredGene_g15294.t1, Pocillopora_acuta_HIv1_PredGene_g21674.t1
OG0000265	plut2.m8.3073.m1	Pocillopora_acuta_HIv1_PredGene_g10852.t1
OG0000265	plut2.m8.9260.m1	Pocillopora_acuta_HIv1_PredGene_g20078.t1, Pocillopora_acuta_HIv1_PredGene_g26378.t1, Pocillopora_acuta_HIv1_PredGene_g33520.t1, Pocillopora_acuta_HIv1_PredGene_g682.t1, Pocillopora_acuta_HIv1_PredGene_g4629.t1, Pocillopora_acuta_HIv1_PredGene_g26082.t1, Pocillopora_acuta_HIv1_PredGene_g13158.t1
