Orthogroup	Pocillopora_acuta_HIv1.genes.pep	plut2v1.1.proteins
OG0000808	Pocillopora_acuta_HIv1_PredGene_24624_t, Pocillopora_acuta_HIv1_PredGene_g14264.t1, Pocillopora_acuta_HIv1_PredGene_g13428.t1, Pocillopora_acuta_HIv1_PredGene_g31032.t1	jamg1.model.Sc0000568.22
OG0000808	Pocillopora_acuta_HIv1_PredGene_g13427.t1, Pocillopora_acuta_HIv1_PredGene_g14263.t1, Pocillopora_acuta_HIv1_PredGene_g13426.t1, Pocillopora_acuta_HIv1_PredGene_g29713.t1, Pocillopora_acuta_HIv1_PredGene_g17320.t1	plut2.m8.4880.m1, plut2.m8.4878.m1, plut2.m8.29320.m1, plut2.m8.4879.m1, plut2.m8.4882.m1
OG0000809	Pocillopora_acuta_HIv1_PredGene_g11816.t1	plut2.m8.1036.m1
OG0000809	Pocillopora_acuta_HIv1_PredGene_g11819.t1, Pocillopora_acuta_HIv1_PredGene_g11817.t1, Pocillopora_acuta_HIv1_PredGene_g11818.t1	plut2.m8.33482.m1, plut2.m8.1565.m1, plut2.m8.1568.m1, plut2.m8.1034.m1, plut2.m8.25300.m1, plut2.m8.25813.m1, plut2.m8.19129.m1, plut2.m8.1028.m1, plut2.m8.1027.m1, plut2.m8.1035.m1, plut2.m8.19135.m1, plut2.m8.19137.m1
OG0000810	Pocillopora_acuta_HIv1_PredGene_g2790.t1	plut2.m8.25379.m1
OG0000810	Pocillopora_acuta_HIv1_PredGene_g2799.t1, Pocillopora_acuta_HIv1_PredGene_g5348.t1, Pocillopora_acuta_HIv1_PredGene_g2802.t1, Pocillopora_acuta_HIv1_PredGene_g2804.t1, Pocillopora_acuta_HIv1_PredGene_g5350.t1, Pocillopora_acuta_HIv1_PredGene_g2800.t1, Pocillopora_acuta_HIv1_PredGene_g5349.t1, Pocillopora_acuta_HIv1_PredGene_g29067.t1	plut2.m8.25381.m1, plut2.m8.25383.m1
OG0000815	Pocillopora_acuta_HIv1_PredGene_g2763.t1	plut2.m8.287.m1, plut2.m8.265.m1
OG0000815	Pocillopora_acuta_HIv1_PredGene_g2767.t1	plut2.m8.286.m1, jamg1.model.xfSc0002282.1, jamg1.model.Sc0000001.114, jamg1.model.Sc0000001.109, plut2.m8.269.m1
OG0000818	Pocillopora_acuta_HIv1_PredGene_g10583.t1, Pocillopora_acuta_HIv1_PredGene_g10587.t1, Pocillopora_acuta_HIv1_PredGene_g10586.t1, Pocillopora_acuta_HIv1_PredGene_g10585.t1, Pocillopora_acuta_HIv1_PredGene_g10588.t1	plut2.m8.20268.m1, plut2.m8.19925.m1
OG0000819	Pocillopora_acuta_HIv1_PredGene_g7084.t1, Pocillopora_acuta_HIv1_PredGene_81_t, Pocillopora_acuta_HIv1_PredGene_g7082.t1	plut2.m8.3093.m1
OG0000819	Pocillopora_acuta_HIv1_PredGene_74_t, Pocillopora_acuta_HIv1_PredGene_g7077.t1, Pocillopora_acuta_HIv1_PredGene_g7076.t1, Pocillopora_acuta_HIv1_PredGene_g7075.t1, Pocillopora_acuta_HIv1_PredGene_g7074.t1, Pocillopora_acuta_HIv1_PredGene_g7078.t1, Pocillopora_acuta_HIv1_PredGene_77_t, Pocillopora_acuta_HIv1_PredGene_g7080.t1	plut2.m8.4443.m1
OG0000820	Pocillopora_acuta_HIv1_PredGene_g7602.t1, Pocillopora_acuta_HIv1_PredGene_g7604.t1, Pocillopora_acuta_HIv1_PredGene_g7601.t1	plut2.m8.121.m1, plut2.m8.32019.m1
OG0000825	Pocillopora_acuta_HIv1_PredGene_g30747.t1, Pocillopora_acuta_HIv1_PredGene_g30743.t1, Pocillopora_acuta_HIv1_PredGene_g8969.t1, Pocillopora_acuta_HIv1_PredGene_g22124.t1, Pocillopora_acuta_HIv1_PredGene_g8461.t1, Pocillopora_acuta_HIv1_PredGene_g30978.t1, Pocillopora_acuta_HIv1_PredGene_g19543.t1, Pocillopora_acuta_HIv1_PredGene_g10374.t1	plut2.m8.17609.m1
OG0000826	Pocillopora_acuta_HIv1_PredGene_20271_t, Pocillopora_acuta_HIv1_PredGene_g15927.t2, Pocillopora_acuta_HIv1_PredGene_g15927.t3, Pocillopora_acuta_HIv1_PredGene_g15927.t1	plut2.m8.10810.m1
OG0000826	Pocillopora_acuta_HIv1_PredGene_g15925.t1	plut2.m8.10809.m1
OG0000827	Pocillopora_acuta_HIv1_PredGene_g27736.t1, Pocillopora_acuta_HIv1_PredGene_g7734.t1, Pocillopora_acuta_HIv1_PredGene_g1638.t1, Pocillopora_acuta_HIv1_PredGene_g21707.t1, Pocillopora_acuta_HIv1_PredGene_g8661.t1	plut2.m8.9680.m1, plut2.m8.10638.m1
OG0000831	Pocillopora_acuta_HIv1_PredGene_g1394.t1, Pocillopora_acuta_HIv1_PredGene_g1396.t1, Pocillopora_acuta_HIv1_PredGene_g24233.t1, Pocillopora_acuta_HIv1_PredGene_g12277.t1, Pocillopora_acuta_HIv1_PredGene_g33525.t1, Pocillopora_acuta_HIv1_PredGene_g10843.t1	plut2.m8.22607.m1
OG0000833	Pocillopora_acuta_HIv1_PredGene_g31684.t1, Pocillopora_acuta_HIv1_PredGene_7290_t, Pocillopora_acuta_HIv1_PredGene_g31682.t1, Pocillopora_acuta_HIv1_PredGene_g31678.t1, Pocillopora_acuta_HIv1_PredGene_g31678.t2, Pocillopora_acuta_HIv1_PredGene_g2987.t1	plut2.m8.26538.m1, plut2.m8.26544.m1
OG0000836	Pocillopora_acuta_HIv1_PredGene_g23487.t1	plut2.m8.18421.m1
OG0000836	Pocillopora_acuta_HIv1_PredGene_g10962.t1, Pocillopora_acuta_HIv1_PredGene_g5778.t1, Pocillopora_acuta_HIv1_PredGene_g2435.t1	plut2.m8.18422.m1
OG0000836	Pocillopora_acuta_HIv1_PredGene_g23783.t1	plut2.m8.2110.m1, plut2.m8.10314.m1, plut2.m8.33278.m1, plut2.m8.16043.m1
OG0000837	Pocillopora_acuta_HIv1_PredGene_g8159.t1	plut2.m8.21876.m1, plut2.m8.23395.m1, jamg1.model.Sc0000680.7
OG0000839	Pocillopora_acuta_HIv1_PredGene_g7787.t1, Pocillopora_acuta_HIv1_PredGene_13504_t, Pocillopora_acuta_HIv1_PredGene_g7785.t1	plut2.m8.10828.m1, plut2.m8.10831.m1, plut2.m8.10833.m1
OG0000840	Pocillopora_acuta_HIv1_PredGene_g19705.t1, Pocillopora_acuta_HIv1_PredGene_g19705.t2	plut2.m8.1825.m1
OG0000840	Pocillopora_acuta_HIv1_PredGene_g21861.t1, Pocillopora_acuta_HIv1_PredGene_g29263.t1, Pocillopora_acuta_HIv1_PredGene_g5365.t1, Pocillopora_acuta_HIv1_PredGene_g10288.t1, Pocillopora_acuta_HIv1_PredGene_g10288.t2, Pocillopora_acuta_HIv1_PredGene_g10288.t3	plut2.m8.11385.m1
OG0000841	Pocillopora_acuta_HIv1_PredGene_g4279.t1, Pocillopora_acuta_HIv1_PredGene_g32423.t1	plut2.m8.15509.m1, jamg1.model.xpSc0007078.13
OG0000841	Pocillopora_acuta_HIv1_PredGene_g5829.t1	plut2.m8.4907.m1
OG0000842	Pocillopora_acuta_HIv1_PredGene_g26878.t1, Pocillopora_acuta_HIv1_PredGene_g26879.t1	plut2.m8.4233.m1
OG0000843	Pocillopora_acuta_HIv1_PredGene_g12534.t1, Pocillopora_acuta_HIv1_PredGene_g12539.t1, Pocillopora_acuta_HIv1_PredGene_27876_t, Pocillopora_acuta_HIv1_PredGene_g12544.t1, Pocillopora_acuta_HIv1_PredGene_g12541.t1, Pocillopora_acuta_HIv1_PredGene_g12535.t1	plut2.m8.19703.m1, plut2.m8.19702.m1, plut2.m8.19693.m1
OG0000843	Pocillopora_acuta_HIv1_PredGene_g2745.t1	plut2.m8.19701.m1
OG0000844	Pocillopora_acuta_HIv1_PredGene_g8844.t1, Pocillopora_acuta_HIv1_PredGene_g18943.t1, Pocillopora_acuta_HIv1_PredGene_g8843.t1, Pocillopora_acuta_HIv1_PredGene_g18944.t1, Pocillopora_acuta_HIv1_PredGene_g18944.t2, Pocillopora_acuta_HIv1_PredGene_g8837.t1, Pocillopora_acuta_HIv1_PredGene_g32224.t1, Pocillopora_acuta_HIv1_PredGene_g25798.t1, Pocillopora_acuta_HIv1_PredGene_29918_t, Pocillopora_acuta_HIv1_PredGene_g8845.t1, Pocillopora_acuta_HIv1_PredGene_g23929.t1, Pocillopora_acuta_HIv1_PredGene_g23946.t1, Pocillopora_acuta_HIv1_PredGene_g23939.t1, Pocillopora_acuta_HIv1_PredGene_g8839.t1, Pocillopora_acuta_HIv1_PredGene_g8848.t1, Pocillopora_acuta_HIv1_PredGene_g32009.t1	plut2.m8.23918.m1, plut2.m8.9330.m1
OG0000845	Pocillopora_acuta_HIv1_PredGene_g10110.t1, Pocillopora_acuta_HIv1_PredGene_g10109.t1, Pocillopora_acuta_HIv1_PredGene_g10109.t2, Pocillopora_acuta_HIv1_PredGene_g10109.t3	plut2.m8.9788.m1
OG0000846	Pocillopora_acuta_HIv1_PredGene_g18465.t1	plut2.m8.29231.m1
OG0000846	Pocillopora_acuta_HIv1_PredGene_g25970.t1	plut2.m8.29232.m1
OG0000849	Pocillopora_acuta_HIv1_PredGene_g13108.t1, Pocillopora_acuta_HIv1_PredGene_g13107.t2, Pocillopora_acuta_HIv1_PredGene_g13107.t1	plut2.m8.20395.m1
OG0000850	Pocillopora_acuta_HIv1_PredGene_g7022.t1, Pocillopora_acuta_HIv1_PredGene_g7026.t1	plut2.m8.33356.m1
OG0000850	Pocillopora_acuta_HIv1_PredGene_g7020.t1, Pocillopora_acuta_HIv1_PredGene_g7019.t1, Pocillopora_acuta_HIv1_PredGene_10_t, Pocillopora_acuta_HIv1_PredGene_g7021.t1, Pocillopora_acuta_HIv1_PredGene_g7028.t1, Pocillopora_acuta_HIv1_PredGene_g7027.t1, Pocillopora_acuta_HIv1_PredGene_g7025.t1	plut2.m8.31270.m1, plut2.m8.5033.m1, plut2.m8.33355.m1
OG0000852	Pocillopora_acuta_HIv1_PredGene_g4667.t1, Pocillopora_acuta_HIv1_PredGene_8916_t	plut2.m8.346.m1
OG0000852	Pocillopora_acuta_HIv1_PredGene_8907_t, Pocillopora_acuta_HIv1_PredGene_g4659.t1	plut2.m8.25972.m1, plut2.m8.32815.m1, plut2.m8.21738.m1
OG0000853	Pocillopora_acuta_HIv1_PredGene_g15323.t1, Pocillopora_acuta_HIv1_PredGene_g14210.t1, Pocillopora_acuta_HIv1_PredGene_g14212.t1, Pocillopora_acuta_HIv1_PredGene_g15325.t1, Pocillopora_acuta_HIv1_PredGene_g20561.t1, Pocillopora_acuta_HIv1_PredGene_26938_t	plut2.m8.31923.m1, plut2.m8.14331.m1, plut2.m8.14327.m1, plut2.m8.14321.m1, plut2.m8.14330.m1, plut2.m8.14323.m1
OG0000854	Pocillopora_acuta_HIv1_PredGene_g31897.t1, Pocillopora_acuta_HIv1_PredGene_15672_t, Pocillopora_acuta_HIv1_PredGene_g31898.t1, Pocillopora_acuta_HIv1_PredGene_g7094.t1, Pocillopora_acuta_HIv1_PredGene_g7095.t1	jamg1.model.Sc0000595.14, jamg1.model.Sc0000595.11
OG0000855	Pocillopora_acuta_HIv1_PredGene_g17798.t1, Pocillopora_acuta_HIv1_PredGene_g17315.t1, Pocillopora_acuta_HIv1_PredGene_g29718.t1, Pocillopora_acuta_HIv1_PredGene_g29720.t1, Pocillopora_acuta_HIv1_PredGene_g17313.t1, Pocillopora_acuta_HIv1_PredGene_g7970.t1, Pocillopora_acuta_HIv1_PredGene_10863_t	plut2.m8.5385.m1
OG0000856	Pocillopora_acuta_HIv1_PredGene_g20412.t1	plut2.m8.12962.m1
OG0000856	Pocillopora_acuta_HIv1_PredGene_g6470.t1, Pocillopora_acuta_HIv1_PredGene_g20483.t1	plut2.m8.10269.m1, plut2.m8.10255.m1
OG0000856	Pocillopora_acuta_HIv1_PredGene_g941.t1	plut2.m8.2653.m1
OG0000857	Pocillopora_acuta_HIv1_PredGene_g22840.t1, Pocillopora_acuta_HIv1_PredGene_6455_t, Pocillopora_acuta_HIv1_PredGene_g22841.t1, Pocillopora_acuta_HIv1_PredGene_g14790.t1	jamg1.model.Sc0000634.5, plut2.m8.24878.m1, plut2.m8.24876.m1, jamg1.model.xfSc0001521.1, jamg1.model.Sc0000474.12
OG0000858	Pocillopora_acuta_HIv1_PredGene_g8125.t1	plut2.m8.15625.m1
OG0000859	Pocillopora_acuta_HIv1_PredGene_g25598.t1, Pocillopora_acuta_HIv1_PredGene_g25600.t1, Pocillopora_acuta_HIv1_PredGene_7444_t, Pocillopora_acuta_HIv1_PredGene_g25603.t1, Pocillopora_acuta_HIv1_PredGene_g25602.t1, Pocillopora_acuta_HIv1_PredGene_g25601.t1	plut2.m8.10707.m1, plut2.m8.10710.m1, plut2.m8.10708.m1, plut2.m8.10709.m1
OG0000860	Pocillopora_acuta_HIv1_PredGene_g430.t1, Pocillopora_acuta_HIv1_PredGene_g12655.t1, Pocillopora_acuta_HIv1_PredGene_g13615.t1, Pocillopora_acuta_HIv1_PredGene_g17787.t1, Pocillopora_acuta_HIv1_PredGene_g12908.t1, Pocillopora_acuta_HIv1_PredGene_g26574.t1, Pocillopora_acuta_HIv1_PredGene_g8413.t1, Pocillopora_acuta_HIv1_PredGene_g31394.t1, Pocillopora_acuta_HIv1_PredGene_g26573.t1	plut2.m8.6887.m1
OG0000861	Pocillopora_acuta_HIv1_PredGene_g1015.t1, Pocillopora_acuta_HIv1_PredGene_g15220.t1, Pocillopora_acuta_HIv1_PredGene_g32959.t1, Pocillopora_acuta_HIv1_PredGene_g32956.t1, Pocillopora_acuta_HIv1_PredGene_g32960.t1, Pocillopora_acuta_HIv1_PredGene_g32956.t2	plut2.m8.25551.m1, plut2.m8.22998.m1, plut2.m8.25553.m1
OG0000862	Pocillopora_acuta_HIv1_PredGene_g10824.t1, Pocillopora_acuta_HIv1_PredGene_g13865.t1, Pocillopora_acuta_HIv1_PredGene_g28721.t1	plut2.m8.14509.m1
OG0000863	Pocillopora_acuta_HIv1_PredGene_g4008.t1, Pocillopora_acuta_HIv1_PredGene_1385_t, Pocillopora_acuta_HIv1_PredGene_1384_t, Pocillopora_acuta_HIv1_PredGene_g4007.t1, Pocillopora_acuta_HIv1_PredGene_g4009.t2, Pocillopora_acuta_HIv1_PredGene_g4009.t1	plut2.m8.29853.m1, plut2.m8.8269.m1, plut2.m8.6346.m1, plut2.m8.8277.m1
OG0000865	Pocillopora_acuta_HIv1_PredGene_g30232.t1	plut2.m8.32040.m1, plut2.m8.5112.m1, plut2.m8.5231.m1, plut2.m8.1013.m1
OG0000867	Pocillopora_acuta_HIv1_PredGene_g5485.t1, Pocillopora_acuta_HIv1_PredGene_g32347.t1	plut2.m8.10348.m1
OG0000867	Pocillopora_acuta_HIv1_PredGene_g19433.t1, Pocillopora_acuta_HIv1_PredGene_g19864.t1, Pocillopora_acuta_HIv1_PredGene_g12938.t1	plut2.m8.10346.m1
OG0000868	Pocillopora_acuta_HIv1_PredGene_3455_t	plut2.m8.135.m1
OG0000868	Pocillopora_acuta_HIv1_PredGene_g26086.t1, Pocillopora_acuta_HIv1_PredGene_g31670.t1	plut2.m8.134.m1, plut2.m8.132.m1
OG0000871	Pocillopora_acuta_HIv1_PredGene_g8597.t1, Pocillopora_acuta_HIv1_PredGene_g28211.t1, Pocillopora_acuta_HIv1_PredGene_g8596.t1, Pocillopora_acuta_HIv1_PredGene_g28212.t1	plut2.m8.3142.m1
OG0000872	Pocillopora_acuta_HIv1_PredGene_g12185.t1	plut2.m8.30074.m1
OG0000872	Pocillopora_acuta_HIv1_PredGene_g4786.t1	plut2.m8.17735.m1
OG0000872	Pocillopora_acuta_HIv1_PredGene_g33382.t1, Pocillopora_acuta_HIv1_PredGene_g19487.t1	plut2.m8.6043.m1, plut2.m8.6041.m1
OG0000874	Pocillopora_acuta_HIv1_PredGene_g5495.t2, Pocillopora_acuta_HIv1_PredGene_g5495.t1, Pocillopora_acuta_HIv1_PredGene_g15645.t1, Pocillopora_acuta_HIv1_PredGene_g15646.t1, Pocillopora_acuta_HIv1_PredGene_g5494.t1, Pocillopora_acuta_HIv1_PredGene_g15644.t1, Pocillopora_acuta_HIv1_PredGene_g32393.t1, Pocillopora_acuta_HIv1_PredGene_g5498.t1, Pocillopora_acuta_HIv1_PredGene_g5499.t1, Pocillopora_acuta_HIv1_PredGene_g15643.t1, Pocillopora_acuta_HIv1_PredGene_g5497.t1	jamg1.model.Sc0000223.2, jamg1.model.Sc0000246.68
OG0000875	Pocillopora_acuta_HIv1_PredGene_g576.t1, Pocillopora_acuta_HIv1_PredGene_g1735.t1, Pocillopora_acuta_HIv1_PredGene_g25525.t1, Pocillopora_acuta_HIv1_PredGene_g25526.t1	plut2.m8.16420.m1, plut2.m8.31628.m1, plut2.m8.16423.m1, plut2.m8.18339.m1, plut2.m8.16412.m1
OG0000876	Pocillopora_acuta_HIv1_PredGene_5674_t, Pocillopora_acuta_HIv1_PredGene_g6416.t1	plut2.m8.18931.m1
OG0000876	Pocillopora_acuta_HIv1_PredGene_g28673.t1, Pocillopora_acuta_HIv1_PredGene_g21022.t1	plut2.m8.26887.m1
OG0000877	Pocillopora_acuta_HIv1_PredGene_g28085.t1, Pocillopora_acuta_HIv1_PredGene_g28084.t1	plut2.m8.8630.m1, plut2.m8.8631.m1
OG0000877	Pocillopora_acuta_HIv1_PredGene_g28086.t1	plut2.m8.29603.m1, plut2.m8.29602.m1
OG0000878	Pocillopora_acuta_HIv1_PredGene_g1247.t1, Pocillopora_acuta_HIv1_PredGene_g1249.t1, Pocillopora_acuta_HIv1_PredGene_11618_t, Pocillopora_acuta_HIv1_PredGene_g1248.t1, Pocillopora_acuta_HIv1_PredGene_g1250.t1	plut2.m8.16637.m1, plut2.m8.16638.m1, plut2.m8.18020.m1, plut2.m8.18021.m1, plut2.m8.27830.m1, plut2.m8.33026.m1
OG0000879	Pocillopora_acuta_HIv1_PredGene_g15802.t1, Pocillopora_acuta_HIv1_PredGene_27965_t, Pocillopora_acuta_HIv1_PredGene_g1694.t1, Pocillopora_acuta_HIv1_PredGene_g1694.t2, Pocillopora_acuta_HIv1_PredGene_g15800.t1, Pocillopora_acuta_HIv1_PredGene_g1694.t3, Pocillopora_acuta_HIv1_PredGene_g1696.t1	plut2.m8.32534.m1
OG0000880	Pocillopora_acuta_HIv1_PredGene_g28604.t1, Pocillopora_acuta_HIv1_PredGene_g6351.t1, Pocillopora_acuta_HIv1_PredGene_16533_t, Pocillopora_acuta_HIv1_PredGene_g6355.t1, Pocillopora_acuta_HIv1_PredGene_20926_t, Pocillopora_acuta_HIv1_PredGene_g28603.t1, Pocillopora_acuta_HIv1_PredGene_g6349.t1, Pocillopora_acuta_HIv1_PredGene_g28606.t1, Pocillopora_acuta_HIv1_PredGene_g28605.t1, Pocillopora_acuta_HIv1_PredGene_g6350.t1	plut2.m8.28756.m1
OG0000881	Pocillopora_acuta_HIv1_PredGene_g21341.t1, Pocillopora_acuta_HIv1_PredGene_g26787.t1, Pocillopora_acuta_HIv1_PredGene_g24131.t1, Pocillopora_acuta_HIv1_PredGene_g13452.t1	plut2.m8.29923.m1, plut2.m8.13252.m1, plut2.m8.13249.m1
OG0000882	Pocillopora_acuta_HIv1_PredGene_g22957.t1, Pocillopora_acuta_HIv1_PredGene_g13706.t1	plut2.m8.5126.m1
OG0000882	Pocillopora_acuta_HIv1_PredGene_g20943.t1	plut2.m8.7598.m1
OG0000882	Pocillopora_acuta_HIv1_PredGene_g14690.t1	plut2.m8.13395.m1, plut2.m8.13398.m1
OG0000885	Pocillopora_acuta_HIv1_PredGene_g3067.t1, Pocillopora_acuta_HIv1_PredGene_g3069.t1, Pocillopora_acuta_HIv1_PredGene_g3066.t1, Pocillopora_acuta_HIv1_PredGene_14869_t, Pocillopora_acuta_HIv1_PredGene_g3068.t1, Pocillopora_acuta_HIv1_PredGene_g30627.t1, Pocillopora_acuta_HIv1_PredGene_g3065.t1, Pocillopora_acuta_HIv1_PredGene_g3061.t1, Pocillopora_acuta_HIv1_PredGene_g3063.t1, Pocillopora_acuta_HIv1_PredGene_g3059.t1, Pocillopora_acuta_HIv1_PredGene_g3062.t1, Pocillopora_acuta_HIv1_PredGene_g24178.t1	plut2.m8.27829.m1
OG0000888	Pocillopora_acuta_HIv1_PredGene_g11304.t1, Pocillopora_acuta_HIv1_PredGene_g11305.t1, Pocillopora_acuta_HIv1_PredGene_6145_t, Pocillopora_acuta_HIv1_PredGene_g11301.t1, Pocillopora_acuta_HIv1_PredGene_g11303.t1	plut2.m8.8790.m1, plut2.m8.7757.m1
OG0000890	Pocillopora_acuta_HIv1_PredGene_g22976.t1	plut2.m8.15745.m1
OG0000891	Pocillopora_acuta_HIv1_PredGene_g10988.t1, Pocillopora_acuta_HIv1_PredGene_g3855.t1, Pocillopora_acuta_HIv1_PredGene_g24193.t1	plut2.m8.3639.m1, plut2.m8.16780.m1
OG0000892	Pocillopora_acuta_HIv1_PredGene_g22933.t1, Pocillopora_acuta_HIv1_PredGene_g6736.t1	plut2.m8.17357.m1
OG0000892	Pocillopora_acuta_HIv1_PredGene_g22657.t1, Pocillopora_acuta_HIv1_PredGene_g22927.t1	plut2.m8.33230.m1, plut2.m8.23896.m1
OG0000896	Pocillopora_acuta_HIv1_PredGene_g20929.t1	plut2.m8.7584.m1, plut2.m8.13278.m1, plut2.m8.16414.m1, plut2.m8.191.m1, plut2.m8.2596.m1, plut2.m8.2595.m1, plut2.m8.29813.m1
OG0000897	Pocillopora_acuta_HIv1_PredGene_g19368.t1, Pocillopora_acuta_HIv1_PredGene_g9824.t1	plut2.m8.5745.m1
OG0000898	Pocillopora_acuta_HIv1_PredGene_g6192.t1, Pocillopora_acuta_HIv1_PredGene_g33335.t1, Pocillopora_acuta_HIv1_PredGene_g4402.t1, Pocillopora_acuta_HIv1_PredGene_g25679.t1, Pocillopora_acuta_HIv1_PredGene_g25675.t1, Pocillopora_acuta_HIv1_PredGene_g25694.t1, Pocillopora_acuta_HIv1_PredGene_g3814.t1, Pocillopora_acuta_HIv1_PredGene_g25683.t1, Pocillopora_acuta_HIv1_PredGene_g25676.t1, Pocillopora_acuta_HIv1_PredGene_g25695.t1, Pocillopora_acuta_HIv1_PredGene_g30182.t1, Pocillopora_acuta_HIv1_PredGene_g25693.t1, Pocillopora_acuta_HIv1_PredGene_g4458.t1, Pocillopora_acuta_HIv1_PredGene_g29493.t1	plut2.m8.7481.m1
OG0000899	Pocillopora_acuta_HIv1_PredGene_g14723.t1	plut2.m8.32550.m1
OG0000900	Pocillopora_acuta_HIv1_PredGene_g15640.t1	plut2.m8.13167.m1
OG0000901	Pocillopora_acuta_HIv1_PredGene_g2738.t1, Pocillopora_acuta_HIv1_PredGene_g22283.t1, Pocillopora_acuta_HIv1_PredGene_g2737.t1, Pocillopora_acuta_HIv1_PredGene_g22281.t1, Pocillopora_acuta_HIv1_PredGene_g22285.t1, Pocillopora_acuta_HIv1_PredGene_g2739.t1	plut2.m8.262.m1
OG0000902	Pocillopora_acuta_HIv1_PredGene_30330_t	plut2.m8.16245.m1, plut2.m8.16246.m1
OG0000902	Pocillopora_acuta_HIv1_PredGene_6024_t, Pocillopora_acuta_HIv1_PredGene_g2570.t1	plut2.m8.12711.m1, plut2.m8.1368.m1
OG0000903	Pocillopora_acuta_HIv1_PredGene_g5362.t1, Pocillopora_acuta_HIv1_PredGene_g5359.t1, Pocillopora_acuta_HIv1_PredGene_g5360.t1, Pocillopora_acuta_HIv1_PredGene_14963_t, Pocillopora_acuta_HIv1_PredGene_g5361.t1	plut2.m8.29701.m1, plut2.m8.14855.m1
OG0000904	Pocillopora_acuta_HIv1_PredGene_g9416.t1, Pocillopora_acuta_HIv1_PredGene_g23356.t1, Pocillopora_acuta_HIv1_PredGene_g12264.t1, Pocillopora_acuta_HIv1_PredGene_g27106.t1, Pocillopora_acuta_HIv1_PredGene_g21764.t1	plut2.m8.17618.m1
OG0000905	Pocillopora_acuta_HIv1_PredGene_g27721.t1	plut2.m8.33554.m1, plut2.m8.23678.m1, plut2.m8.24935.m1, plut2.m8.23693.m1, plut2.m8.17008.m1, plut2.m8.23688.m1
OG0000906	Pocillopora_acuta_HIv1_PredGene_g9741.t1, Pocillopora_acuta_HIv1_PredGene_g9734.t1, Pocillopora_acuta_HIv1_PredGene_g9732.t1, Pocillopora_acuta_HIv1_PredGene_g9733.t1, Pocillopora_acuta_HIv1_PredGene_g9738.t1, Pocillopora_acuta_HIv1_PredGene_g9739.t1, Pocillopora_acuta_HIv1_PredGene_g9740.t1, Pocillopora_acuta_HIv1_PredGene_g9737.t1	plut2.m8.12995.m1, plut2.m8.12987.m1, plut2.m8.12986.m1
OG0000907	Pocillopora_acuta_HIv1_PredGene_g29626.t1	plut2.m8.5155.m1
OG0000907	Pocillopora_acuta_HIv1_PredGene_g17232.t1, Pocillopora_acuta_HIv1_PredGene_g8480.t1, Pocillopora_acuta_HIv1_PredGene_g8478.t1	jamg1.model.Sc0000451.15, jamg1.model.Sc0000068.22
OG0000909	Pocillopora_acuta_HIv1_PredGene_g7309.t1	plut2.m8.12233.m1
OG0000910	Pocillopora_acuta_HIv1_PredGene_g8694.t1, Pocillopora_acuta_HIv1_PredGene_g8697.t1, Pocillopora_acuta_HIv1_PredGene_g8699.t1, Pocillopora_acuta_HIv1_PredGene_g8698.t1, Pocillopora_acuta_HIv1_PredGene_g8700.t1	plut2.m8.21916.m1, plut2.m8.21911.m1, plut2.m8.31745.m1, plut2.m8.21913.m1, plut2.m8.21909.m1
OG0000911	Pocillopora_acuta_HIv1_PredGene_g20622.t1	plut2.m8.11361.m1
OG0000914	Pocillopora_acuta_HIv1_PredGene_g15196.t1	jamg1.model.Sc0000004.6
OG0000914	Pocillopora_acuta_HIv1_PredGene_g15198.t1, Pocillopora_acuta_HIv1_PredGene_g15197.t1	jamg1.model.Sc0000004.5, jamg1.model.Sc0000004.2
OG0000916	Pocillopora_acuta_HIv1_PredGene_g10815.t1	plut2.m8.29875.m1
OG0000918	Pocillopora_acuta_HIv1_PredGene_g12076.t1, Pocillopora_acuta_HIv1_PredGene_g12076.t2	jamg1.model.Sc0000068.54
OG0000919	Pocillopora_acuta_HIv1_PredGene_g5293.t1	plut2.m8.6314.m1
OG0000921	Pocillopora_acuta_HIv1_PredGene_g2592.t1	plut2.m8.2210.m1
OG0000921	Pocillopora_acuta_HIv1_PredGene_g27654.t1	plut2.m8.2209.m1
OG0000922	Pocillopora_acuta_HIv1_PredGene_g127.t1	jamg1.model.Sc0000511.15, jamg1.model.Sc0000740.2, jamg1.model.Sc0000116.51
OG0000923	Pocillopora_acuta_HIv1_PredGene_g27040.t1, Pocillopora_acuta_HIv1_PredGene_g27036.t1, Pocillopora_acuta_HIv1_PredGene_g27038.t1, Pocillopora_acuta_HIv1_PredGene_g27043.t1, Pocillopora_acuta_HIv1_PredGene_g27039.t1	plut2.m8.26739.m1
OG0000925	Pocillopora_acuta_HIv1_PredGene_g29451.t1	plut2.m8.709.m1, plut2.m8.710.m1, plut2.m8.21424.m1, plut2.m8.708.m1
OG0000925	Pocillopora_acuta_HIv1_PredGene_4940_t, Pocillopora_acuta_HIv1_PredGene_g23364.t1, Pocillopora_acuta_HIv1_PredGene_g23366.t1, Pocillopora_acuta_HIv1_PredGene_g23363.t2, Pocillopora_acuta_HIv1_PredGene_g23363.t1, Pocillopora_acuta_HIv1_PredGene_4945_t, Pocillopora_acuta_HIv1_PredGene_g23369.t1, Pocillopora_acuta_HIv1_PredGene_g23368.t1	plut2.m8.18262.m1, plut2.m8.24992.m1
