"","gene","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"Acerv_evm.TU.Segkk2246_pilon.2","Acerv_evm.TU.Segkk2246_pilon.2",1736,3905,3529,1846,2760,1170,2662,4039,1283,831,1221,2663,749,"Segkk2246_pilon","EVM","exon",16879,16962,".","+",".","ID=Acerv_evm.model.Segkk2246_pilon.2.exon10;Parent=Acerv_evm.model.Segkk2246_pilon.2;transcript_id=Acerv_evm.model.Segkk2246_pilon.2.exon10"
"Acerv_evm.TU.Segkk2261_pilon.8","Acerv_evm.TU.Segkk2261_pilon.8",22,223,182,32,40,29,51,252,32,47,20,58,20,"Segkk2261_pilon","EVM","exon",94830,95055,".","-",".","ID=Acerv_evm.model.Segkk2261_pilon.8.exon3;Parent=Acerv_evm.model.Segkk2261_pilon.8;transcript_id=Acerv_evm.model.Segkk2261_pilon.8.exon3"
"Acerv_evm.TU.Segkk227_pilon.2","Acerv_evm.TU.Segkk227_pilon.2",18,7,12,12,25,11,21,0,10,8,12,26,6,"Segkk227_pilon","EVM","exon",6296,6461,".","+",".","ID=Acerv_evm.model.Segkk227_pilon.2.exon1;Parent=Acerv_evm.model.Segkk227_pilon.2;transcript_id=Acerv_evm.model.Segkk227_pilon.2.exon1"
"Acerv_evm.TU.Segkk2328_pilon.1","Acerv_evm.TU.Segkk2328_pilon.1",59,109,43,50,100,48,43,57,36,38,29,194,32,"Segkk2328_pilon","EVM","mRNA",153,800,".","+",".","ID=Acerv_evm.model.Segkk2328_pilon.1;Parent=Acerv_evm.TU.Segkk2328_pilon.1;product=DNA_double-strand_break_repair_Rad50_ATPase_;transcript_id=Acerv_evm.model.Segkk2328_pilon.1"
"Acerv_evm.TU.Segkk2328_pilon.2","Acerv_evm.TU.Segkk2328_pilon.2",116,153,60,118,271,161,119,90,99,122,107,529,100,"Segkk2328_pilon","EVM","exon",4524,4678,".","+",".","ID=Acerv_evm.model.Segkk2328_pilon.2.exon5;Parent=Acerv_evm.model.Segkk2328_pilon.2;transcript_id=Acerv_evm.model.Segkk2328_pilon.2.exon5"
"Acerv_evm.TU.Segkk2334_pilon.1","Acerv_evm.TU.Segkk2334_pilon.1",37,168,154,22,41,37,24,106,21,20,23,45,21,"Segkk2334_pilon","EVM","exon",1618,1664,".","+",".","ID=Acerv_evm.model.Segkk2334_pilon.1.exon2;Parent=Acerv_evm.model.Segkk2334_pilon.1;transcript_id=Acerv_evm.model.Segkk2334_pilon.1.exon2"
"Acerv_evm.TU.Segkk2335_pilon.20","Acerv_evm.TU.Segkk2335_pilon.20",57,43,64,35,62,44,45,46,40,76,24,70,33,"Segkk2335_pilon","EVM","mRNA",128927,131141,".","+",".","ID=Acerv_evm.model.Segkk2335_pilon.20;Parent=Acerv_evm.TU.Segkk2335_pilon.20;product=Proto-oncogene_tyrosine-protein_kinase_receptor_Ret_;transcript_id=Acerv_evm.model.Segkk2335_pilon.20"
"Acerv_evm.TU.Segkk2370_pilon.2","Acerv_evm.TU.Segkk2370_pilon.2",38,21,16,30,38,18,24,16,20,27,10,49,13,"Segkk2370_pilon","EVM","start_codon",5313,5315,".","+",".","ID=Acerv_evm.model.Segkk2370_pilon.2:start;Parent=Acerv_evm.model.Segkk2370_pilon.2;transcript_id=Acerv_evm.model.Segkk2370_pilon.2:start"
"Acerv_evm.TU.Segkk2424_pilon.11","Acerv_evm.TU.Segkk2424_pilon.11",134,38,19,85,125,123,233,26,77,49,52,227,71,"Segkk2424_pilon","EVM","exon",90741,90880,".","+",".","ID=Acerv_evm.model.Segkk2424_pilon.11.exon9;Parent=Acerv_evm.model.Segkk2424_pilon.11;transcript_id=Acerv_evm.model.Segkk2424_pilon.11.exon9"
"Acerv_evm.TU.Segkk2518_pilon.2","Acerv_evm.TU.Segkk2518_pilon.2",46,59,78,114,151,78,48,54,18,98,97,163,46,"Segkk2518_pilon","EVM","CDS",2988,3956,".","+","0","ID=cds.Acerv_evm.model.Segkk2518_pilon.2;Parent=Acerv_evm.model.Segkk2518_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk2518_pilon.2"
"Acerv_evm.TU.Segkk2521_pilon.10","Acerv_evm.TU.Segkk2521_pilon.10",83,116,109,79,123,60,66,93,44,59,49,94,32,"Segkk2521_pilon","EVM","CDS",134243,134347,".","+","0","ID=cds.Acerv_evm.model.Segkk2521_pilon.10;Parent=Acerv_evm.model.Segkk2521_pilon.10;transcript_id=cds.Acerv_evm.model.Segkk2521_pilon.10"
"Acerv_evm.TU.Segkk2537_pilon.1","Acerv_evm.TU.Segkk2537_pilon.1",400,889,1206,862,1369,257,830,608,162,145,510,648,116,"Segkk2537_pilon","EVM","CDS",8064,8153,".","-","0","ID=cds.Acerv_evm.model.Segkk2537_pilon.1;Parent=Acerv_evm.model.Segkk2537_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk2537_pilon.1"
"Acerv_evm.TU.Segkk2537_pilon.25","Acerv_evm.TU.Segkk2537_pilon.25",150,226,167,254,274,279,232,99,51,225,262,905,204,"Segkk2537_pilon","EVM","gene",257374,258030,".","+",".","ID=Acerv_evm.TU.Segkk2537_pilon.25;Name=Acerv_gene.model.Segkk2537_pilon.25"
"Acerv_evm.TU.Segkk2551_pilon.2","Acerv_evm.TU.Segkk2551_pilon.2",53,42,51,53,97,39,55,50,31,44,32,73,16,"Segkk2551_pilon","EVM","CDS",9089,9336,".","+","0","ID=cds.Acerv_evm.model.Segkk2551_pilon.2;Parent=Acerv_evm.model.Segkk2551_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk2551_pilon.2"
"Acerv_evm.TU.Segkk2585_pilon.5","Acerv_evm.TU.Segkk2585_pilon.5",52,61,96,65,97,30,59,38,24,16,40,65,23,"Segkk2585_pilon","EVM","start_codon",44943,44945,".","+",".","ID=Acerv_evm.model.Segkk2585_pilon.5:start;Parent=Acerv_evm.model.Segkk2585_pilon.5;transcript_id=Acerv_evm.model.Segkk2585_pilon.5:start"
"Acerv_evm.TU.Segkk2595_pilon.2","Acerv_evm.TU.Segkk2595_pilon.2",488,1038,779,284,446,368,333,754,259,523,179,475,219,"Segkk2595_pilon","EVM","CDS",17571,17941,".","+","2","ID=cds.Acerv_evm.model.Segkk2595_pilon.2;Parent=Acerv_evm.model.Segkk2595_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk2595_pilon.2"
"Acerv_evm.TU.Segkk2611_pilon.2","Acerv_evm.TU.Segkk2611_pilon.2",66,70,47,54,54,53,22,20,24,146,54,105,36,"Segkk2611_pilon","EVM","CDS",1733,1957,".","+","0","ID=cds.Acerv_evm.model.Segkk2611_pilon.2;Parent=Acerv_evm.model.Segkk2611_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk2611_pilon.2"
"Acerv_evm.TU.Segkk263_pilon.6","Acerv_evm.TU.Segkk263_pilon.6",19,29,23,36,44,24,43,43,19,33,19,55,15,"Segkk263_pilon","EVM","CDS",50160,50399,".","+","0","ID=cds.Acerv_evm.model.Segkk263_pilon.6;Parent=Acerv_evm.model.Segkk263_pilon.6;transcript_id=cds.Acerv_evm.model.Segkk263_pilon.6"
"Acerv_evm.TU.Segkk2634_pilon.14","Acerv_evm.TU.Segkk2634_pilon.14",645,1497,705,364,394,566,138,709,193,1115,160,558,308,"Segkk2634_pilon","EVM","CDS",142484,142613,".","+","0","ID=cds.Acerv_evm.model.Segkk2634_pilon.14;Parent=Acerv_evm.model.Segkk2634_pilon.14;transcript_id=cds.Acerv_evm.model.Segkk2634_pilon.14"
"Acerv_evm.TU.Segkk2634_pilon.20","Acerv_evm.TU.Segkk2634_pilon.20",153,192,159,98,120,134,43,77,40,246,62,144,70,"Segkk2634_pilon","EVM","gene",194109,203399,".","+",".","ID=Acerv_evm.TU.Segkk2634_pilon.20;Name=Acerv_gene.model.Segkk2634_pilon.20"
"Acerv_evm.TU.Segkk2701_pilon.2","Acerv_evm.TU.Segkk2701_pilon.2",108,110,135,100,164,77,176,161,74,37,101,186,29,"Segkk2701_pilon","EVM","gene",4287,4855,".","+",".","ID=Acerv_evm.TU.Segkk2701_pilon.2;Name=Acerv_gene.model.Segkk2701_pilon.2"
"Acerv_evm.TU.Segkk2716_pilon.12","Acerv_evm.TU.Segkk2716_pilon.12",18,15,24,16,44,19,80,25,23,42,16,62,18,"Segkk2716_pilon","EVM","gene",203329,203637,".","+",".","ID=Acerv_evm.TU.Segkk2716_pilon.12;Name=Acerv_gene.model.Segkk2716_pilon.12"
"Acerv_evm.TU.Segkk2725_pilon.8","Acerv_evm.TU.Segkk2725_pilon.8",37,14,35,26,52,23,42,11,26,37,28,62,9,"Segkk2725_pilon","EVM","gene",84647,87955,".","+",".","ID=Acerv_evm.TU.Segkk2725_pilon.8;Name=Acerv_gene.model.Segkk2725_pilon.8"
"Acerv_evm.TU.Segkk2758_pilon.32","Acerv_evm.TU.Segkk2758_pilon.32",1169,4151,2453,681,1071,1099,584,2533,604,1644,308,1184,797,"Segkk2758_pilon","EVM","gene",405296,406278,".","+",".","ID=Acerv_evm.TU.Segkk2758_pilon.32;Name=Acerv_gene.model.Segkk2758_pilon.32"
"Acerv_evm.TU.Segkk2762_pilon.14","Acerv_evm.TU.Segkk2762_pilon.14",220,1267,861,187,407,189,242,629,66,129,107,355,86,"Segkk2762_pilon","EVM","CDS",88615,89059,".","+","0","ID=cds.Acerv_evm.model.Segkk2762_pilon.14;Parent=Acerv_evm.model.Segkk2762_pilon.14;transcript_id=cds.Acerv_evm.model.Segkk2762_pilon.14"
"Acerv_evm.TU.Segkk2763_pilon.1","Acerv_evm.TU.Segkk2763_pilon.1",32,34,29,17,31,22,18,23,11,38,13,30,19,"Segkk2763_pilon","EVM","exon",867,1226,".","+",".","ID=Acerv_evm.model.Segkk2763_pilon.1.exon3;Parent=Acerv_evm.model.Segkk2763_pilon.1;transcript_id=Acerv_evm.model.Segkk2763_pilon.1.exon3"
"Acerv_evm.TU.Segkk2772_pilon.8","Acerv_evm.TU.Segkk2772_pilon.8",626,1009,1072,498,922,397,628,812,309,270,402,837,207,"Segkk2772_pilon","EVM","exon",70258,70300,".","+",".","ID=Acerv_evm.model.Segkk2772_pilon.8.exon3;Parent=Acerv_evm.model.Segkk2772_pilon.8;transcript_id=Acerv_evm.model.Segkk2772_pilon.8.exon3"
"Acerv_evm.TU.Segkk2779_pilon.12","Acerv_evm.TU.Segkk2779_pilon.12",266,551,589,304,428,164,276,490,186,82,189,315,93,"Segkk2779_pilon","EVM","CDS",145792,146065,".","+","0","ID=cds.Acerv_evm.model.Segkk2779_pilon.12;Parent=Acerv_evm.model.Segkk2779_pilon.12;transcript_id=cds.Acerv_evm.model.Segkk2779_pilon.12"
"Acerv_evm.TU.Segkk2782_pilon.21","Acerv_evm.TU.Segkk2782_pilon.21",652,813,862,522,932,365,889,465,200,233,508,1025,190,"Segkk2782_pilon","EVM","start_codon",306642,306644,".","+",".","ID=Acerv_evm.model.Segkk2782_pilon.21:start;Parent=Acerv_evm.model.Segkk2782_pilon.21;transcript_id=Acerv_evm.model.Segkk2782_pilon.21:start"
"Acerv_evm.TU.Segkk2788_pilon.3","Acerv_evm.TU.Segkk2788_pilon.3",191,316,228,147,294,118,146,167,88,110,84,272,62,"Segkk2788_pilon","EVM","CDS",18467,18534,".","+","0","ID=cds.Acerv_evm.model.Segkk2788_pilon.3;Parent=Acerv_evm.model.Segkk2788_pilon.3;transcript_id=cds.Acerv_evm.model.Segkk2788_pilon.3"
"Acerv_evm.TU.Segkk2792_pilon.2","Acerv_evm.TU.Segkk2792_pilon.2",45,34,39,30,53,26,32,19,25,36,22,49,18,"Segkk2792_pilon","EVM","CDS",11679,11980,".","+","0","ID=cds.Acerv_evm.model.Segkk2792_pilon.2;Parent=Acerv_evm.model.Segkk2792_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk2792_pilon.2"
"Acerv_evm.TU.Segkk2792_pilon.23","Acerv_evm.TU.Segkk2792_pilon.23",131,253,248,90,150,85,92,277,58,76,59,147,63,"Segkk2792_pilon","EVM","CDS",207783,207905,".","+","2","ID=cds.Acerv_evm.model.Segkk2792_pilon.23;Parent=Acerv_evm.model.Segkk2792_pilon.23;transcript_id=cds.Acerv_evm.model.Segkk2792_pilon.23"
"Acerv_evm.TU.Segkk2793_pilon.4","Acerv_evm.TU.Segkk2793_pilon.4",2973,5686,6190,1794,2218,2894,1408,4194,873,4619,1024,3000,1925,"Segkk2793_pilon","EVM","exon",35457,35603,".","+",".","ID=Acerv_evm.model.Segkk2793_pilon.4.exon5;Parent=Acerv_evm.model.Segkk2793_pilon.4;transcript_id=Acerv_evm.model.Segkk2793_pilon.4.exon5"
"Acerv_evm.TU.Segkk2795_pilon.15","Acerv_evm.TU.Segkk2795_pilon.15",214,230,339,197,481,185,528,387,137,179,232,445,103,"Segkk2795_pilon","EVM","exon",114076,114693,".","+",".","ID=Acerv_evm.model.Segkk2795_pilon.15.exon1;Parent=Acerv_evm.model.Segkk2795_pilon.15;transcript_id=Acerv_evm.model.Segkk2795_pilon.15.exon1"
"Acerv_evm.TU.Segkk2811_pilon.9","Acerv_evm.TU.Segkk2811_pilon.9",84,204,165,54,99,84,52,181,39,89,38,99,38,"Segkk2811_pilon","EVM","mRNA",41117,43003,".","+",".","ID=Acerv_evm.model.Segkk2811_pilon.9;Parent=Acerv_evm.TU.Segkk2811_pilon.9;product=uncharacterized_protein_LOC110068076_;transcript_id=Acerv_evm.model.Segkk2811_pilon.9"
"Acerv_evm.TU.Segkk2834_pilon.11","Acerv_evm.TU.Segkk2834_pilon.11",163,179,165,100,211,91,67,116,72,104,70,226,60,"Segkk2834_pilon","EVM","CDS",102388,102527,".","-","0","ID=cds.Acerv_evm.model.Segkk2834_pilon.11;Parent=Acerv_evm.model.Segkk2834_pilon.11;transcript_id=cds.Acerv_evm.model.Segkk2834_pilon.11"
"Acerv_evm.TU.Segkk2838_pilon.7","Acerv_evm.TU.Segkk2838_pilon.7",38,97,69,15,40,15,13,161,20,11,10,37,8,"Segkk2838_pilon","EVM","exon",62172,62309,".","+",".","ID=Acerv_evm.model.Segkk2838_pilon.7.exon3;Parent=Acerv_evm.model.Segkk2838_pilon.7;transcript_id=Acerv_evm.model.Segkk2838_pilon.7.exon3"
"Acerv_evm.TU.Segkk2909_pilon.1","Acerv_evm.TU.Segkk2909_pilon.1",199,528,590,131,237,142,138,525,123,189,97,256,95,"Segkk2909_pilon","EVM","CDS",14575,14654,".","+","2","ID=cds.Acerv_evm.model.Segkk2909_pilon.1;Parent=Acerv_evm.model.Segkk2909_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk2909_pilon.1"
"Acerv_evm.TU.Segkk2935_pilon.2","Acerv_evm.TU.Segkk2935_pilon.2",22,12,12,22,57,21,58,13,26,15,11,27,13,"Segkk2935_pilon","EVM","gene",10056,10892,".","+",".","ID=Acerv_evm.TU.Segkk2935_pilon.2;Name=Acerv_gene.model.Segkk2935_pilon.2"
"Acerv_evm.TU.Segkk2954_pilon.6","Acerv_evm.TU.Segkk2954_pilon.6",615,1560,965,225,497,322,105,1189,210,232,147,512,278,"Segkk2954_pilon","EVM","stop_codon",64616,64618,".","+",".","ID=Acerv_evm.model.Segkk2954_pilon.6:stop;Parent=Acerv_evm.model.Segkk2954_pilon.6;transcript_id=Acerv_evm.model.Segkk2954_pilon.6:stop"
"Acerv_evm.TU.Segkk2970_pilon.1","Acerv_evm.TU.Segkk2970_pilon.1",72,21,39,38,111,38,130,44,42,27,41,53,21,"Segkk2970_pilon","EVM","stop_codon",4934,4936,".","+",".","ID=Acerv_evm.model.Segkk2970_pilon.1:stop;Parent=Acerv_evm.model.Segkk2970_pilon.1;transcript_id=Acerv_evm.model.Segkk2970_pilon.1:stop"
"Acerv_evm.TU.Segkk30_pilon.11","Acerv_evm.TU.Segkk30_pilon.11",136,210,290,59,98,70,70,281,93,69,37,82,56,"Segkk30_pilon","EVM","CDS",74820,75263,".","+","0","ID=cds.Acerv_evm.model.Segkk30_pilon.11;Parent=Acerv_evm.model.Segkk30_pilon.11;transcript_id=cds.Acerv_evm.model.Segkk30_pilon.11"
"Acerv_evm.TU.Segkk3047_pilon.14","Acerv_evm.TU.Segkk3047_pilon.14",57,304,211,51,76,36,53,245,31,57,20,109,23,"Segkk3047_pilon","EVM","exon",113367,113474,".","+",".","ID=Acerv_evm.model.Segkk3047_pilon.14.exon4;Parent=Acerv_evm.model.Segkk3047_pilon.14;transcript_id=Acerv_evm.model.Segkk3047_pilon.14.exon4"
"Acerv_evm.TU.Segkk3047_pilon.5","Acerv_evm.TU.Segkk3047_pilon.5",33,11,16,51,67,33,38,8,27,22,34,47,24,"Segkk3047_pilon","EVM","CDS",67268,67384,".","+","0","ID=cds.Acerv_evm.model.Segkk3047_pilon.5;Parent=Acerv_evm.model.Segkk3047_pilon.5;transcript_id=cds.Acerv_evm.model.Segkk3047_pilon.5"
"Acerv_evm.TU.Segkk3052_pilon.15","Acerv_evm.TU.Segkk3052_pilon.15",91,91,82,153,220,58,84,20,15,20,109,173,18,"Segkk3052_pilon","EVM","CDS",144577,144595,".","+","0","ID=cds.Acerv_evm.model.Segkk3052_pilon.15;Parent=Acerv_evm.model.Segkk3052_pilon.15;transcript_id=cds.Acerv_evm.model.Segkk3052_pilon.15"
"Acerv_evm.TU.Segkk3059_pilon.1","Acerv_evm.TU.Segkk3059_pilon.1",49,64,40,47,45,31,36,29,19,19,37,67,18,"Segkk3059_pilon","EVM","gene",895,2241,".","+",".","ID=Acerv_evm.TU.Segkk3059_pilon.1;Name=Acerv_gene.model.Segkk3059_pilon.1"
"Acerv_evm.TU.Segkk3087_pilon.2","Acerv_evm.TU.Segkk3087_pilon.2",50,10,15,33,65,39,38,6,31,27,24,62,12,"Segkk3087_pilon","EVM","gene",17242,21852,".","+",".","ID=Acerv_evm.TU.Segkk3087_pilon.2;Name=Acerv_gene.model.Segkk3087_pilon.2"
"Acerv_evm.TU.Segkk3091_pilon.8","Acerv_evm.TU.Segkk3091_pilon.8",3386,5867,7599,3683,5847,2287,11822,4923,2069,858,2456,4235,892,"Segkk3091_pilon","EVM","start_codon",82996,82998,".","+",".","ID=Acerv_evm.model.Segkk3091_pilon.8:start;Parent=Acerv_evm.model.Segkk3091_pilon.8;transcript_id=Acerv_evm.model.Segkk3091_pilon.8:start"
"Acerv_evm.TU.Segkk3092_pilon.14","Acerv_evm.TU.Segkk3092_pilon.14",379,810,649,432,613,221,331,451,214,148,323,593,121,"Segkk3092_pilon","EVM","exon",118082,118099,".","+",".","ID=Acerv_evm.model.Segkk3092_pilon.14.exon5;Parent=Acerv_evm.model.Segkk3092_pilon.14;transcript_id=Acerv_evm.model.Segkk3092_pilon.14.exon5"
"Acerv_evm.TU.Segkk3095_pilon.35","Acerv_evm.TU.Segkk3095_pilon.35",172,302,382,244,388,92,183,344,99,45,134,167,45,"Segkk3095_pilon","EVM","CDS",397176,397305,".","+","1","ID=cds.Acerv_evm.model.Segkk3095_pilon.35;Parent=Acerv_evm.model.Segkk3095_pilon.35;transcript_id=cds.Acerv_evm.model.Segkk3095_pilon.35"
"Acerv_evm.TU.Segkk3096_pilon.7","Acerv_evm.TU.Segkk3096_pilon.7",25,9,16,11,19,13,17,8,8,21,11,15,9,"Segkk3096_pilon","EVM","stop_codon",57783,57785,".","+",".","ID=Acerv_evm.model.Segkk3096_pilon.7:stop;Parent=Acerv_evm.model.Segkk3096_pilon.7;transcript_id=Acerv_evm.model.Segkk3096_pilon.7:stop"
"Acerv_evm.TU.Segkk3105_pilon.1","Acerv_evm.TU.Segkk3105_pilon.1",113,135,166,95,130,97,162,128,27,130,111,141,55,"Segkk3105_pilon","EVM","exon",12067,12365,".","+",".","ID=Acerv_evm.model.Segkk3105_pilon.1.exon1;Parent=Acerv_evm.model.Segkk3105_pilon.1;transcript_id=Acerv_evm.model.Segkk3105_pilon.1.exon1"
"Acerv_evm.TU.Segkk315_pilon.1","Acerv_evm.TU.Segkk315_pilon.1",35,5,7,25,50,15,23,19,23,16,18,39,7,"Segkk315_pilon","EVM","CDS",11739,11756,".","+","0","ID=cds.Acerv_evm.model.Segkk315_pilon.1;Parent=Acerv_evm.model.Segkk315_pilon.1;transcript_id=cds.Acerv_evm.model.Segkk315_pilon.1"
"Acerv_evm.TU.Segkk3158_pilon.3","Acerv_evm.TU.Segkk3158_pilon.3",14,13,15,21,33,17,18,12,16,17,11,29,11,"Segkk3158_pilon","EVM","mRNA",13876,14730,".","+",".","ID=Acerv_evm.model.Segkk3158_pilon.3;Parent=Acerv_evm.TU.Segkk3158_pilon.3;product=Galactoside_3(4)-L-fucosyltransferase_;transcript_id=Acerv_evm.model.Segkk3158_pilon.3"
"Acerv_evm.TU.Segkk3159_pilon.11","Acerv_evm.TU.Segkk3159_pilon.11",1161,2575,921,673,675,1069,231,1144,274,1765,174,918,540,"Segkk3159_pilon","EVM","CDS",127404,127614,".","+","1","ID=cds.Acerv_evm.model.Segkk3159_pilon.11;Parent=Acerv_evm.model.Segkk3159_pilon.11;transcript_id=cds.Acerv_evm.model.Segkk3159_pilon.11"
"Acerv_evm.TU.Segkk318_pilon.5","Acerv_evm.TU.Segkk318_pilon.5",413,1129,761,473,636,278,627,715,255,144,299,709,175,"Segkk318_pilon","EVM","gene",48918,52536,".","+",".","ID=Acerv_evm.TU.Segkk318_pilon.5;Name=Acerv_gene.model.Segkk318_pilon.5"
"Acerv_evm.TU.Segkk3192_pilon.40","Acerv_evm.TU.Segkk3192_pilon.40",281,354,466,255,491,119,244,316,71,55,238,444,72,"Segkk3192_pilon","EVM","start_codon",370145,370147,".","+",".","ID=Acerv_evm.model.Segkk3192_pilon.40:start;Parent=Acerv_evm.model.Segkk3192_pilon.40;transcript_id=Acerv_evm.model.Segkk3192_pilon.40:start"
"Acerv_evm.TU.Segkk3209_pilon.11","Acerv_evm.TU.Segkk3209_pilon.11",95,227,141,37,80,49,26,197,34,59,22,90,41,"Segkk3209_pilon","EVM","exon",71377,71402,".","+",".","ID=Acerv_evm.model.Segkk3209_pilon.11.exon1;Parent=Acerv_evm.model.Segkk3209_pilon.11;transcript_id=Acerv_evm.model.Segkk3209_pilon.11.exon1"
"Acerv_evm.TU.Segkk3209_pilon.7","Acerv_evm.TU.Segkk3209_pilon.7",58,21,34,32,45,28,31,19,29,13,26,53,17,"Segkk3209_pilon","EVM","start_codon",43307,43309,".","+",".","ID=Acerv_evm.model.Segkk3209_pilon.7:start;Parent=Acerv_evm.model.Segkk3209_pilon.7;transcript_id=Acerv_evm.model.Segkk3209_pilon.7:start"
"Acerv_evm.TU.Segkk3213_pilon.37","Acerv_evm.TU.Segkk3213_pilon.37",437,257,759,477,761,225,627,204,241,159,268,394,159,"Segkk3213_pilon","EVM","CDS",320695,321531,".","+","0","ID=cds.Acerv_evm.model.Segkk3213_pilon.37;Parent=Acerv_evm.model.Segkk3213_pilon.37;transcript_id=cds.Acerv_evm.model.Segkk3213_pilon.37"
"Acerv_evm.TU.Segkk3264_pilon.11","Acerv_evm.TU.Segkk3264_pilon.11",102,209,140,47,65,78,26,101,37,92,17,69,31,"Segkk3264_pilon","EVM","mRNA",140237,141652,".","+",".","ID=Acerv_evm.model.Segkk3264_pilon.11;Parent=Acerv_evm.TU.Segkk3264_pilon.11;product=Ankyrin_repeat_domain-containing_protein_63_;transcript_id=Acerv_evm.model.Segkk3264_pilon.11"
"Acerv_evm.TU.Segkk3306_pilon.14","Acerv_evm.TU.Segkk3306_pilon.14",707,1232,1362,798,1451,454,1056,929,368,209,464,1063,211,"Segkk3306_pilon","EVM","exon",145952,146040,".","+",".","ID=Acerv_evm.model.Segkk3306_pilon.14.exon6;Parent=Acerv_evm.model.Segkk3306_pilon.14;transcript_id=Acerv_evm.model.Segkk3306_pilon.14.exon6"
"Acerv_evm.TU.Segkk3317_pilon.1","Acerv_evm.TU.Segkk3317_pilon.1",413,1770,1694,294,541,367,409,2222,353,659,206,627,229,"Segkk3317_pilon","EVM","exon",1579,1858,".","+",".","ID=Acerv_evm.model.Segkk3317_pilon.1.exon2;Parent=Acerv_evm.model.Segkk3317_pilon.1;transcript_id=Acerv_evm.model.Segkk3317_pilon.1.exon2"
"Acerv_evm.TU.Segkk3327_pilon.18","Acerv_evm.TU.Segkk3327_pilon.18",117,257,131,62,57,100,51,171,60,201,30,114,85,"Segkk3327_pilon","EVM","stop_codon",242107,242109,".","+",".","ID=Acerv_evm.model.Segkk3327_pilon.18:stop;Parent=Acerv_evm.model.Segkk3327_pilon.18;transcript_id=Acerv_evm.model.Segkk3327_pilon.18:stop"
"Acerv_evm.TU.Segkk3339_pilon.1","Acerv_evm.TU.Segkk3339_pilon.1",23,30,13,32,47,27,16,8,11,19,19,48,7,"Segkk3339_pilon","EVM","exon",4584,5186,".","+",".","ID=Acerv_evm.model.Segkk3339_pilon.1.exon1;Parent=Acerv_evm.model.Segkk3339_pilon.1;transcript_id=Acerv_evm.model.Segkk3339_pilon.1.exon1"
"Acerv_evm.TU.Segkk3363_pilon.30","Acerv_evm.TU.Segkk3363_pilon.30",94,93,151,87,130,60,136,99,76,37,54,91,36,"Segkk3363_pilon","EVM","CDS",215892,216680,".","+","0","ID=cds.Acerv_evm.model.Segkk3363_pilon.30;Parent=Acerv_evm.model.Segkk3363_pilon.30;transcript_id=cds.Acerv_evm.model.Segkk3363_pilon.30"
"Acerv_evm.TU.Segkk3377_pilon.3","Acerv_evm.TU.Segkk3377_pilon.3",992,1267,1655,115,292,258,311,2214,258,244,71,197,92,"Segkk3377_pilon","EVM","mRNA",38906,39215,".","-",".","ID=Acerv_evm.model.Segkk3377_pilon.3;Parent=Acerv_evm.TU.Segkk3377_pilon.3;product=hypothetical_protein;transcript_id=Acerv_evm.model.Segkk3377_pilon.3"
"Acerv_evm.TU.Segkk338_pilon.10","Acerv_evm.TU.Segkk338_pilon.10",1017,1117,1147,695,1242,644,714,967,455,501,615,1200,434,"Segkk338_pilon","EVM","mRNA",75077,78435,".","+",".","ID=Acerv_evm.model.Segkk338_pilon.10;Parent=Acerv_evm.TU.Segkk338_pilon.10;product=Tubulin_beta-1_chain;transcript_id=Acerv_evm.model.Segkk338_pilon.10"
"Acerv_evm.TU.Segkk3381_pilon.2","Acerv_evm.TU.Segkk3381_pilon.2",225,488,481,117,221,121,143,474,119,117,73,221,82,"Segkk3381_pilon","EVM","CDS",6353,6451,".","-","0","ID=cds.Acerv_evm.model.Segkk3381_pilon.2;Parent=Acerv_evm.model.Segkk3381_pilon.2;transcript_id=cds.Acerv_evm.model.Segkk3381_pilon.2"
"Acerv_evm.TU.Segkk3387_pilon.12","Acerv_evm.TU.Segkk3387_pilon.12",33,17,32,27,61,22,35,20,25,37,19,46,11,"Segkk3387_pilon","EVM","gene",102083,106678,".","+",".","ID=Acerv_evm.TU.Segkk3387_pilon.12;Name=Acerv_gene.model.Segkk3387_pilon.12"
"Acerv_evm.TU.Segkk3394_pilon.16","Acerv_evm.TU.Segkk3394_pilon.16",311,28,12,288,513,246,188,6,152,155,186,521,123,"Segkk3394_pilon","EVM","CDS",176610,176739,".","+","0","ID=cds.Acerv_evm.model.Segkk3394_pilon.16;Parent=Acerv_evm.model.Segkk3394_pilon.16;transcript_id=cds.Acerv_evm.model.Segkk3394_pilon.16"
