"","gene_id","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","scaffold","start","stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1532","Acerv_evm.TU.Segkk1727_pilon.27",85,0,190,71,51,39,54,31,103,84,25,96,19,79,32,"Segkk1727_pilon",290155,302848,12693,NA,NA,NA,NA,NA,NA,NA
"1533","Acerv_evm.TU.Segkk1727_pilon.30",201,0,533,242,137,188,159,100,404,616,69,155,78,253,127,"Segkk1727_pilon",329602,332441,2839,NA,NA,NA,NA,NA,NA,NA
"1534","Acerv_evm.TU.Segkk1727_pilon.33",26,0,55,38,17,32,12,21,29,35,7,8,6,30,3,"Segkk1727_pilon",374507,380255,5748,NA,NA,NA,NA,NA,NA,NA
"1535","Acerv_evm.TU.Segkk1727_pilon.4",29,0,45,55,18,26,16,13,31,83,12,10,8,23,4,"Segkk1727_pilon",14910,16340,1430,NA,NA,NA,NA,NA,NA,NA
"1536","Acerv_evm.TU.Segkk1727_pilon.5",639,0,1162,1124,474,720,441,609,1105,1461,412,498,291,698,279,"Segkk1727_pilon",26317,49238,22921,NA,NA,NA,NA,NA,NA,NA
"1537","Acerv_evm.TU.Segkk1727_pilon.9",93,0,212,186,74,132,61,102,153,299,70,61,49,132,36,"Segkk1727_pilon",64520,74811,10291,NA,NA,NA,NA,NA,NA,NA
"1538","Acerv_evm.TU.Segkk1729_pilon.10",54,1,100,88,36,69,29,34,64,125,27,20,30,53,14,"Segkk1729_pilon",113317,114966,1649,NA,NA,NA,NA,NA,NA,NA
"1539","Acerv_evm.TU.Segkk1729_pilon.8",358,0,712,770,223,402,261,298,841,1102,263,320,156,388,159,"Segkk1729_pilon",91977,102049,10072,NA,NA,NA,NA,NA,NA,NA
"1540","Acerv_evm.TU.Segkk1729_pilon.9",26,0,48,43,22,27,15,12,43,41,9,19,10,30,10,"Segkk1729_pilon",104747,109712,4965,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1541","Acerv_evm.TU.Segkk1730_pilon.2",144,0,246,228,98,171,76,109,331,387,92,70,60,153,44,"Segkk1730_pilon",2972,9761,6789,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1542","Acerv_evm.TU.Segkk1730_pilon.3",102,0,229,199,73,130,64,69,173,244,54,70,56,108,34,"Segkk1730_pilon",11766,33670,21904,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1543","Acerv_evm.TU.Segkk1730_pilon.4",119,0,266,197,89,151,88,141,259,322,98,58,57,128,57,"Segkk1730_pilon",43195,43998,803,NA,NA,NA,NA,NA,NA,NA
"1544","Acerv_evm.TU.Segkk1730_pilon.5",21,1,35,41,12,31,16,37,54,58,24,22,16,23,10,"Segkk1730_pilon",47028,47852,824,NA,NA,NA,NA,NA,NA,NA
"1545","Acerv_evm.TU.Segkk1730_pilon.6",93,0,242,205,62,115,60,62,174,271,55,74,45,103,32,"Segkk1730_pilon",51304,65299,13995,NA,NA,NA,NA,NA,NA,NA
"1546","Acerv_evm.TU.Segkk1732_pilon.1",39,0,38,42,23,39,23,34,44,56,12,17,19,36,0,"Segkk1732_pilon",884,3831,2947,NA,NA,NA,NA,NA,NA,NA
"1547","Acerv_evm.TU.Segkk1732_pilon.10",442,0,932,827,342,625,317,345,650,969,218,275,277,641,167,"Segkk1732_pilon",72701,77385,4684,NA,NA,NA,NA,NA,NA,NA
"1548","Acerv_evm.TU.Segkk1732_pilon.11",456,0,972,733,366,652,279,360,739,1009,236,189,283,521,144,"Segkk1732_pilon",81723,99629,17906,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1549","Acerv_evm.TU.Segkk1732_pilon.18",296,0,707,582,206,376,216,263,592,864,204,269,141,448,141,"Segkk1732_pilon",188446,201266,12820,NA,NA,NA,NA,NA,NA,NA
"1550","Acerv_evm.TU.Segkk1732_pilon.2",23,0,48,33,21,21,13,15,37,34,6,10,14,26,9,"Segkk1732_pilon",4241,13362,9121,NA,NA,NA,NA,NA,NA,NA
"1551","Acerv_evm.TU.Segkk1732_pilon.22",25069,3898,40964,36473,14334,31495,14471,23997,50831,54137,14827,11981,11463,29940,8783,"Segkk1732_pilon",224606,225751,1145,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1552","Acerv_evm.TU.Segkk1732_pilon.24",158,0,279,343,105,181,104,91,339,359,116,133,61,181,95,"Segkk1732_pilon",240843,246280,5437,NA,NA,NA,NA,NA,NA,NA
"1553","Acerv_evm.TU.Segkk1732_pilon.26",170,0,348,310,155,208,122,107,265,339,90,115,81,200,80,"Segkk1732_pilon",252039,260818,8779,NA,NA,NA,NA,NA,NA,NA
"1554","Acerv_evm.TU.Segkk1732_pilon.34",10,0,32,9,3,16,8,33,8,37,7,12,19,11,13,"Segkk1732_pilon",338131,343879,5748,NA,NA,NA,NA,NA,NA,NA
"1555","Acerv_evm.TU.Segkk1732_pilon.4",31,0,190,149,35,55,29,46,150,205,37,42,34,63,22,"Segkk1732_pilon",20459,21937,1478,NA,NA,NA,NA,NA,NA,NA
"1556","Acerv_evm.TU.Segkk1732_pilon.43",313,0,602,355,151,244,136,141,304,382,125,117,93,251,84,"Segkk1732_pilon",394942,397847,2905,NA,NA,NA,NA,NA,NA,NA
"1557","Acerv_evm.TU.Segkk1732_pilon.44",1996,0,3605,4132,1246,2388,1472,1098,3185,4031,982,1803,860,2300,911,"Segkk1732_pilon",399669,413655,13986,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1558","Acerv_evm.TU.Segkk1732_pilon.45",101,0,175,223,88,210,89,117,86,76,43,130,80,217,53,"Segkk1732_pilon",415611,421864,6253,NA,NA,NA,NA,NA,NA,NA
"1559","Acerv_evm.TU.Segkk1732_pilon.5",187,0,286,263,134,202,108,103,238,293,67,69,62,137,50,"Segkk1732_pilon",26275,31705,5430,NA,NA,NA,NA,NA,NA,NA
"1560","Acerv_evm.TU.Segkk1732_pilon.54",109,0,174,146,64,121,60,82,154,284,63,70,46,111,39,"Segkk1732_pilon",482703,488919,6216,NA,NA,NA,NA,NA,NA,NA
"1561","Acerv_evm.TU.Segkk1732_pilon.56",318,0,598,634,224,309,228,302,845,1092,156,176,140,421,168,"Segkk1732_pilon",494403,496048,1645,NA,NA,NA,NA,NA,NA,NA
"1562","Acerv_evm.TU.Segkk1732_pilon.59",116,0,278,134,87,154,100,373,278,509,159,43,47,300,93,"Segkk1732_pilon",513666,521328,7662,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1563","Acerv_evm.TU.Segkk1732_pilon.60",39,0,76,44,19,26,23,22,61,81,16,10,14,25,0,"Segkk1732_pilon",524139,524942,803,NA,NA,NA,NA,NA,NA,NA
"1564","Acerv_evm.TU.Segkk1732_pilon.61",39,0,108,75,16,35,30,18,94,104,24,18,9,29,9,"Segkk1732_pilon",524986,525588,602,NA,NA,NA,NA,NA,NA,NA
"1565","Acerv_evm.TU.Segkk1732_pilon.63",283,0,561,667,168,312,267,208,693,1126,173,129,88,257,125,"Segkk1732_pilon",536887,543015,6128,NA,NA,NA,NA,NA,NA,NA
"1566","Acerv_evm.TU.Segkk1732_pilon.65",33,0,151,104,19,38,25,27,100,98,16,33,13,47,12,"Segkk1732_pilon",549000,551816,2816,NA,NA,NA,NA,NA,NA,NA
"1567","Acerv_evm.TU.Segkk1733_pilon.2",1136,0,2113,1890,924,1602,791,893,2051,2756,556,681,715,1627,543,"Segkk1733_pilon",14007,17240,3233,NA,NA,NA,NA,NA,NA,NA
"1568","Acerv_evm.TU.Segkk1733_pilon.3",135,0,251,287,91,153,123,120,242,336,94,128,63,176,65,"Segkk1733_pilon",18272,20794,2522,NA,NA,NA,NA,NA,NA,NA
"1569","Acerv_evm.TU.Segkk1733_pilon.5",699,0,1394,1294,479,817,488,670,1044,1568,468,483,297,930,285,"Segkk1733_pilon",63407,72607,9200,NA,NA,NA,NA,NA,NA,NA
"1570","Acerv_evm.TU.Segkk1733_pilon.7",265,0,553,542,165,291,141,196,560,692,145,181,91,261,89,"Segkk1733_pilon",86964,93395,6431,NA,NA,NA,NA,NA,NA,NA
"1571","Acerv_evm.TU.Segkk1742_pilon.2",144,0,269,309,95,178,106,44,83,97,30,144,70,164,69,"Segkk1742_pilon",7066,13891,6825,NA,NA,NA,NA,NA,NA,NA
"1572","Acerv_evm.TU.Segkk1747_pilon.1",28,0,54,88,17,34,17,21,53,99,17,20,13,35,19,"Segkk1747_pilon",1974,6295,4321,NA,NA,NA,NA,NA,NA,NA
"1573","Acerv_evm.TU.Segkk1749_pilon.10",314,0,587,599,239,448,224,260,546,696,181,183,188,417,130,"Segkk1749_pilon",90472,120614,30142,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1574","Acerv_evm.TU.Segkk1749_pilon.15",252,0,640,553,259,470,106,619,477,494,182,111,166,246,46,"Segkk1749_pilon",170017,189851,19834,NA,NA,NA,NA,NA,NA,NA
"1575","Acerv_evm.TU.Segkk1749_pilon.16",257,0,565,650,190,347,200,218,539,716,166,158,140,322,147,"Segkk1749_pilon",196202,206853,10651,NA,NA,NA,NA,NA,NA,NA
"1576","Acerv_evm.TU.Segkk1749_pilon.19",380,0,935,886,320,607,280,305,688,1176,183,310,193,556,190,"Segkk1749_pilon",226241,234264,8023,NA,NA,NA,NA,NA,NA,NA
"1577","Acerv_evm.TU.Segkk1749_pilon.4",364,0,588,574,203,444,165,314,589,880,175,114,204,359,87,"Segkk1749_pilon",19549,32441,12892,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1578","Acerv_evm.TU.Segkk1749_pilon.6",39,0,71,58,29,41,20,21,58,75,16,20,15,33,10,"Segkk1749_pilon",46273,47109,836,NA,NA,NA,NA,NA,NA,NA
"1579","Acerv_evm.TU.Segkk1749_pilon.7",75,2,120,155,60,117,72,59,176,216,51,48,39,92,43,"Segkk1749_pilon",47949,49310,1361,NA,NA,NA,NA,NA,NA,NA
"1580","Acerv_evm.TU.Segkk1749_pilon.9",168,0,312,262,126,202,113,117,282,391,101,115,75,162,77,"Segkk1749_pilon",57884,71257,13373,NA,NA,NA,NA,NA,NA,NA
"1581","Acerv_evm.TU.Segkk1751_pilon.1",15,0,23,19,21,21,12,22,36,20,6,15,0,23,7,"Segkk1751_pilon",446,1737,1291,NA,NA,NA,NA,NA,NA,NA
"1582","Acerv_evm.TU.Segkk1755_pilon.2",230,0,478,376,140,196,140,162,413,461,180,165,68,200,116,"Segkk1755_pilon",27425,41773,14348,NA,NA,NA,NA,NA,NA,NA
"1583","Acerv_evm.TU.Segkk1755_pilon.3",126,0,190,223,77,124,79,59,148,175,51,47,60,106,43,"Segkk1755_pilon",44076,57182,13106,NA,NA,NA,NA,NA,NA,NA
"1584","Acerv_evm.TU.Segkk1758_pilon.1",1726,0,3094,2432,1107,2618,818,441,1127,2783,524,642,1267,1689,388,"Segkk1758_pilon",8612,10481,1869,NA,NA,NA,NA,NA,NA,NA
"1585","Acerv_evm.TU.Segkk1759_pilon.1",553,0,1405,1119,414,773,303,46,122,160,25,302,291,666,158,"Segkk1759_pilon",6296,8000,1704,NA,NA,NA,NA,NA,NA,NA
"1586","Acerv_evm.TU.Segkk1761_pilon.1",156,0,290,235,113,212,79,124,206,293,69,71,70,228,43,"Segkk1761_pilon",501,7658,7157,NA,NA,NA,NA,NA,NA,NA
"1587","Acerv_evm.TU.Segkk1761_pilon.2",241,1,946,306,210,300,119,111,648,1168,168,62,101,429,48,"Segkk1761_pilon",14321,16096,1775,NA,NA,NA,NA,NA,NA,NA
"1588","Acerv_evm.TU.Segkk1762_pilon.1",35,11,83,68,24,50,31,47,104,128,57,47,14,40,20,"Segkk1762_pilon",15,5104,5089,NA,NA,NA,NA,NA,NA,NA
"1589","Acerv_evm.TU.Segkk1764_pilon.2",87,0,184,154,68,130,50,53,104,150,32,40,51,151,27,"Segkk1764_pilon",20144,22801,2657,NA,NA,NA,NA,NA,NA,NA
"1590","Acerv_evm.TU.Segkk1764_pilon.3",30,0,55,54,14,38,29,23,26,66,19,27,30,54,10,"Segkk1764_pilon",22881,24986,2105,NA,NA,NA,NA,NA,NA,NA
"1591","Acerv_evm.TU.Segkk1765_pilon.32",469,0,934,810,377,580,354,350,801,1151,295,331,279,694,222,"Segkk1765_pilon",140191,168382,28191,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1592","Acerv_evm.TU.Segkk1766_pilon.1",39,0,120,80,33,61,37,33,88,119,27,30,17,59,12,"Segkk1766_pilon",615,16721,16106,NA,NA,NA,NA,NA,NA,NA
"1593","Acerv_evm.TU.Segkk1768_pilon.3",605,0,1115,815,399,652,310,224,742,1066,255,297,279,539,157,"Segkk1768_pilon",16149,32221,16072,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1594","Acerv_evm.TU.Segkk1768_pilon.4",498,0,1160,796,344,559,333,308,713,1139,220,263,193,609,191,"Segkk1768_pilon",35160,44432,9272,NA,NA,NA,NA,NA,NA,NA
"1595","Acerv_evm.TU.Segkk1771_pilon.12",493,0,1091,847,373,579,334,367,1441,1262,330,305,169,517,245,"Segkk1771_pilon",103352,110796,7444,NA,NA,NA,NA,NA,NA,NA
"1596","Acerv_evm.TU.Segkk1771_pilon.20",43,0,85,82,35,53,44,50,122,121,57,64,26,60,31,"Segkk1771_pilon",201689,202292,603,NA,NA,NA,NA,NA,NA,NA
"1597","Acerv_evm.TU.Segkk1771_pilon.3",76,1,177,158,66,111,64,56,205,263,48,44,47,155,44,"Segkk1771_pilon",31391,33139,1748,NA,NA,NA,NA,NA,NA,NA
"1598","Acerv_evm.TU.Segkk1771_pilon.5",1653,0,3864,3106,1227,2192,1157,1141,3493,5124,1099,986,736,1935,706,"Segkk1771_pilon",38806,51884,13078,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1599","Acerv_evm.TU.Segkk1771_pilon.9",581,0,980,1024,320,547,340,435,1163,1469,334,375,205,529,231,"Segkk1771_pilon",72242,86217,13975,NA,NA,NA,NA,NA,NA,NA
"1600","Acerv_evm.TU.Segkk1772_pilon.1",218,0,300,332,124,228,121,121,270,362,75,83,103,223,73,"Segkk1772_pilon",214,2861,2647,NA,NA,NA,NA,NA,NA,NA
"1601","Acerv_evm.TU.Segkk1772_pilon.2",1226,0,1916,2688,724,1357,737,785,2140,2735,500,744,748,1240,537,"Segkk1772_pilon",4597,12542,7945,NA,NA,NA,NA,NA,NA,NA
"1602","Acerv_evm.TU.Segkk1772_pilon.3",855,0,1215,1467,586,1129,587,747,1315,1798,480,560,548,1078,392,"Segkk1772_pilon",18071,30899,12828,NA,NA,NA,NA,NA,NA,NA
"1603","Acerv_evm.TU.Segkk1774_pilon.11",74,5,197,152,36,49,43,113,962,1073,122,15,10,116,23,"Segkk1774_pilon",138958,147990,9032,NA,NA,NA,NA,NA,NA,NA
"1604","Acerv_evm.TU.Segkk1774_pilon.15",133,0,305,245,71,202,64,62,380,474,73,76,26,157,74,"Segkk1774_pilon",181958,189231,7273,NA,NA,NA,NA,NA,NA,NA
"1605","Acerv_evm.TU.Segkk1774_pilon.8",309,3,717,285,147,182,90,506,3372,4131,472,29,41,307,36,"Segkk1774_pilon",100774,118807,18033,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1606","Acerv_evm.TU.Segkk1775_pilon.2",33,0,107,110,29,45,38,40,79,104,28,64,15,58,28,"Segkk1775_pilon",9434,12278,2844,NA,NA,NA,NA,NA,NA,NA
"1607","Acerv_evm.TU.Segkk1776_pilon.1",656,0,1116,1167,494,792,444,552,912,1343,330,339,343,776,278,"Segkk1776_pilon",1460,14477,13017,NA,NA,NA,NA,NA,NA,NA
"1608","Acerv_evm.TU.Segkk1776_pilon.10",435,32,883,730,307,581,262,223,547,742,240,266,148,504,147,"Segkk1776_pilon",115210,144873,29663,NA,NA,NA,NA,NA,NA,NA
"1609","Acerv_evm.TU.Segkk1776_pilon.12",139,7,262,169,86,154,51,65,166,221,38,39,48,118,22,"Segkk1776_pilon",154386,155348,962,NA,NA,NA,NA,NA,NA,NA
"1610","Acerv_evm.TU.Segkk1776_pilon.13",352,0,633,520,181,411,201,214,619,767,167,157,143,338,113,"Segkk1776_pilon",155516,166128,10612,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1611","Acerv_evm.TU.Segkk1776_pilon.15",141,0,265,250,93,171,93,54,199,232,46,72,51,174,54,"Segkk1776_pilon",177914,182287,4373,NA,NA,NA,NA,NA,NA,NA
"1612","Acerv_evm.TU.Segkk1776_pilon.17",450,0,877,910,362,696,334,448,806,1057,341,242,254,670,202,"Segkk1776_pilon",190132,197995,7863,NA,NA,NA,NA,NA,NA,NA
"1613","Acerv_evm.TU.Segkk1776_pilon.2",504,0,887,928,342,741,298,362,675,1025,256,264,292,542,172,"Segkk1776_pilon",18717,31537,12820,NA,NA,NA,NA,NA,NA,NA
"1614","Acerv_evm.TU.Segkk1776_pilon.20",118,0,197,198,69,127,81,91,164,212,71,83,60,144,57,"Segkk1776_pilon",231967,232898,931,NA,NA,NA,NA,NA,NA,NA
"1615","Acerv_evm.TU.Segkk1776_pilon.22",415,0,783,762,282,508,296,287,742,1058,211,268,207,539,164,"Segkk1776_pilon",238952,249521,10569,NA,NA,NA,NA,NA,NA,NA
"1616","Acerv_evm.TU.Segkk1776_pilon.3",124,0,280,201,111,159,73,82,190,219,66,87,64,182,46,"Segkk1776_pilon",34497,46650,12153,NA,NA,NA,NA,NA,NA,NA
"1617","Acerv_evm.TU.Segkk1777_pilon.10",31,0,42,55,23,45,24,18,42,38,11,28,26,58,16,"Segkk1777_pilon",62425,65380,2955,NA,NA,NA,NA,NA,NA,NA
"1618","Acerv_evm.TU.Segkk1777_pilon.11",23,0,33,54,17,22,16,11,9,6,6,20,11,29,9,"Segkk1777_pilon",70098,73124,3026,NA,NA,NA,NA,NA,NA,NA
"1619","Acerv_evm.TU.Segkk1777_pilon.14",89,70,137,325,113,173,46,120,180,178,84,38,50,68,23,"Segkk1777_pilon",89344,91979,2635,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1620","Acerv_evm.TU.Segkk1777_pilon.15",32,95,57,197,54,103,24,63,113,88,59,26,35,41,19,"Segkk1777_pilon",92048,92593,545,NA,NA,NA,NA,NA,NA,NA
"1621","Acerv_evm.TU.Segkk1777_pilon.17",423,0,684,667,256,541,206,267,548,686,163,113,165,448,106,"Segkk1777_pilon",106988,118309,11321,NA,NA,NA,NA,NA,NA,NA
"1622","Acerv_evm.TU.Segkk1777_pilon.21",124,7,270,194,79,124,75,110,254,359,75,73,53,130,33,"Segkk1777_pilon",148331,151111,2780,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1623","Acerv_evm.TU.Segkk1777_pilon.25",462,0,681,852,321,688,282,260,406,515,160,169,283,464,151,"Segkk1777_pilon",181266,194669,13403,NA,NA,NA,NA,NA,NA,NA
"1624","Acerv_evm.TU.Segkk1777_pilon.27",104,0,188,193,55,118,63,74,132,224,49,63,44,117,41,"Segkk1777_pilon",203768,207943,4175,NA,NA,NA,NA,NA,NA,NA
"1625","Acerv_evm.TU.Segkk1777_pilon.28",222,0,422,429,116,243,110,120,352,610,170,71,63,161,83,"Segkk1777_pilon",213144,217025,3881,NA,NA,NA,NA,NA,NA,NA
"1626","Acerv_evm.TU.Segkk1777_pilon.32",92,0,259,135,40,82,64,25,145,118,40,100,26,93,35,"Segkk1777_pilon",258209,261548,3339,NA,NA,NA,NA,NA,NA,NA
"1627","Acerv_evm.TU.Segkk1777_pilon.39",1576,17,3221,2687,738,1344,940,2346,3311,4002,629,1521,673,1603,506,"Segkk1777_pilon",297064,297545,481,NA,NA,NA,NA,NA,NA,NA
"1628","Acerv_evm.TU.Segkk1777_pilon.4",31,0,40,47,10,31,10,38,88,124,22,14,12,23,13,"Segkk1777_pilon",32851,33258,407,NA,NA,NA,NA,NA,NA,NA
"1629","Acerv_evm.TU.Segkk1777_pilon.40",190,0,403,529,143,335,103,182,441,562,128,161,85,211,76,"Segkk1777_pilon",304555,321969,17414,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1630","Acerv_evm.TU.Segkk1777_pilon.9",43,0,77,91,35,59,28,24,64,87,24,25,23,55,23,"Segkk1777_pilon",58288,60687,2399,NA,NA,NA,NA,NA,NA,NA
"1631","Acerv_evm.TU.Segkk1778_pilon.1",385,34,704,588,281,487,224,278,622,835,181,192,167,416,131,"Segkk1778_pilon",426,11083,10657,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1632","Acerv_evm.TU.Segkk1778_pilon.10",434,0,697,764,230,353,284,141,381,517,125,437,152,436,221,"Segkk1778_pilon",61467,66567,5100,NA,NA,NA,NA,NA,NA,NA
"1633","Acerv_evm.TU.Segkk1778_pilon.11",291,26,477,499,184,311,189,200,402,442,82,173,121,326,120,"Segkk1778_pilon",66854,73108,6254,NA,NA,NA,NA,NA,NA,NA
"1634","Acerv_evm.TU.Segkk1778_pilon.12",188,0,398,481,161,357,148,362,325,476,110,200,77,244,122,"Segkk1778_pilon",76393,91723,15330,NA,NA,NA,NA,NA,NA,NA
"1635","Acerv_evm.TU.Segkk1778_pilon.13",55,0,96,115,44,86,50,141,139,188,52,31,23,59,22,"Segkk1778_pilon",92185,92685,500,NA,NA,NA,NA,NA,NA,NA
"1636","Acerv_evm.TU.Segkk1778_pilon.14",95,0,134,272,70,147,73,210,221,305,71,63,31,84,48,"Segkk1778_pilon",93098,93751,653,NA,NA,NA,NA,NA,NA,NA
"1637","Acerv_evm.TU.Segkk1778_pilon.15",227,6,326,436,130,287,139,229,384,512,178,172,118,313,104,"Segkk1778_pilon",99734,102406,2672,NA,NA,NA,NA,NA,NA,NA
"1638","Acerv_evm.TU.Segkk1778_pilon.17",34,0,77,100,37,43,32,37,69,62,27,41,14,36,14,"Segkk1778_pilon",113843,117515,3672,NA,NA,NA,NA,NA,NA,NA
"1639","Acerv_evm.TU.Segkk1778_pilon.2",120,0,176,178,73,122,72,82,182,212,59,72,55,131,39,"Segkk1778_pilon",12431,13186,755,NA,NA,NA,NA,NA,NA,NA
"1640","Acerv_evm.TU.Segkk1778_pilon.20",3826,561,5342,7427,1639,3266,2155,3533,8171,10585,2759,3310,1448,3429,1966,"Segkk1778_pilon",135870,140337,4467,"GO:0015935",0.0324665869580688,0.99956398874078,1,6,"small ribosomal subunit","CC"
"1641","Acerv_evm.TU.Segkk1778_pilon.22",310,0,590,655,181,387,183,93,475,937,150,196,118,535,174,"Segkk1778_pilon",155282,158794,3512,NA,NA,NA,NA,NA,NA,NA
"1642","Acerv_evm.TU.Segkk1778_pilon.24",33,0,31,77,24,47,23,47,68,97,20,22,16,41,12,"Segkk1778_pilon",177280,178185,905,NA,NA,NA,NA,NA,NA,NA
"1643","Acerv_evm.TU.Segkk1778_pilon.26",29,0,29,80,12,32,15,19,52,67,45,11,9,20,11,"Segkk1778_pilon",196936,197364,428,NA,NA,NA,NA,NA,NA,NA
"1644","Acerv_evm.TU.Segkk1778_pilon.28",47,0,139,82,41,74,40,33,57,104,24,40,22,77,23,"Segkk1778_pilon",230901,231834,933,NA,NA,NA,NA,NA,NA,NA
"1645","Acerv_evm.TU.Segkk1778_pilon.29",116,0,216,268,75,149,78,91,203,261,61,84,54,138,56,"Segkk1778_pilon",232459,234627,2168,NA,NA,NA,NA,NA,NA,NA
"1646","Acerv_evm.TU.Segkk1778_pilon.31",108,0,200,240,78,133,77,36,92,163,27,73,49,128,45,"Segkk1778_pilon",239942,241045,1103,NA,NA,NA,NA,NA,NA,NA
"1647","Acerv_evm.TU.Segkk1778_pilon.32",2817,0,4671,4560,1311,2626,1543,692,1770,2974,658,1627,1195,2628,941,"Segkk1778_pilon",241990,253425,11435,NA,NA,NA,NA,NA,NA,NA
"1648","Acerv_evm.TU.Segkk1778_pilon.4",312,40,566,372,217,358,185,173,381,529,150,129,154,416,118,"Segkk1778_pilon",19459,23305,3846,NA,NA,NA,NA,NA,NA,NA
"1649","Acerv_evm.TU.Segkk1778_pilon.6",334,0,569,717,224,426,209,234,716,922,181,220,139,492,155,"Segkk1778_pilon",27909,32148,4239,NA,NA,NA,NA,NA,NA,NA
"1650","Acerv_evm.TU.Segkk1778_pilon.8",118,0,195,195,92,149,94,97,239,344,102,104,79,158,70,"Segkk1778_pilon",48688,53891,5203,NA,NA,NA,NA,NA,NA,NA
"1651","Acerv_evm.TU.Segkk1779_pilon.4",40,0,45,33,23,44,18,13,24,33,12,9,19,35,7,"Segkk1779_pilon",28247,29510,1263,NA,NA,NA,NA,NA,NA,NA
"1652","Acerv_evm.TU.Segkk1779_pilon.5",59,0,14,16,30,52,30,48,33,45,30,15,31,58,10,"Segkk1779_pilon",30680,35002,4322,NA,NA,NA,NA,NA,NA,NA
"1653","Acerv_evm.TU.Segkk1780_pilon.1",31,0,67,60,27,45,26,27,46,70,23,21,21,44,15,"Segkk1780_pilon",2433,6034,3601,NA,NA,NA,NA,NA,NA,NA
"1654","Acerv_evm.TU.Segkk1782_pilon.13",123,0,268,231,90,162,91,71,242,374,79,50,47,158,59,"Segkk1782_pilon",164427,171836,7409,NA,NA,NA,NA,NA,NA,NA
"1655","Acerv_evm.TU.Segkk1782_pilon.14",821,0,1534,1429,522,869,536,474,1515,2005,487,605,390,1094,358,"Segkk1782_pilon",176341,189170,12829,NA,NA,NA,NA,NA,NA,NA
"1656","Acerv_evm.TU.Segkk1782_pilon.15",509,0,1045,1052,404,745,389,411,737,1255,296,467,313,755,241,"Segkk1782_pilon",194767,211820,17053,NA,NA,NA,NA,NA,NA,NA
"1657","Acerv_evm.TU.Segkk1782_pilon.18",114,0,248,193,93,111,80,37,61,52,29,100,66,143,59,"Segkk1782_pilon",238508,245553,7045,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1658","Acerv_evm.TU.Segkk1782_pilon.19",32,0,56,56,23,22,34,8,27,27,10,51,17,42,23,"Segkk1782_pilon",245730,246200,470,NA,NA,NA,NA,NA,NA,NA
"1659","Acerv_evm.TU.Segkk1782_pilon.20",69,3,45,142,27,67,35,14,12,23,10,27,34,50,29,"Segkk1782_pilon",252442,252960,518,NA,NA,NA,NA,NA,NA,NA
"1660","Acerv_evm.TU.Segkk1782_pilon.7",146,0,173,470,159,347,129,152,223,171,132,71,69,236,73,"Segkk1782_pilon",56556,61930,5374,NA,NA,NA,NA,NA,NA,NA
"1661","Acerv_evm.TU.Segkk1784_pilon.7",449,0,975,1007,334,555,375,383,1192,1390,325,541,215,647,273,"Segkk1784_pilon",62457,75608,13151,"GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1662","Acerv_evm.TU.Segkk1785_pilon.1",326,0,560,684,242,483,223,149,361,310,130,237,172,354,133,"Segkk1785_pilon",581,16466,15885,NA,NA,NA,NA,NA,NA,NA
"1663","Acerv_evm.TU.Segkk1786_pilon.10",106,0,233,237,91,136,55,58,106,148,26,37,75,126,22,"Segkk1786_pilon",95327,97664,2337,NA,NA,NA,NA,NA,NA,NA
